Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
499.955,0.223021,0.124648,0.0709826,0.135921,-1.17549e-38,0.328741,-1.17549e-38,-1.17549e-38,0.0884989,0.132698,0.0225377,0.0509546,0.0630439,-1.17549e-38,-1.17549e-38
500.4372,0.200295,0.142955,0.076478,0.0961087,-1.17549e-38,0.240797,-1.17549e-38,-1.17549e-38,0.0894906,0.112334,0.0506765,0.0690959,0.036393,-1.17549e-38,-1.17549e-38
500.9193,0.176918,0.1347,0.0565976,0.0328109,-1.17549e-38,0.0987911,-1.17549e-38,0.0206724,0.0791804,0.0650547,0.0818398,0.0914067,0.0221888,-1.17549e-38,-1.17549e-38
501.4014,0.159637,0.10721,0.0190997,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0677015,0.0535933,0.0018411,0.109972,0.109348,0.0213493,-1.17549e-38,-1.17549e-38
501.8835,0.14759,0.0730991,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0898366,0.0145366,-1.17549e-38,0.126457,0.111183,0.0243619,-1.17549e-38,-1.17549e-38
502.3656,0.134203,0.047161,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0732192,-1.17549e-38,-1.17549e-38,0.124296,0.0889015,0.0164892,-1.17549e-38,-1.17549e-38
502.8477,0.112946,0.0417232,-1.17549e-38,0.00953979,-1.17549e-38,-1.17549e-38,0.0290683,0.0253177,-1.17549e-38,-1.17549e-38,0.10258,0.0446183,-1.17549e-38,-1.17549e-38,-1.17549e-38
503.3299,0.08225,0.0608968,-1.17549e-38,0.0587333,-1.17549e-38,-1.17549e-38,0.0569991,-1.17549e-38,-1.17549e-38,0.0281509,0.0673727,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
503.812,0.0458952,0.0978373,-1.17549e-38,0.0802488,0.0220096,-1.17549e-38,0.0755493,-1.17549e-38,-1.17549e-38,0.0940771,0.0280319,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
504.2941,0.00988798,0.138158,-1.17549e-38,0.0599338,0.0778181,-1.17549e-38,0.0898921,-1.17549e-38,-1.17549e-38,0.137707,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0465139
504.7762,-1.17549e-38,0.168053,-1.17549e-38,0.00442438,0.0913916,-1.17549e-38,0.102047,-1.17549e-38,-1.17549e-38,0.15134,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.134665
505.2583,-1.17549e-38,0.182553,-1.17549e-38,-1.17549e-38,0.0603332,0.00488242,0.108867,-1.17549e-38,-1.17549e-38,0.143644,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.195087
505.7404,-1.17549e-38,0.188745,0.00838969,-1.17549e-38,0.00494091,-1.17549e-38,0.104644,-1.17549e-38,-1.17549e-38,0.129841,-1.17549e-38,0.0587422,-1.17549e-38,-1.17549e-38,0.206543
506.2226,-1.17549e-38,0.200491,0.045672,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.086067,-1.17549e-38,-1.17549e-38,0.119503,-1.17549e-38,0.126148,-1.17549e-38,-1.17549e-38,0.16871
506.7047,-1.17549e-38,0.226497,0.0909117,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0556255,-1.17549e-38,-1.17549e-38,0.109609,-1.17549e-38,0.174459,0.00225647,0.0139297,0.102631
507.1868,-1.17549e-38,0.260735,0.133087,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0204375,0.00870464,0.0120859,0.0878633,-1.17549e-38,0.193242,-1.17549e-38,0.0271444,0.0379888
507.6689,-1.17549e-38,0.284732,0.16043,-1.17549e-38,0.025474,0.00675399,-1.17549e-38,0.047275,0.0483636,0.0437462,-1.17549e-38,0.184088,-1.17549e-38,0.0264575,-1.17549e-38
508.151,-1.17549e-38,0.280891,0.165419,-1.17549e-38,0.0579589,0.0343831,-1.17549e-38,0.0638995,0.0658475,-1.17549e-38,-1.17549e-38,0.156166,-1.17549e-38,0.0189386,-1.17549e-38
508.6331,-1.17549e-38,0.245354,0.147188,-1.17549e-38,0.0542533,0.0557863,-1.17549e-38,0.0522255,0.0656551,-1.17549e-38,-1.17549e-38,0.118256,-1.17549e-38,0.0124722,-1.17549e-38
509.1153,-1.17549e-38,0.190188,0.110667,-1.17549e-38,0.0167632,0.0648687,-1.17549e-38,0.0216537,0.0588251,-1.17549e-38,0.00382879,0.073938,-1.17549e-38,0.0105244,-1.17549e-38
509.5974,-1.17549e-38,0.134505,0.0638634,-1.17549e-38,-1.17549e-38,0.0624369,-1.17549e-38,-1.17549e-38,0.0556004,-1.17549e-38,0.0246255,0.0230719,-1.17549e-38,0.011297,-1.17549e-38
510.0795,-1.17549e-38,0.091963,0.0151191,-1.17549e-38,-1.17549e-38,0.0546524,-1.17549e-38,-1.17549e-38,0.0567261,-1.17549e-38,0.0346378,-1.17549e-38,-1.17549e-38,0.0117252,-1.17549e-38
510.5616,-1.17549e-38,0.0635726,-1.17549e-38,0.00286963,-1.17549e-38,0.049115,-1.17549e-38,-1.17549e-38,0.0537251,-1.17549e-38,0.0351048,-1.17549e-38,0.0388259,0.0128144,-1.17549e-38
511.0437,-1.17549e-38,0.0405107,-1.17549e-38,0.0143903,-1.17549e-38,0.050817,-1.17549e-38,0.0250407,0.0377702,-1.17549e-38,0.0288788,-1.17549e-38,0.134677,0.0211021,-1.17549e-38
511.5258,-1.17549e-38,0.0139064,-1.17549e-38,0.0232968,0.0564508,0.0602197,0.0182802,0.0544131,0.00924636,-1.17549e-38,0.0188325,-1.17549e-38,0.215315,0.0437085,0.014975
512.008,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0283088,0.0971946,0.0742995,0.0507432,0.0740425,-1.17549e-38,-1.17549e-38,0.00735506,-1.17549e-38,0.270725,0.0803358,0.0565638
512.4901,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0287044,0.104566,0.0893287,0.0623395,0.0843391,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.294752,0.119165,0.0768636
512.9722,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0226469,0.0808833,0.103249,0.0524428,0.0916723,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.287849,0.141191,0.0689013
513.4543,-1.17549e-38,-1.17549e-38,0.0338575,0.00693438,0.0423965,0.116276,0.029385,0.100543,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.258186,0.13129,0.0419398
513.9365,-1.17549e-38,-1.17549e-38,0.0717358,-1.17549e-38,0.00686626,0.129808,0.00492799,0.109637,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.218231,0.0888842,0.0164374
514.4186,-1.17549e-38,-1.17549e-38,0.089969,-1.17549e-38,-1.17549e-38,0.144725,-1.17549e-38,0.114525,0.00417456,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.178058,0.0303306,0.0118728
514.9007,-1.17549e-38,-1.17549e-38,0.0840394,-1.17549e-38,-1.17549e-38,0.160316,-1.17549e-38,0.113208,0.000149925,0.0111342,-1.17549e-38,-1.17549e-38,0.140468,-1.17549e-38,0.0350485
515.3828,-1.17549e-38,-1.17549e-38,0.0590685,-1.17549e-38,-1.17549e-38,0.174319,-1.17549e-38,0.108493,-1.17549e-38,0.0520492,-1.17549e-38,-1.17549e-38,0.102073,-1.17549e-38,0.0760915
515.8649,0.0176876,-1.17549e-38,0.0279883,-1.17549e-38,-1.17549e-38,0.183674,-1.17549e-38,0.104885,-1.17549e-38,0.0964887,0.000260534,-1.17549e-38,0.0594675,-1.17549e-38,0.114201
516.347,0.0269047,-1.17549e-38,0.00619693,-1.17549e-38,-1.17549e-38,0.18525,-1.17549e-38,0.103148,-1.17549e-38,0.140231,0.0119142,-1.17549e-38,0.0153797,0.0171612,0.129842
516.8292,0.0268794,-1.17549e-38,0.00441601,-1.17549e-38,-1.17549e-38,0.176098,-1.17549e-38,0.0980156,-1.17549e-38,0.173817,0.0252347,-1.17549e-38,-1.17549e-38,0.0598662,0.116677
517.3113,0.0226139,-1.17549e-38,0.0229899,-1.17549e-38,-1.17549e-38,0.15338,0.00209807,0.0819141,-1.17549e-38,0.18559,0.0338459,-1.17549e-38,-1.17549e-38,0.0860456,0.0855008
517.7934,0.0225463,-1.17549e-38,0.0514484,-1.17549e-38,-1.17549e-38,0.114669,0.023585,0.0517012,-1.17549e-38,0.169817,0.0313602,-1.17549e-38,-1.17549e-38,0.0894163,0.0567371
518.2755,0.0335698,0.072739,0.0742725,0.0452893,-1.17549e-38,0.0593498,0.0477662,0.0121658,-1.17549e-38,0.13275,0.0162836,0.0352474,-1.17549e-38,0.077747,0.0468691
518.7576,0.0565387,0.145064,0.0794812,0.0755957,-1.17549e-38,-1.17549e-38,0.0673537,-1.17549e-38,-1.17549e-38,0.0903042,-1.17549e-38,0.0725777,0.0252388,0.0653023,0.0587136
519.2397,0.0853714,0.189578,0.0651938,0.0841254,-1.17549e-38,-1.17549e-38,0.0756875,-1.17549e-38,0.00524521,0.0582312,-1.17549e-38,0.0872766,0.0511444,0.0628172,0.0810475
519.7219,0.109911,0.19135,0.0407804,0.0779201,-1.17549e-38,-1.17549e-38,0.0698851,-1.17549e-38,0.0109936,0.0418039,-1.17549e-38,0.0811194,0.0637205,0.0713173,0.0960438
520.204,0.120333,0.152285,0.0216642,0.0685126,-1.17549e-38,-1.17549e-38,0.0523276,-1.17549e-38,0.0163924,0.0327884,-1.17549e-38,0.0605412,0.0609572,0.0827854,0.0891983
520.6861,0.110336,0.0923239,0.0202624,0.0660267,-1.17549e-38,-1.17549e-38,0.0296718,-1.17549e-38,0.0253889,0.016387,-1.17549e-38,0.0332686,0.0462485,0.0866203,0.0561715
521.1682,0.0779243,0.0390372,0.0385776,0.0740339,0.0391648,-1.17549e-38,0.00974681,-1.17549e-38,0.0398826,-1.17549e-38,-1.17549e-38,0.00544793,0.0267517,0.0772924,0.00366178
521.6503,0.0250425,0.0118223,0.0671685,0.0880829,0.0747772,-1.17549e-38,-1.17549e-38,0.00131807,0.0566848,-1.17549e-38,0.00753453,-1.17549e-38,0.0110776,0.0580155,-1.17549e-38
522.1324,-1.17549e-38,0.0114012,0.0907901,0.0987939,0.0968503,-1.17549e-38,-1.17549e-38,0.0297022,0.0685286,-1.17549e-38,0.0142819,-1.17549e-38,0.0062627,0.0383338,-1.17549e-38
522.6146,-1.17549e-38,0.0214618,0.0968403,0.0979235,0.103778,0.0235047,-1.17549e-38,0.0555607,0.0692251,-1.17549e-38,0.0193738,-1.17549e-38,0.0144695,0.0275176,-1.17549e-38
523.0967,-1.17549e-38,0.0209882,0.0813067,0.0841059,0.0952364,0.0219098,-1.17549e-38,0.0782459,0.0593515,-1.17549e-38,0.0239998,-1.17549e-38,0.0311181,0.0281333,-1.17549e-38
523.5788,-1.17549e-38,-1.17549e-38,0.0486254,0.0648171,0.0744442,-1.17549e-38,-1.17549e-38,0.100222,0.0476915,-1.17549e-38,0.0262764,-1.17549e-38,0.0462892,0.0340847,-1.17549e-38
524.0609,-1.17549e-38,-1.17549e-38,0.00625477,0.0532238,0.0489874,-1.17549e-38,-1.17549e-38,0.124983,0.0466286,-1.17549e-38,0.0225193,-1.17549e-38,0.0491803,0.0344635,-1.17549e-38
524.543,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0616035,0.0287826,-1.17549e-38,-1.17549e-38,0.153092,0.0643491,-1.17549e-38,0.0105769,-1.17549e-38,0.0331661,0.0206992,-1.17549e-38
525.0251,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0944005,0.0216106,-1.17549e-38,0.00912732,0.179279,0.0988465,0.0430176,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
525.5073,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.143967,0.028383,-1.17549e-38,0.0374151,0.193509,0.1377,0.106348,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
525.9894,0.0581729,-1.17549e-38,-1.17549e-38,0.192125,0.0415111,-1.17549e-38,0.0746382,0.186509,0.164775,0.141744,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
526.4715,0.10421,-1.17549e-38,-1.17549e-38,0.218737,0.048804,-1.17549e-38,0.109956,0.156059,0.170084,0.137381,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
526.9536,0.129998,-1.17549e-38,-1.17549e-38,0.212706,0.0407135,-1.17549e-38,0.132931,0.108395,0.154993,0.0989741,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
527.4357,0.138851,-1.17549e-38,-1.17549e-38,0.177495,0.0149884,-1.17549e-38,0.138394,0.0536295,0.128516,0.0491425,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0407197,-1.17549e-38
