Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2209.535970757721,2135.0413899054383,2169.236835525571,2160.270869456489
2,2204.265420147704,2121.980736533414,2169.236835525571,2160.686425028088
4,2204.7741196378997,2122.781695904836,2169.236835525571,2161.9325034560807
6,2205.2597484008766,2124.1314882607053,2169.236835525571,2164.007328520735
8,2206.6156101603187,2126.2859820103886,2169.236835525571,2166.9079019790925
10,2208.5799105041824,2129.0189811098717,2169.236835525571,2170.6299467111226
12,2211.688543002483,2132.0442298619478,2169.236835525571,2175.1678270628895
14,2214.993669153545,2135.300330825642,2169.236835525571,2180.514446363092
16,2218.4760072132076,2137.28426805452,2169.236835525571,2186.6611216374713
18,2223.471763109982,2140.2452922619827,2169.236835525571,2193.59743563647
20,2228.7595890881585,2142.757672213327,2169.236835525571,2201.311066436167
