Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
499.955,-1.17549e-38,-1.17549e-38,0.0707671,0.120246,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0478247
500.4372,0.00791732,-1.17549e-38,0.0738743,0.133996,0.0113349,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0273319
500.9193,0.0303379,0.0197753,0.0652254,0.137042,0.0320494,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0177948
501.4014,0.0540878,0.0394819,0.0421983,0.132198,0.0545249,-1.17549e-38,-1.17549e-38,0.0278956,-1.17549e-38,-1.17549e-38,0.0158501
501.8835,0.0728392,0.0357637,0.00756122,0.121048,0.0714943,-1.17549e-38,-1.17549e-38,0.0553662,-1.17549e-38,-1.17549e-38,0.0157265
502.3656,0.0827098,0.0222835,-1.17549e-38,0.10339,0.0751558,0.0521534,-1.17549e-38,0.0813147,-1.17549e-38,-1.17549e-38,0.0145278
502.8477,0.0839282,0.0181107,-1.17549e-38,0.0790422,0.0628637,0.11016,-1.17549e-38,0.100808,-1.17549e-38,-1.17549e-38,0.0145568
503.3299,0.0799159,0.0326613,-1.17549e-38,0.0499469,0.0397489,0.12924,-1.17549e-38,0.106252,-1.17549e-38,-1.17549e-38,0.020198
503.812,0.0742095,0.0590743,-1.17549e-38,0.0205257,0.0152861,0.102031,-1.17549e-38,0.0923518,0.0243198,0.0416118,0.0329371
504.2941,0.0679075,0.0804748,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0436023,0.0344995,0.0591174,0.0628155,0.104404,0.0497974
504.7762,0.0593143,0.0815307,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0893275,0.011581,0.0624097,0.178772,0.0658099
505.2583,0.0455368,0.0576022,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.114344,-1.17549e-38,0.0147842,0.24914,0.0776104
505.7404,0.0251172,0.0181983,0.00199199,0.00272385,-1.17549e-38,-1.17549e-38,0.104098,-1.17549e-38,-1.17549e-38,0.293067,0.0854075
506.2226,0.000402391,-1.17549e-38,0.0101093,0.0299141,0.00667264,-1.17549e-38,0.0681256,-1.17549e-38,-1.17549e-38,0.291591,0.0919146
506.7047,-1.17549e-38,-1.17549e-38,0.0136439,0.055985,0.00827743,-1.17549e-38,0.0256489,-1.17549e-38,-1.17549e-38,0.24168,0.0987796
507.1868,-1.17549e-38,-1.17549e-38,0.0128882,0.0683587,0.00300808,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.161144,0.103561
507.6689,-1.17549e-38,0.022635,0.00814508,0.0593745,-1.17549e-38,0.0233953,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0796403,0.100636
508.151,-1.17549e-38,0.0593873,0.000691644,0.0302013,-1.17549e-38,0.0548385,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0221114,0.0856584
508.6331,-1.17549e-38,0.0851191,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0745712,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0595384
509.1153,-1.17549e-38,0.0975173,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0788269,-1.17549e-38,-1.17549e-38,0.0218164,-1.17549e-38,0.0289817
509.5974,-1.17549e-38,0.101696,-1.17549e-38,-1.17549e-38,0.0193494,0.068902,-1.17549e-38,-1.17549e-38,0.0503013,0.0117913,0.00377519
510.0795,-1.17549e-38,0.103333,0.00400277,-1.17549e-38,0.0525427,0.0533005,-1.17549e-38,-1.17549e-38,0.0815639,0.0196741,-1.17549e-38
510.5616,-1.17549e-38,0.103079,0.0178311,-1.17549e-38,0.082215,0.0449766,-1.17549e-38,-1.17549e-38,0.109875,0.0156807,-1.17549e-38
511.0437,0.00342402,0.0961936,0.0288224,-1.17549e-38,0.0957157,0.0536815,-1.17549e-38,-1.17549e-38,0.122626,0.00280764,0.0197819
511.5258,0.00840477,0.0774749,0.0315269,-1.17549e-38,0.0857393,0.0788668,0.0279034,-1.17549e-38,0.111624,-1.17549e-38,0.0473913
512.008,0.00998793,0.0471849,0.0241389,-1.17549e-38,0.0545137,0.109449,0.0565312,-1.17549e-38,0.0816262,-1.17549e-38,0.0728297
512.4901,0.00423688,0.0129113,0.00923135,-1.17549e-38,0.0131373,0.130958,0.0557,0.0178129,0.0489077,-1.17549e-38,0.0897977
512.9722,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.134568,0.0267882,0.0642288,0.0311528,0.0159772,0.0962977
513.4543,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.121615,-1.17549e-38,0.0894182,0.0357381,0.0275526,0.0942039
513.9365,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00318977,-1.17549e-38,0.100779,-1.17549e-38,0.0837195,0.0542742,0.024971,0.0869999
514.4186,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0015361,-1.17549e-38,0.0805668,-1.17549e-38,0.048769,0.0674866,0.00588332,0.0767013
514.9007,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0363099,0.0634821,-1.17549e-38,-1.17549e-38,0.0575052,-1.17549e-38,0.0618342
515.3828,0.0145384,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0805266,0.0463193,-1.17549e-38,-1.17549e-38,0.019958,-1.17549e-38,0.0381413
515.8649,0.0393274,-1.17549e-38,-1.17549e-38,0.0191903,0.115927,0.0255686,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0022233
516.347,0.0524025,-1.17549e-38,-1.17549e-38,0.0549566,0.134123,0.00310532,0.0350082,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
516.8292,0.0482266,-1.17549e-38,-1.17549e-38,0.0953973,0.13139,-1.17549e-38,0.0763394,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
517.3113,0.0293656,-1.17549e-38,-1.17549e-38,0.121305,0.110205,-1.17549e-38,0.0993772,-1.17549e-38,0.00027636,-1.17549e-38,-1.17549e-38
517.7934,0.00502805,-1.17549e-38,-1.17549e-38,0.117832,0.0782597,0.00402528,0.105904,-1.17549e-38,0.0824018,-1.17549e-38,-1.17549e-38
518.2755,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0842236,0.0447456,0.0316406,0.105445,-1.17549e-38,0.146637,-1.17549e-38,-1.17549e-38
518.7576,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0340411,0.0163891,0.0563836,0.106683,-1.17549e-38,0.156792,-1.17549e-38,-1.17549e-38
519.2397,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0662553,0.11039,-1.17549e-38,0.104658,-1.17549e-38,-1.17549e-38
519.7219,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.055649,0.10937,-1.17549e-38,0.0158713,-1.17549e-38,0.00543551
520.204,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0269729,0.0953942,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0159944
520.6861,-1.17549e-38,0.00949788,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0673675,-1.17549e-38,-1.17549e-38,0.0292711,0.0146215
521.1682,0.000899364,0.0313012,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0336351,-1.17549e-38,-1.17549e-38,0.0536279,0.00795031
521.6503,0.00395613,0.0490533,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00656358,-1.17549e-38,-1.17549e-38,0.0580651,0.000737561
