Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb)
499.955,-1.17549e-38,-1.17549e-38,0.0955605,-1.17549e-38,0.158718,-1.17549e-38,-1.17549e-38,0.122754,-1.17549e-38
500.4372,-1.17549e-38,-1.17549e-38,0.0982494,-1.17549e-38,0.183296,-1.17549e-38,-1.17549e-38,0.0361802,0.013503
500.9193,-1.17549e-38,-1.17549e-38,0.0919573,-1.17549e-38,0.216947,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0730205
501.4014,0.00948055,-1.17549e-38,0.0775971,-1.17549e-38,0.252601,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.116454
501.8835,0.0305089,-1.17549e-38,0.0537949,-1.17549e-38,0.278174,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.133884
502.3656,0.0272742,-1.17549e-38,0.0187496,0.0117286,0.280112,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.121704
502.8477,0.00914691,-1.17549e-38,-1.17549e-38,0.0214144,0.249232,-1.17549e-38,-1.17549e-38,0.0664829,0.0841284
503.3299,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0185557,0.185521,-1.17549e-38,-1.17549e-38,0.141785,0.0312596
503.812,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00565655,0.0987646,-1.17549e-38,-1.17549e-38,0.157184,-1.17549e-38
504.2941,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0057636,-1.17549e-38,-1.17549e-38,0.115233,-1.17549e-38
504.7762,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0404793,-1.17549e-38
505.2583,0.0197767,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
505.7404,0.0523488,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
506.2226,0.0824965,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0252029,-1.17549e-38,-1.17549e-38
506.7047,0.099152,-1.17549e-38,0.0347996,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0741346,-1.17549e-38,-1.17549e-38
507.1868,0.0954141,0.0176143,0.0752784,-1.17549e-38,0.067747,-1.17549e-38,0.100746,-1.17549e-38,-1.17549e-38
507.6689,0.0731661,0.0665905,0.102911,-1.17549e-38,0.111203,-1.17549e-38,0.101171,-1.17549e-38,-1.17549e-38
508.151,0.041418,0.0901324,0.11786,-1.17549e-38,0.111139,-1.17549e-38,0.0782949,-1.17549e-38,-1.17549e-38
