Wavenumber (cm-1),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb)
499.955,-1.17549e-38,0.0501975,-1.17549e-38,0.00925969,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
500.4372,-1.17549e-38,0.0555534,-1.17549e-38,0.0522715,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
500.9193,-1.17549e-38,0.0664161,-1.17549e-38,0.104585,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
501.4014,-1.17549e-38,0.0764,-1.17549e-38,0.150357,0.023722,-1.17549e-38,-1.17549e-38,-1.17549e-38
501.8835,-1.17549e-38,0.0786435,-1.17549e-38,0.17693,0.0803645,-1.17549e-38,-1.17549e-38,-1.17549e-38
502.3656,-1.17549e-38,0.069008,-1.17549e-38,0.180788,0.100368,-1.17549e-38,-1.17549e-38,0.00963542
502.8477,-1.17549e-38,0.0484664,-1.17549e-38,0.168643,0.0806615,-1.17549e-38,-1.17549e-38,0.0158282
503.3299,-1.17549e-38,0.0227364,-1.17549e-38,0.151777,0.0382348,-1.17549e-38,-1.17549e-38,0.0131586
503.812,0.00726577,-1.17549e-38,-1.17549e-38,0.138331,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00899584
504.2941,0.0225344,-1.17549e-38,0.0242605,0.129883,-1.17549e-38,0.0248425,-1.17549e-38,0.00920467
504.7762,0.0361363,-1.17549e-38,0.0621423,0.123428,-1.17549e-38,0.0665063,0.0248454,0.0148109
505.2583,0.0419731,-1.17549e-38,0.0956081,0.115498,-1.17549e-38,0.106784,0.0712099,0.0227685
505.7404,0.0348646,-1.17549e-38,0.104534,0.105058,-1.17549e-38,0.137478,0.115539,0.0290826
506.2226,0.0145962,0.0101489,0.0747057,0.0935457,-1.17549e-38,0.150928,0.152815,0.0318218
506.7047,-1.17549e-38,0.0220884,0.00863025,0.0825834,-1.17549e-38,0.141123,0.184545,0.0320161
507.1868,-1.17549e-38,0.0319212,-1.17549e-38,0.0718391,-1.17549e-38,0.105882,0.215442,0.0319756
507.6689,-1.17549e-38,0.0406544,-1.17549e-38,0.0594555,-1.17549e-38,0.0488251,0.246866,0.0327401
508.151,-1.17549e-38,0.0494853,-1.17549e-38,0.0446906,-1.17549e-38,-1.17549e-38,0.272576,0.0330892
508.6331,-1.17549e-38,0.0587955,-1.17549e-38,0.0298249,-1.17549e-38,-1.17549e-38,0.280104,0.0307539
509.1153,0.00185091,0.0681756,-1.17549e-38,0.019148,-1.17549e-38,-1.17549e-38,0.256525,0.0243696
509.5974,0.0182572,0.076784,0.0135064,0.0156802,0.0355181,-1.17549e-38,0.195403,0.0145251
510.0795,0.02681,0.083314,0.0740966,0.0182707,0.0603335,-1.17549e-38,0.102112,0.00341963
510.5616,0.0282323,0.0857404,0.103613,0.0216273,0.0662486,-1.17549e-38,-1.17549e-38,-1.17549e-38
511.0437,0.0258058,0.0817235,0.100114,0.019733,0.0555703,-1.17549e-38,-1.17549e-38,-1.17549e-38
511.5258,0.0229179,0.0701169,0.0747513,0.0101734,0.0360942,-1.17549e-38,-1.17549e-38,-1.17549e-38
512.008,0.0212316,0.0527101,0.044728,-1.17549e-38,0.0164325,0.0258925,-1.17549e-38,-1.17549e-38
512.4901,0.0201737,0.0345671,0.0249174,-1.17549e-38,0.0025845,0.112276,-1.17549e-38,-1.17549e-38
512.9722,0.0175357,0.0220365,0.022395,-1.17549e-38,-1.17549e-38,0.187879,-1.17549e-38,0.00189529
513.4543,0.0107437,0.0192297,0.0357278,-1.17549e-38,0.000959971,0.237969,-1.17549e-38,0.0113944
513.9365,-1.17549e-38,0.0253237,0.0584508,0.00656012,0.0128918,0.252805,0.0132134,0.0192784
514.4186,-1.17549e-38,0.0349404,0.0841042,0.0367709,0.0309504,0.232299,0.0283743,0.0234006
514.9007,-1.17549e-38,0.0415176,0.109224,0.0728249,0.0511948,0.186693,0.027034,0.0227644
515.3828,-1.17549e-38,0.0410713,0.132317,0.10694,0.0679796,0.132865,0.0209556,0.0178698
515.8649,-1.17549e-38,0.0336837,0.150287,0.127933,0.0753303,0.0883706,0.0184307,0.0104244
516.347,-1.17549e-38,0.0220922,0.15617,0.124499,0.0692877,0.0652952,0.0198761,0.00266638
516.8292,0.0177477,0.00887636,0.141456,0.0921928,0.0499979,0.0655549,0.0197129,-1.17549e-38
517.3113,0.0543167,-1.17549e-38,0.102305,0.0395968,0.0218669,0.0800973,0.0126766,-1.17549e-38
517.7934,0.0822432,-1.17549e-38,0.0442392,-1.17549e-38,-1.17549e-38,0.0937258,-1.17549e-38,-1.17549e-38
518.2755,0.0942697,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0933444,-1.17549e-38,-1.17549e-38
518.7576,0.0898194,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0744788,-1.17549e-38,-1.17549e-38
519.2397,0.0736925,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0424689,-1.17549e-38,-1.17549e-38
519.7219,0.0524969,-1.17549e-38,-1.17549e-38,0.0408592,-1.17549e-38,0.00825343,-1.17549e-38,-1.17549e-38
520.204,0.0312144,-1.17549e-38,-1.17549e-38,0.0737758,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
520.6861,0.0117785,-1.17549e-38,-1.17549e-38,0.0799839,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
521.1682,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0608143,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
521.6503,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0313801,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
522.1324,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0113839,0.0256999,-1.17549e-38,-1.17549e-38,-1.17549e-38
522.6146,-1.17549e-38,0.0174467,-1.17549e-38,0.0142512,0.0529613,-1.17549e-38,-1.17549e-38,-1.17549e-38
523.0967,-1.17549e-38,0.0292591,-1.17549e-38,0.0401218,0.0692153,-1.17549e-38,0.0299696,-1.17549e-38
523.5788,-1.17549e-38,0.026504,0.00200999,0.0761748,0.0739468,0.0155514,0.0616137,-1.17549e-38
524.0609,-1.17549e-38,0.0105239,-1.17549e-38,0.103645,0.0703138,0.0455802,0.0709644,-1.17549e-38
524.543,0.00686649,-1.17549e-38,-1.17549e-38,0.107255,0.062191,0.0647251,0.0586775,-1.17549e-38
525.0251,0.00271349,-1.17549e-38,-1.17549e-38,0.0826531,0.0510849,0.0661807,0.0334515,-1.17549e-38
525.5073,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0389805,0.0354192,0.0518846,0.00639764,-1.17549e-38
525.9894,-1.17549e-38,0.0202873,-1.17549e-38,-1.17549e-38,0.0133434,0.0313295,-1.17549e-38,0.00364754
526.4715,-1.17549e-38,0.0544514,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0148894,-1.17549e-38,0.00991205
526.9536,0.00856778,0.0794815,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00707939,-1.17549e-38,0.0154157
527.4357,0.0391116,0.0883585,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00558275,-1.17549e-38,0.0185596
527.9178,0.063421,0.0842535,0.00698702,-1.17549e-38,-1.17549e-38,0.00535005,-1.17549e-38,0.0183498
528.4,0.0687375,0.0755453,0.0175964,-1.17549e-38,-1.17549e-38,0.00256133,-1.17549e-38,0.0149023
528.8821,0.0513657,0.0690264,0.0292773,-1.17549e-38,0.019085,-1.17549e-38,0.00320549,0.00951888
529.3642,0.0187901,0.0660883,0.040234,-1.17549e-38,0.0380312,-1.17549e-38,0.0143086,0.00419915
529.8463,-1.17549e-38,0.0635414,0.0498875,-1.17549e-38,0.0376992,-1.17549e-38,0.0198637,0.000684083
530.3284,-1.17549e-38,0.0574928,0.0592982,-1.17549e-38,0.019491,-1.17549e-38,0.0201549,-1.17549e-38
530.8105,-1.17549e-38,0.0466792,0.0690856,0.00932443,-1.17549e-38,-1.17549e-38,0.0183316,-1.17549e-38
531.2927,-1.17549e-38,0.0327132,0.0768797,0.0302615,-1.17549e-38,-1.17549e-38,0.0177222,0.00033769
531.7748,0.00907014,0.0179492,0.0772152,0.0472698,-1.17549e-38,-1.17549e-38,0.0194193,-1.17549e-38
532.2569,0.0335941,0.00364969,0.0648305,0.0546026,-1.17549e-38,0.0419499,0.0222737,-1.17549e-38
532.739,0.0505724,-1.17549e-38,0.0393287,0.0479969,0.0279415,0.0841095,0.0250481,-1.17549e-38
533.2211,0.0571942,-1.17549e-38,0.00755554,0.0255891,0.0556949,0.102673,0.0284206,-1.17549e-38
533.7032,0.0541827,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0718526,0.0877769,0.0346833,-1.17549e-38
534.1854,0.0453394,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0723631,0.045803,0.0451995,-1.17549e-38
534.6675,0.036643,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0593488,-1.17549e-38,0.0578583,-1.17549e-38
535.1496,0.0339931,-1.17549e-38,0.00218687,-1.17549e-38,0.038972,-1.17549e-38,0.0668982,-1.17549e-38
535.6317,0.0397423,-1.17549e-38,0.0232719,-1.17549e-38,0.0183313,-1.17549e-38,0.0656346,-1.17549e-38
536.1138,0.0501298,-1.17549e-38,0.0308525,-1.17549e-38,0.00278463,-1.17549e-38,0.0504406,-1.17549e-38
536.5959,0.0563409,-1.17549e-38,0.0207063,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0234481,0.00355424
537.0781,0.0497121,0.00515883,0.000375541,-1.17549e-38,-1.17549e-38,0.0206043,-1.17549e-38,0.00932225
537.5602,0.0280163,0.0249183,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0272711,-1.17549e-38,0.0133969
538.0423,-1.17549e-38,0.051546,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0236189,-1.17549e-38,0.0148357
538.5244,-1.17549e-38,0.0780741,0.0190626,-1.17549e-38,0.00241494,0.0219576,-1.17549e-38,0.0132564
539.0065,-1.17549e-38,0.0959532,0.0623882,-1.17549e-38,0.00111202,0.0341977,0.0111235,0.00902385
539.4886,-1.17549e-38,0.099337,0.100238,-1.17549e-38,-1.17549e-38,0.0636836,0.0584314,0.0033636
539.9708,0.00474232,0.0874857,0.112558,-1.17549e-38,-1.17549e-38,0.102027,0.100659,-1.17549e-38
540.4529,0.0327111,0.0641388,0.0901459,-1.17549e-38,-1.17549e-38,0.132816,0.120009,-1.17549e-38
540.935,0.0489113,0.0349917,0.0404123,-1.17549e-38,-1.17549e-38,0.140288,0.105425,-1.17549e-38
541.4171,0.0465831,0.00553402,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.11796,0.0594011,0.00572027
541.8992,0.0273393,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0720097,-1.17549e-38,0.0157601
542.3813,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0173107,-1.17549e-38,0.0253335
542.8635,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0311005
543.3456,-1.17549e-38,-1.17549e-38,0.00877369,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0311571
543.8277,-1.17549e-38,0.0106333,0.0472397,0.00958914,-1.17549e-38,-1.17549e-38,0.010865,0.0256128
544.3098,-1.17549e-38,0.0490514,0.0664469,0.00745148,-1.17549e-38,-1.17549e-38,0.0757039,0.0160259
544.7919,-1.17549e-38,0.0819917,0.0631615,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.128503,0.0042923
545.274,0.00560517,0.0969894,0.0453173,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.155686,-1.17549e-38
545.7562,0.0134052,0.0879459,0.0253009,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.15634,-1.17549e-38
546.2383,0.00747215,0.0587313,0.0119394,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.139276,-1.17549e-38
546.7204,-1.17549e-38,0.0216283,0.00627529,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.116014,-1.17549e-38
547.2025,-1.17549e-38,-1.17549e-38,0.00318531,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0946482,-1.17549e-38
547.6846,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0143175,0.0779672,-1.17549e-38
