Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb)
499.955,0.00189065,0.020018,0.0246109,-1.17549e-38,0.0249129,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0155237,0.271942,-1.17549e-38,0.0544339
500.4372,-1.17549e-38,0.0319039,0.0584466,-1.17549e-38,0.0275643,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0544481,0.264922,-1.17549e-38,0.0118796
500.9193,-1.17549e-38,0.0288915,0.0866909,-1.17549e-38,0.0170098,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0776081,0.2211,-1.17549e-38,-1.17549e-38
501.4014,0.00990043,0.0261039,0.098813,-1.17549e-38,0.0107843,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0853653,0.148353,0.0679702,0.0248156
501.8835,0.0287636,0.0373811,0.0893693,-1.17549e-38,0.0208845,-1.17549e-38,0.0345365,-1.17549e-38,0.0804046,0.0642268,0.148315,0.0885357
502.3656,0.0433303,0.0648055,0.0614429,-1.17549e-38,0.0447354,-1.17549e-38,0.0719599,-1.17549e-38,0.0659995,-1.17549e-38,0.205178,0.163175
502.8477,0.0454518,0.0975415,0.0255119,0.0158587,0.0668001,0.0129001,0.0793595,0.00132447,0.045906,-1.17549e-38,0.225039,0.214787
503.3299,0.0331083,0.121091,-1.17549e-38,0.0313338,0.0706472,0.034363,0.0618915,0.0102294,0.0252843,-1.17549e-38,0.20466,0.221151
503.812,0.0113477,0.127226,-1.17549e-38,0.0225073,0.0505051,0.0539182,0.0335867,0.00190664,0.0109091,-1.17549e-38,0.152541,0.183249
504.2941,-1.17549e-38,0.116018,-1.17549e-38,-1.17549e-38,0.0134859,0.0757777,0.00801712,-1.17549e-38,0.00963337,-1.17549e-38,0.0854306,0.121252
504.7762,-1.17549e-38,0.0916311,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0926235,-1.17549e-38,-1.17549e-38,0.0254061,-1.17549e-38,0.0225483,0.0622876
505.2583,-1.17549e-38,0.0582001,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.091175,-1.17549e-38,-1.17549e-38,0.0558127,0.0266802,-1.17549e-38,0.0281389
505.7404,-1.17549e-38,0.0193227,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0630199,-1.17549e-38,0.00939087,0.0898205,0.0633829,-1.17549e-38,0.0262407
506.2226,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.013491,-1.17549e-38,0.0123575,0.109414,0.0953629,-1.17549e-38,0.0464057
506.7047,0.0048027,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00355631,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0970413,0.11608,-1.17549e-38,0.0667136
507.1868,0.0185552,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0414419,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.046204,0.12201,0.00331666,0.0678325
507.6689,0.02897,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0668368,-1.17549e-38,0.00697704,-1.17549e-38,-1.17549e-38,0.116069,0.0174168,0.0463572
508.151,0.0362929,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0736048,-1.17549e-38,0.00991844,-1.17549e-38,-1.17549e-38,0.106519,0.0315764,0.0160363
508.6331,0.0418438,0.0185341,0.00419906,-1.17549e-38,0.0647603,-1.17549e-38,0.0029645,-1.17549e-38,-1.17549e-38,0.101598,0.0483292,-1.17549e-38
509.1153,0.0477644,0.0444168,0.0167928,-1.17549e-38,0.0495928,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.103743,0.0640024,-1.17549e-38
509.5974,0.0567964,0.0524415,0.0219464,0.00419389,0.0380593,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.10719,0.0695093,0.0132069
510.0795,0.0711358,0.0456954,0.0161493,0.029178,0.0347669,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.100653,0.0570122,0.0244144
510.5616,0.0902947,0.0371579,0.000727337,0.0509521,0.0353868,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0744609,0.0274614,0.0110582
511.0437,0.109479,0.0416342,-1.17549e-38,0.0654762,0.0284937,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0284688,-1.17549e-38,-1.17549e-38
