Wavenumber (cm-1),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb),Int deg30 (arb)
499.955,0.0757309,-1.17549e-38,0.041038,-1.17549e-38,0.108763,0.0907432,-1.17549e-38,0.0838831,0.0372207,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0480821,-1.17549e-38
500.4372,0.101323,-1.17549e-38,0.0144991,0.0216566,0.0819142,0.132506,0.00737548,0.0564183,0.0613053,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0693816,0.0107648
500.9193,0.108877,-1.17549e-38,-1.17549e-38,0.041071,0.0640181,0.178236,0.012988,0.0439582,0.0883231,0.0240212,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0816769,0.0448968
501.4014,0.103821,-1.17549e-38,-1.17549e-38,0.0312851,0.0633582,0.225002,0.0156488,0.0544927,0.111357,0.0372664,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0679973,0.0526501
501.8835,0.089082,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0710981,0.263464,0.025681,0.0804486,0.124,0.0246348,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0248848,0.0325576
502.3656,0.0662068,-1.17549e-38,0.0104868,-1.17549e-38,0.0680801,0.282174,0.0497285,0.104013,0.123096,-1.17549e-38,-1.17549e-38,0.0122106,-1.17549e-38,-1.17549e-38,-1.17549e-38
502.8477,0.0389471,-1.17549e-38,0.031201,-1.17549e-38,0.0407391,0.274005,0.0838945,0.1108,0.109603,-1.17549e-38,0.0386956,0.0630556,-1.17549e-38,-1.17549e-38,-1.17549e-38
503.3299,0.0145701,-1.17549e-38,0.0546841,-1.17549e-38,-1.17549e-38,0.239793,0.113888,0.100451,0.0868596,-1.17549e-38,0.0821081,0.102386,-1.17549e-38,-1.17549e-38,-1.17549e-38
503.812,0.00100991,-1.17549e-38,0.0776909,-1.17549e-38,-1.17549e-38,0.186904,0.123472,0.0847675,0.0579635,-1.17549e-38,0.0890777,0.125273,-1.17549e-38,-1.17549e-38,-1.17549e-38
504.2941,0.00249675,0.0305554,0.0959374,-1.17549e-38,-1.17549e-38,0.125314,0.104768,0.0763927,0.0248714,-1.17549e-38,0.0555387,0.132632,-1.17549e-38,-1.17549e-38,-1.17549e-38
