Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
2,2199.8277519733047,2128.2438629831404,2168.678503673912,2159.7586355465705
4,2200.6910848317953,2129.032081173308,2168.678503673912,2160.7947795648984
6,2200.6686637552393,2130.319923820159,2168.678503673912,2162.519377847901
8,2201.6763287681515,2131.881784633773,2168.678503673912,2164.9289395359065
10,2203.2319368137146,2133.8393416763242,2168.678503673912,2168.018521092264
12,2204.476692561395,2135.540169156212,2168.678503673912,2171.7816703170315
14,2206.8097997417713,2138.157162848926,2168.678503673912,2176.21035489012
16,2209.6256963350347,2140.675283112546,2168.678503673912,2181.2948758908396
18,2212.6505984452497,2142.4327250644424,2168.678503673912,2187.0237668987475
20,2217.8674154029363,2144.674738722865,2168.678503673912,2193.3836794737385
22,2222.8579137346846,2146.3513948663162,2168.678503673912,2200.3592560474776
24,2229.52690695228,2148.099412689712,2168.678503673912,2207.932991539121
26,2235.692860484836,2149.723423005123,2168.678503673912,2216.0850853407314
28,2242.8373118722693,2151.859797245027,2168.678503673912,2224.7932857055785
30,2246.795778398271,2153.0270107317506,2168.678503673912,2234.0327290178757
