Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2200.9325850185264,2128.6995725224806,2168.916942247257,2159.342746411707
2,2199.827784632938,2128.243876136052,2168.916942247257,2159.687436542979
4,2200.6910848166817,2129.0320812055916,2168.916942247257,2160.7208160641007
6,2200.6686637698535,2130.3199238052334,2168.916942247257,2162.440804321336
8,2201.676328764521,2131.8817846559523,2168.916942247257,2164.843906812408
10,2203.231936900253,2133.83934166718,2168.916942247257,2167.925175208711
12,2204.4766925115878,2135.5401691599386,2168.916942247257,2171.67815168042
14,2206.809799775989,2138.157162854231,2168.916942247257,2176.0947978451773
16,2209.625697021156,2140.6752831202134,2168.916942247257,2181.165408790819
18,2212.650598541896,2142.4327250525753,2168.916942247257,2186.8785127809415
20,2217.8674154303935,2144.674738726996,2168.916942247257,2193.2207574452946
22,2222.857913779079,2146.3513948658824,2168.916942247257,2200.176783490931
24,2229.5269069322476,2148.099412689555,2168.916942247257,2207.729087250303
26,2235.6928604818117,2149.7234230064114,2168.916942247257,2215.8578737138705
28,2242.8373118768573,2151.859797244926,2168.916942247257,2224.5409020809243
30,2246.7957783992665,2153.0270107316956,2168.916942247257,2233.753326305361
