Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2201.3887695383364,2035.850811893145,2092.7850774430717,2145.2750776407024
2,2201.536875929739,2036.323495016767,2092.7850774430717,2145.769633877568
4,2202.3218205380995,2037.1440290854514,2092.7850774430717,2147.2529420528417
6,2203.539832964772,2038.226290882762,2092.7850774430717,2149.7239059233866
8,2205.6436187287363,2039.0606394344782,2092.7850774430717,2153.180649515058
10,2208.5595651400586,2042.345897452845,2092.7850774430717,2157.6204433829394
12,2212.686116616695,2045.2935390273794,2092.7850774430717,2163.039600619774
14,2217.166021946305,2047.175391285418,2092.7850774430717,2169.4333418969763
16,2222.8637868156643,2048.5961130288474,2092.7850774430717,2176.7956286781773
18,2229.9656326752797,2049.4451597473353,2092.7850774430717,2185.1189636501
20,2236.223973364495,2050.0635318524537,2092.7850774430717,2194.3941573853813
22,2243.849805670399,2050.364178001052,2092.7850774430717,2204.610060305162
