Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb)
499.955,-1.17549e-38,0.157799,0.0557422,0.154764,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0205585,0.151171,0.0220979,-1.17549e-38,-1.17549e-38
500.4372,-1.17549e-38,0.144129,0.0128307,0.155359,0.014054,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.153554,0.037789,-1.17549e-38,-1.17549e-38
500.9193,-1.17549e-38,0.128983,-1.17549e-38,0.128254,0.0478673,0.012281,-1.17549e-38,-1.17549e-38,0.136065,0.0488304,-1.17549e-38,-1.17549e-38
501.4014,-1.17549e-38,0.11523,-1.17549e-38,0.0773038,0.070287,0.0501993,-1.17549e-38,-1.17549e-38,0.0970771,0.063194,-1.17549e-38,-1.17549e-38
501.8835,0.0292849,0.105607,-1.17549e-38,0.0219268,0.072293,0.0758304,0.0355171,-1.17549e-38,0.0439113,0.084061,-1.17549e-38,-1.17549e-38
502.3656,0.0784033,0.103776,-1.17549e-38,-1.17549e-38,0.0545351,0.0872525,0.072895,-1.17549e-38,-1.17549e-38,0.105527,-1.17549e-38,-1.17549e-38
502.8477,0.117192,0.111919,-1.17549e-38,-1.17549e-38,0.0288265,0.0856691,0.0940018,-1.17549e-38,-1.17549e-38,0.114384,-1.17549e-38,-1.17549e-38
503.3299,0.136668,0.127039,-1.17549e-38,0.0213852,0.0107858,0.0733807,0.100813,-1.17549e-38,-1.17549e-38,0.0985144,-1.17549e-38,-1.17549e-38
503.812,0.134938,0.140212,0.0038064,0.0569016,0.00962456,0.0525643,0.102428,-1.17549e-38,-1.17549e-38,0.05571,-1.17549e-38,-1.17549e-38
504.2941,0.118009,0.139915,0.00433677,0.0734388,0.0236764,0.0259028,0.106365,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0288335,-1.17549e-38
504.7762,0.0972949,0.117132,0.000542858,0.059731,0.0430241,-1.17549e-38,0.114623,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0582734,-1.17549e-38
505.2583,0.0854647,0.0701029,-1.17549e-38,0.0206665,0.0554291,-1.17549e-38,0.125253,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0708516,-1.17549e-38
505.7404,0.0913786,0.00722926,-1.17549e-38,-1.17549e-38,0.0523654,-1.17549e-38,0.136069,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0677314,-1.17549e-38
506.2226,0.115296,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0333132,-1.17549e-38,0.146917,-1.17549e-38,0.00583984,-1.17549e-38,0.0559331,0.00389823
506.7047,0.147307,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00644599,-1.17549e-38,0.158416,-1.17549e-38,0.035061,0.060431,0.0463797,0.0788659
507.1868,0.171742,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.168272,-1.17549e-38,0.0794859,0.117941,0.0486794,0.159086
507.6689,0.175698,-1.17549e-38,-1.17549e-38,0.0537555,-1.17549e-38,0.00271748,0.169436,-1.17549e-38,0.134951,0.135572,0.0663997,0.222106
508.151,0.155323,-1.17549e-38,-1.17549e-38,0.121462,-1.17549e-38,0.000270907,0.153288,0.00458246,0.189307,0.111187,0.0965499,0.246811
508.6331,0.115716,0.0270818,-1.17549e-38,0.170766,0.0172562,-1.17549e-38,0.115991,0.0214817,0.226376,0.0627611,0.132544,0.223893
509.1153,0.0662684,0.0681078,-1.17549e-38,0.188029,0.0453885,-1.17549e-38,0.0632512,0.0319938,0.232347,0.0165152,0.167036,0.160072
509.5974,0.0157477,0.0923002,0.0304663,0.170179,0.0624069,-1.17549e-38,0.0100471,0.0339847,0.202298,-1.17549e-38,0.192835,0.0751428
510.0795,-1.17549e-38,0.0980849,0.0543976,0.125499,0.0598079,0.0107299,-1.17549e-38,0.0254736,0.144419,0.0071416,0.20314,-1.17549e-38
510.5616,-1.17549e-38,0.087581,0.0599243,0.0712713,0.0395476,0.0216372,-1.17549e-38,0.0044538,0.0787965,0.050623,0.193036,-1.17549e-38
511.0437,-1.17549e-38,0.064957,0.0519728,0.0269323,0.0153741,0.0224459,-1.17549e-38,-1.17549e-38,0.029078,0.110441,0.162168,-1.17549e-38
511.5258,-1.17549e-38,0.0353642,0.0414569,0.00478088,0.00628287,0.0114082,0.0322839,-1.17549e-38,0.0107552,0.167734,0.116212,-1.17549e-38
512.008,-1.17549e-38,0.00445099,0.0394189,0.00400137,0.0248855,-1.17549e-38,0.0693697,-1.17549e-38,0.0238993,0.206293,0.0651081,-1.17549e-38
512.4901,-1.17549e-38,-1.17549e-38,0.0523849,0.0123722,0.0685884,-1.17549e-38,0.0923064,-1.17549e-38,0.0550341,0.217231,0.0189212,-1.17549e-38
