Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2289.6809401565374,2034.746688124532,2148.8441029650558,2175.989242850754
2,2289.877891116642,2035.1724949079476,2148.8441029650558,2176.276974826207
4,2289.9836173688786,2035.9527845743576,2148.8441029650558,2177.1394523321637
6,2290.853196863516,2037.039528450112,2148.8441029650558,2178.5745147928915
8,2291.6085213204155,2037.9904547693313,2148.8441029650558,2180.5785435924067
10,2293.037704033925,2039.3023742503608,2148.8441029650558,2183.146435797075
12,2294.6676257908816,2040.5658941407423,2148.8441029650558,2186.2715677885158
14,2297.0190328816925,2041.7664323352271,2148.8441029650558,2189.9457492438796
16,2299.276316078586,2043.0441175302235,2148.8441029650558,2194.1591680476013
18,2302.7390556860073,2044.6202627733549,2148.8441029650558,2198.9003268819083
20,2306.011629182578,2047.3684182681422,2148.8441029650558,2204.155972425402
22,2309.2074238471455,2049.6458162385616,2148.8441029650558,2209.9110182923387
