Wavenumber (cm-1),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
499.955,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0369525,0.0124165,-1.17549e-38,-1.17549e-38,0.0548061,0.0683465,0.0404211,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0302816,0.0316253,-1.17549e-38,0.151179,0.0999682
500.4372,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0457156,0.0330404,0.0216737,-1.17549e-38,0.0810486,0.130845,0.0519398,-1.17549e-38,0.028067,-1.17549e-38,-1.17549e-38,0.0362697,0.0222648,-1.17549e-38,0.128906,0.160642
500.9193,0.0370221,-1.17549e-38,0.0289195,-1.17549e-38,-1.17549e-38,0.054571,0.0291799,0.0210555,-1.17549e-38,0.100234,0.197731,0.0550587,-1.17549e-38,0.0555602,-1.17549e-38,0.000959528,0.0317654,0.00232897,-1.17549e-38,0.0818275,0.209061
501.4014,0.0885001,0.02023,0.0819366,-1.17549e-38,-1.17549e-38,0.0563262,0.00626809,-1.17549e-38,-1.17549e-38,0.11203,0.254418,0.0572746,-1.17549e-38,0.0794419,0.0334256,0.00396674,0.0211848,-1.17549e-38,0.0156201,0.0160517,0.232333
501.8835,0.114057,0.0462746,0.13057,-1.17549e-38,-1.17549e-38,0.047421,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.11799,0.285503,0.0662493,-1.17549e-38,0.0953813,0.0898158,0.0154309,0.0111,-1.17549e-38,0.0292073,-1.17549e-38,0.231363
502.3656,0.116615,0.0412917,0.16421,-1.17549e-38,-1.17549e-38,0.0317646,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.119941,0.283227,0.0849903,-1.17549e-38,0.102536,0.136641,0.0438728,0.00763775,-1.17549e-38,0.0259135,-1.17549e-38,0.220002
502.8477,0.105368,0.00591233,0.179664,-1.17549e-38,-1.17549e-38,0.0196452,0.0254943,-1.17549e-38,0.031029,0.118426,0.253744,0.109828,-1.17549e-38,0.106574,0.155585,0.0868763,0.0119874,-1.17549e-38,0.00914727,-1.17549e-38,0.213997
503.3299,0.0905991,-1.17549e-38,0.179875,-1.17549e-38,-1.17549e-38,0.0207572,0.0739417,-1.17549e-38,0.0612714,0.112307,0.213658,0.133034,-1.17549e-38,0.115257,0.13954,0.13369,0.0185812,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.21822
503.812,0.0787141,-1.17549e-38,0.16861,0.00808941,0.00520659,0.037064,0.105456,-1.17549e-38,0.0670097,0.0996728,0.179117,0.147494,0.01208,0.130812,0.0964402,0.17384,0.018622,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.223823
504.2941,0.0706977,-1.17549e-38,0.146878,0.0397319,0.00993834,0.061305,0.0977057,-1.17549e-38,0.0524456,0.0793747,0.157378,0.1495,0.00781324,0.146803,0.0432298,0.20305,0.00613637,0.0293263,-1.17549e-38,-1.17549e-38,0.21601
504.7762,0.0636654,-1.17549e-38,0.113771,0.0643723,-1.17549e-38,0.0810825,0.0468551,-1.17549e-38,0.0279686,0.0526564,0.146006,0.138854,-1.17549e-38,0.151682,-1.17549e-38,0.222132,-1.17549e-38,0.0852385,-1.17549e-38,-1.17549e-38,0.183937
