Wavenumber (cm-1),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb)
499.955,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0369525,0.0124165,-1.17549e-38,-1.17549e-38,0.0548061,0.0683465
500.4372,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0457156,0.0330404,0.0216737,-1.17549e-38,0.0810486,0.130845
500.9193,0.0370221,-1.17549e-38,0.0289195,-1.17549e-38,-1.17549e-38,0.054571,0.0291799,0.0210555,-1.17549e-38,0.100234,0.197731
501.4014,0.0885001,0.02023,0.0819366,-1.17549e-38,-1.17549e-38,0.0563262,0.00626809,-1.17549e-38,-1.17549e-38,0.11203,0.254418
501.8835,0.114057,0.0462746,0.13057,-1.17549e-38,-1.17549e-38,0.047421,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.11799,0.285503
502.3656,0.116615,0.0412917,0.16421,-1.17549e-38,-1.17549e-38,0.0317646,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.119941,0.283227
502.8477,0.105368,0.00591233,0.179664,-1.17549e-38,-1.17549e-38,0.0196452,0.0254943,-1.17549e-38,0.031029,0.118426,0.253744
503.3299,0.0905991,-1.17549e-38,0.179875,-1.17549e-38,-1.17549e-38,0.0207572,0.0739417,-1.17549e-38,0.0612714,0.112307,0.213658
503.812,0.0787141,-1.17549e-38,0.16861,0.00808941,0.00520659,0.037064,0.105456,-1.17549e-38,0.0670097,0.0996728,0.179117
504.2941,0.0706977,-1.17549e-38,0.146878,0.0397319,0.00993834,0.061305,0.0977057,-1.17549e-38,0.0524456,0.0793747,0.157378
504.7762,0.0636654,-1.17549e-38,0.113771,0.0643723,-1.17549e-38,0.0810825,0.0468551,-1.17549e-38,0.0279686,0.0526564,0.146006
505.2583,0.0535817,-1.17549e-38,0.0699141,0.0856538,-1.17549e-38,0.0852872,-1.17549e-38,-1.17549e-38,0.00720195,0.0246801,0.137491
505.7404,0.0379199,-1.17549e-38,0.0203862,0.105002,-1.17549e-38,0.0700155,-1.17549e-38,-1.17549e-38,0.000921162,0.00502246,0.125143
506.2226,0.0174305,-1.17549e-38,-1.17549e-38,0.117917,-1.17549e-38,0.0413415,-1.17549e-38,-1.17549e-38,0.00973914,0.00528648,0.107089
506.7047,-1.17549e-38,0.0444714,-1.17549e-38,0.114919,-1.17549e-38,0.0123772,-1.17549e-38,-1.17549e-38,0.0208739,0.0329047,0.0862582
507.1868,-1.17549e-38,0.143923,-1.17549e-38,0.0884205,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.019815,0.0143315,0.0841316,0.0665072
507.6689,-1.17549e-38,0.230414,-1.17549e-38,0.0406295,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.058843,-1.17549e-38,0.142403,0.0484529
508.151,-1.17549e-38,0.28355,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0765841,-1.17549e-38,0.184931,0.0291944
