Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
-20,2228.884306479272,2153.496550836742,2168.1105183187797,2213.702852607186
-18,2222.302162072806,2150.258740003695,2168.1105183187797,2204.3002432011995
-16,2216.7680552235774,2147.1116282779753,2168.1105183187797,2195.863066449283
-14,2211.763768336349,2144.541668348108,2168.1105183187797,2188.4004736126512
-12,2207.7816023084197,2142.954442229678,2168.1105183187797,2181.919918846959
-10,2204.200382381266,2140.564885856685,2168.1105183187797,2176.4273962898324
-8,2201.2829130747286,2138.197084980885,2168.1105183187797,2171.9276427514833
-6,2199.4127936261516,2136.6724668241045,2168.1105183187797,2168.4243070478965
-4,2197.9778727019266,2135.787174377145,2168.1105183187797,2165.9200869785477
-2,2197.254470243143,2135.288240068207,2168.1105183187797,2164.416834847443
0,2196.702633309408,2135.230201834795,2168.1105183187797,2163.9156322735166
