Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb)
499.955,0.111263,0.0404211,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0302816,0.0316253,-1.17549e-38,0.151179,0.0999682,0.098452
500.4372,0.17028,0.0519398,-1.17549e-38,0.028067,-1.17549e-38,-1.17549e-38,0.0362697,0.0222648,-1.17549e-38,0.128906,0.160642,0.120451
500.9193,0.225653,0.0550587,-1.17549e-38,0.0555602,-1.17549e-38,0.000959528,0.0317654,0.00232897,-1.17549e-38,0.0818275,0.209061,0.138311
501.4014,0.267451,0.0572746,-1.17549e-38,0.0794419,0.0334256,0.00396674,0.0211848,-1.17549e-38,0.0156201,0.0160517,0.232333,0.146653
501.8835,0.283299,0.0662493,-1.17549e-38,0.0953813,0.0898158,0.0154309,0.0111,-1.17549e-38,0.0292073,-1.17549e-38,0.231363,0.140035
502.3656,0.262886,0.0849903,-1.17549e-38,0.102536,0.136641,0.0438728,0.00763775,-1.17549e-38,0.0259135,-1.17549e-38,0.220002,0.118853
502.8477,0.205175,0.109828,-1.17549e-38,0.106574,0.155585,0.0868763,0.0119874,-1.17549e-38,0.00914727,-1.17549e-38,0.213997,0.0918122
503.3299,0.121267,0.133034,-1.17549e-38,0.115257,0.13954,0.13369,0.0185812,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.21822,0.0712913
503.812,0.0295844,0.147494,0.01208,0.130812,0.0964402,0.17384,0.018622,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.223823,0.0656539
504.2941,-1.17549e-38,0.1495,0.00781324,0.146803,0.0432298,0.20305,0.00613637,0.0293263,-1.17549e-38,-1.17549e-38,0.21601,0.0754632
