Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2195.645823665378,2139.503439186253,2172.3487319110213,2163.2599425927338
2,2195.8240467218525,2139.5139546885925,2172.3487319110213,2163.7886982306864
4,2196.658434371176,2140.4730923236943,2172.3487319110213,2165.374711860435
6,2198.4135679931746,2141.920278123987,2172.3487319110213,2168.017207888954
8,2200.447563158665,2143.460604566089,2172.3487319110213,2171.7148410338827
10,2203.5672602210984,2145.635494090223,2172.3487319110213,2176.465616832633
12,2207.010456998185,2147.281533149028,2172.3487319110213,2182.266779270789
14,2210.9258678278984,2149.1687840785653,2172.3487319110213,2189.1146644827154
16,2217.3485316823203,2151.9274502407284,2172.3487319110213,2197.0045192344814
18,2224.05919788745,2154.205607412828,2172.3487319110213,2205.930282704029
20,2231.021364086935,2157.5637830632195,2172.3487319110213,2215.884329942698
22,2236.5113624208475,2165.775598093435,2172.3487319110213,2226.8571753560345
