Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb)
499.955,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.155949,-1.17549e-38,-1.17549e-38,0.113915,0.0222349,0.0158507,0.0590179,0.0792085,0.0454453,-1.17549e-38,0.0418181
500.4372,-1.17549e-38,-1.17549e-38,0.00812345,0.16382,-1.17549e-38,-1.17549e-38,0.0978225,0.0231125,0.021228,0.0548625,0.0716621,0.0397448,-1.17549e-38,-1.17549e-38
500.9193,-1.17549e-38,-1.17549e-38,0.07327,0.158153,-1.17549e-38,-1.17549e-38,0.0895718,0.0227859,0.0246831,0.0494478,0.0482429,0.0374731,0.000810544,-1.17549e-38
501.4014,-1.17549e-38,-1.17549e-38,0.128922,0.134347,-1.17549e-38,-1.17549e-38,0.0837178,0.021063,0.0165814,0.0406142,0.0170842,0.040845,0.0110431,-1.17549e-38
501.8835,-1.17549e-38,0.0156733,0.175798,0.0957571,-1.17549e-38,-1.17549e-38,0.0670684,0.0185706,-1.17549e-38,0.0240644,-1.17549e-38,0.0485789,0.000654529,-1.17549e-38
502.3656,-1.17549e-38,0.0466057,0.212055,0.053995,-1.17549e-38,-1.17549e-38,0.0298276,0.0164505,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0593261,-1.17549e-38,-1.17549e-38
502.8477,0.0189897,0.0614948,0.230615,0.0222874,-1.17549e-38,0.0066635,-1.17549e-38,0.015633,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0732151,-1.17549e-38,-1.17549e-38
503.3299,0.0441968,0.0510862,0.224064,0.00683691,-1.17549e-38,0.0254438,-1.17549e-38,0.0162934,-1.17549e-38,-1.17549e-38,0.000335472,0.0886826,-1.17549e-38,-1.17549e-38
503.812,0.0706178,0.0216043,0.191447,0.00408682,-1.17549e-38,0.030038,-1.17549e-38,0.0178811,-1.17549e-38,-1.17549e-38,0.0118156,0.0981468,-1.17549e-38,-1.17549e-38
504.2941,0.0948544,-1.17549e-38,0.139951,0.00503212,-1.17549e-38,0.0248205,-1.17549e-38,0.0194418,-1.17549e-38,-1.17549e-38,0.0151231,0.0884374,-1.17549e-38,-1.17549e-38
504.7762,0.111303,-1.17549e-38,0.081239,0.0013297,0.00824172,0.015604,-1.17549e-38,0.0198332,-1.17549e-38,-1.17549e-38,0.0114127,0.0475354,-1.17549e-38,-1.17549e-38
505.2583,0.113866,-1.17549e-38,0.0264958,-1.17549e-38,0.0400934,0.007178,-1.17549e-38,0.0178803,-1.17549e-38,-1.17549e-38,0.00592075,-1.17549e-38,-1.17549e-38,-1.17549e-38
505.7404,0.0985026,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0680832,0.00203602,-1.17549e-38,0.0127718,-1.17549e-38,0.0154536,0.00351173,-1.17549e-38,-1.17549e-38,-1.17549e-38
506.2226,0.0656788,0.00339711,-1.17549e-38,-1.17549e-38,0.0878291,-1.17549e-38,-1.17549e-38,0.00475222,0.00721001,0.0342695,0.00518833,-1.17549e-38,-1.17549e-38,-1.17549e-38
506.7047,0.0213566,0.0227259,-1.17549e-38,-1.17549e-38,0.0970919,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.000670159,0.0459057,0.00766243,-1.17549e-38,-1.17549e-38,-1.17549e-38
507.1868,-1.17549e-38,0.0441191,-1.17549e-38,-1.17549e-38,0.0973475,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0536338,0.00640925,-1.17549e-38,-1.17549e-38,0.00437023
507.6689,-1.17549e-38,0.072303,-1.17549e-38,-1.17549e-38,0.0931163,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0600174,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0341545
508.151,-1.17549e-38,0.104909,0.0180371,-1.17549e-38,0.0890075,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0648556,-1.17549e-38,0.0346775,-1.17549e-38,0.0404328
508.6331,-1.17549e-38,0.128579,0.0501589,-1.17549e-38,0.0867591,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0155548,0.0662309,-1.17549e-38,0.106651,-1.17549e-38,0.0254872
509.1153,-1.17549e-38,0.125058,0.0670252,-1.17549e-38,0.0844449,-1.17549e-38,0.0148312,-1.17549e-38,0.0670893,0.0627799,-1.17549e-38,0.130422,-1.17549e-38,0.00375671
509.5974,-1.17549e-38,0.0832505,0.0617191,-1.17549e-38,0.0781493,-1.17549e-38,0.0354558,-1.17549e-38,0.106479,0.0547988,-1.17549e-38,0.105154,-1.17549e-38,-1.17549e-38
510.0795,0.00982929,0.00938632,0.0357098,-1.17549e-38,0.0649361,0.00327333,0.0596854,-1.17549e-38,0.115045,0.0435634,0.0221564,0.0452291,-1.17549e-38,-1.17549e-38
510.5616,0.0324199,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0453019,0.00583916,0.080689,-1.17549e-38,0.0898338,0.0299641,0.0487653,-1.17549e-38,-1.17549e-38,0.0156895
511.0437,0.0355455,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0233954,0.00494073,0.0890062,-1.17549e-38,0.0448137,0.0140545,0.0701972,-1.17549e-38,-1.17549e-38,0.0422072
511.5258,0.0206828,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0046102,0.00195561,0.0774425,-1.17549e-38,0.00170066,-1.17549e-38,0.0776193,-1.17549e-38,-1.17549e-38,0.0684472
512.008,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0458203,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0665271,-1.17549e-38,-1.17549e-38,0.0922275
