Wavenumber (cm-1),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb)
499.955,0.137396,0.139808,0.0777876,0.0217352,-1.17549e-38,0.0488705,0.0282711,0.0481175,0.0940754,0.0969005,-1.17549e-38,-1.17549e-38,0.0130252
500.4372,0.114606,0.159274,0.0802475,0.0307788,0.00463159,-1.17549e-38,0.0151285,0.00541098,0.112343,0.0634933,-1.17549e-38,0.0168076,0.0433061
500.9193,0.0950489,0.156548,0.0780179,0.039217,0.00735614,-1.17549e-38,0.00887257,-1.17549e-38,0.125411,0.0264589,-1.17549e-38,0.0260946,0.0681979
501.4014,0.0756295,0.135206,0.0631972,0.0357791,0.00209306,-1.17549e-38,0.0108068,-1.17549e-38,0.128453,-1.17549e-38,-1.17549e-38,0.022766,0.0765887
501.8835,0.0512294,0.102027,0.0329221,0.0142259,-1.17549e-38,0.0026753,0.0145732,-1.17549e-38,0.114751,-1.17549e-38,-1.17549e-38,0.0183881,0.061969
502.3656,0.0204851,0.0635915,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0652628,0.0102685,-1.17549e-38,0.0798795,-1.17549e-38,-1.17549e-38,0.0256259,0.0276993
502.8477,-1.17549e-38,0.0234783,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.118535,-1.17549e-38,-1.17549e-38,0.0271556,0.00206105,-1.17549e-38,0.0502546,-1.17549e-38
503.3299,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.132368,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00478173,-1.17549e-38,0.0880877,-1.17549e-38
503.812,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0973297,-1.17549e-38,0.0279806,-1.17549e-38,0.000368774,-1.17549e-38,0.128676,-1.17549e-38
504.2941,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0269955,-1.17549e-38,0.0282867,-1.17549e-38,0.0537595,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.160922,-1.17549e-38
504.7762,0.00538905,-1.17549e-38,-1.17549e-38,0.0863198,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0714841,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.176146,-1.17549e-38
505.2583,0.0476599,-1.17549e-38,-1.17549e-38,0.138407,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.079906,-1.17549e-38,0.00921172,0.00652325,0.168925,-1.17549e-38
505.7404,0.0835572,-1.17549e-38,-1.17549e-38,0.170497,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0832705,-1.17549e-38,0.0345101,0.0189701,0.138091,0.00434171
506.2226,0.0955417,0.0111766,-1.17549e-38,0.176383,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0894642,0.00168317,0.0664312,0.0227139,0.0886814,0.0236701
506.7047,0.0727494,0.0678577,-1.17549e-38,0.157079,-1.17549e-38,0.0326481,-1.17549e-38,0.104378,0.0364555,0.0981741,0.0185707,0.032782,0.0282874
507.1868,0.0191076,0.11019,0.0310692,0.118919,-1.17549e-38,0.0926583,0.0145846,0.125797,0.0504608,0.125046,0.0121894,-1.17549e-38,0.0187117
507.6689,-1.17549e-38,0.127449,0.0797589,0.0704035,-1.17549e-38,0.116501,0.0259757,0.142402,0.0420293,0.145274,0.0102454,-1.17549e-38,0.0030003
508.151,-1.17549e-38,0.116325,0.11833,0.0201449,0.0195417,0.0998324,0.0251561,0.139826,0.0184502,0.157885,0.0160882,-1.17549e-38,-1.17549e-38
