Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
-26,2259.4634051179505,2140.424357251176,2168.8274087298905,2233.6837333549092
-24,2255.9404681409414,2139.814163134677,2168.8274087298905,2221.810220916222
-22,2245.4797820973913,2134.1059472475745,2168.8274087298905,2210.8312806089075
-20,2240.5825183729407,2130.022491348845,2168.8274087298905,2200.763423824716
-18,2235.5113106282024,2125.238593444066,2168.8274087298905,2191.6205453711427
-16,2230.475095833518,2121.239003755951,2168.8274087298905,2183.414253338001
-14,2226.0745370647264,2118.157041663838,2168.8274087298905,2176.1541646468067
-12,2222.752427451031,2116.045080688478,2168.8274087298905,2169.8481665537965
-10,2218.913103237629,2114.178659233069,2168.8274087298905,2164.5026446845795
-8,2216.4711068443735,2112.6689424155147,2168.8274087298905,2160.1226783583065
-6,2213.856188058372,2110.7804879772034,2168.8274087298905,2156.7122040355666
-4,2212.650338071094,2109.733115962003,2168.8274087298905,2154.274147717766
-2,2211.7515150241848,2108.9736638907743,2168.8274087298905,2152.81052705437
