Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb)
499.955,0.0463578,-1.17549e-38,-1.17549e-38,0.13349,0.0245813,-1.17549e-38,-1.17549e-38,0.106934,0.204265,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
500.4372,0.0629032,-1.17549e-38,-1.17549e-38,0.106579,-1.17549e-38,0.016069,-1.17549e-38,0.0594537,0.198534,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
500.9193,0.0693006,-1.17549e-38,0.0348331,0.093736,-1.17549e-38,0.0517228,-1.17549e-38,0.0157214,0.153475,-1.17549e-38,0.00992143,-1.17549e-38,-1.17549e-38
501.4014,0.0626111,-1.17549e-38,0.0886452,0.0921979,-1.17549e-38,0.0671005,-1.17549e-38,-1.17549e-38,0.0874792,-1.17549e-38,0.0429931,-1.17549e-38,-1.17549e-38
501.8835,0.0459348,-1.17549e-38,0.125368,0.0968255,-1.17549e-38,0.054938,-1.17549e-38,-1.17549e-38,0.0267257,-1.17549e-38,0.0660696,-1.17549e-38,0.0287489
502.3656,0.0268372,-1.17549e-38,0.129315,0.103745,-1.17549e-38,0.0161107,-1.17549e-38,0.0065933,-1.17549e-38,-1.17549e-38,0.0616494,-1.17549e-38,0.054779
502.8477,0.0126939,-1.17549e-38,0.100467,0.1116,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0346305,-1.17549e-38,-1.17549e-38,0.0224832,-1.17549e-38,0.0573941
503.3299,0.00613393,8.66932e-05,0.0539041,0.120036,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0623778,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0240656,0.0379015
503.812,0.00436412,0.0352363,0.0105056,0.127429,0.00301711,-1.17549e-38,-1.17549e-38,0.0818113,0.0107314,-1.17549e-38,-1.17549e-38,0.0684937,0.0071097
504.2941,0.00235631,0.0426041,-1.17549e-38,0.130123,-1.17549e-38,-1.17549e-38,0.00359653,0.0874869,0.0235298,-1.17549e-38,-1.17549e-38,0.0957925,-1.17549e-38
