Wavenumber (cm-1),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
499.955,-1.17549e-38,-1.17549e-38,0.0254382,-1.17549e-38,0.159078,0.00959276,0.21029,0.0919958,0.0690453,0.00265939,0.00231556,-1.17549e-38,-1.17549e-38,0.00825048,-1.17549e-38,-1.17549e-38,0.0143396,0.0104944,-1.17549e-38,0.189237,0.034498
500.4372,0.0197259,-1.17549e-38,0.0727599,0.00815496,0.169751,-1.17549e-38,0.161247,0.0915613,0.0992851,0.0492916,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0292411,-1.17549e-38,-1.17549e-38,0.0214187,0.00528877,-1.17549e-38,0.218735,0.0828485
500.9193,0.0617199,-1.17549e-38,0.1133,0.00988,0.160252,-1.17549e-38,0.11965,0.098811,0.109165,0.0872549,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0513226,-1.17549e-38,-1.17549e-38,0.0175926,-1.17549e-38,0.0143639,0.211899,0.119386
501.4014,0.100101,-1.17549e-38,0.136962,-1.17549e-38,0.131184,-1.17549e-38,0.0935361,0.104794,0.0903096,0.107833,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.078055,-1.17549e-38,-1.17549e-38,0.000969017,-1.17549e-38,0.0428523,0.169371,0.120211
501.8835,0.115337,-1.17549e-38,0.140426,-1.17549e-38,0.0953431,-1.17549e-38,0.0806616,0.105257,0.0404571,0.108194,-1.17549e-38,0.0228506,-1.17549e-38,0.105573,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0594278,0.10419,0.0730164
502.3656,0.0966865,-1.17549e-38,0.129014,-1.17549e-38,0.0705313,-1.17549e-38,0.0711982,0.102471,-1.17549e-38,0.0942585,-1.17549e-38,0.0364043,-1.17549e-38,0.123664,-1.17549e-38,0.00968237,-1.17549e-38,-1.17549e-38,0.0578676,0.0381585,-1.17549e-38
502.8477,0.053514,0.0412096,0.114908,-1.17549e-38,0.0665563,-1.17549e-38,0.0548531,0.101065,-1.17549e-38,0.0786098,-1.17549e-38,0.0328438,-1.17549e-38,0.12286,-1.17549e-38,0.0719313,-1.17549e-38,-1.17549e-38,0.0411144,-1.17549e-38,-1.17549e-38
503.3299,0.0104529,0.0883669,0.111194,-1.17549e-38,0.0780861,-1.17549e-38,0.0278979,0.101482,-1.17549e-38,0.0731275,-1.17549e-38,0.0219245,0.0110278,0.100784,-1.17549e-38,0.106967,0.0108821,-1.17549e-38,0.0186654,-1.17549e-38,-1.17549e-38
503.812,-1.17549e-38,0.0872957,0.125195,-1.17549e-38,0.0902114,-1.17549e-38,-1.17549e-38,0.0972757,-1.17549e-38,0.0817863,-1.17549e-38,0.014544,0.0383665,0.061792,-1.17549e-38,0.100135,0.0526332,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
504.2941,-1.17549e-38,0.039317,0.155146,0.00779897,0.0902839,-1.17549e-38,-1.17549e-38,0.0783744,-1.17549e-38,0.098853,0.0149407,0.0153174,0.0501795,0.0121252,-1.17549e-38,0.0583376,0.0864253,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
504.7762,0.0184538,-1.17549e-38,0.190917,0.0485312,0.0757003,-1.17549e-38,-1.17549e-38,0.0374685,-1.17549e-38,0.112485,0.0419405,0.0216884,0.0518848,-1.17549e-38,-1.17549e-38,0.00295168,0.10108,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
505.2583,0.0388477,-1.17549e-38,0.217448,0.0788821,0.0537864,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00502849,0.110934,0.0631231,0.0281771,0.0520779,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0964893,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
505.7404,0.04671,-1.17549e-38,0.21998,0.093245,0.0357869,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0180405,0.0888329,0.0737308,0.0315862,0.0571426,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0825017,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
506.2226,0.0458441,-1.17549e-38,0.190241,0.092786,0.0290916,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00115482,0.0509247,0.0709106,0.0335398,0.0674432,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0722144,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
506.7047,0.0496575,6.28255e-05,0.131236,0.0836956,0.0324862,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0102577,0.0546344,0.0386972,0.0771431,-1.17549e-38,-1.17549e-38,0.0115948,0.0729641,-1.17549e-38,0.010402,-1.17549e-38,-1.17549e-38
507.1868,0.0670012,0.0309269,0.0572757,0.0728436,0.0378185,0.0115668,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0273229,0.0502191,0.0785071,-1.17549e-38,-1.17549e-38,0.0678347,0.081015,0.0102493,0.0319409,-1.17549e-38,-1.17549e-38
507.6689,0.0906857,0.0146013,-1.17549e-38,0.0633968,0.036719,0.0264508,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0665996,0.0681882,-1.17549e-38,0.0118486,0.114286,0.0844632,0.0662237,0.0481826,-1.17549e-38,-1.17549e-38
508.151,0.0997295,-1.17549e-38,-1.17549e-38,0.0534454,0.0266485,0.0311365,-1.17549e-38,0.0165616,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0825304,0.0507047,0.0999185,0.0200031,0.138959,0.0721359,0.102798,0.051275,-1.17549e-38,-1.17549e-38
508.6331,0.0736721,-1.17549e-38,-1.17549e-38,0.0383483,0.0118221,0.0289323,-1.17549e-38,0.0837578,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0922454,0.0364726,0.185492,0.0192606,0.139399,0.0413329,0.118935,0.0398141,0.0307356,-1.17549e-38
509.1153,0.00749554,-1.17549e-38,-1.17549e-38,0.0148159,-1.17549e-38,0.0215059,-1.17549e-38,0.123169,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0919842,0.0360127,0.234579,0.0120741,0.120824,-1.17549e-38,0.113736,0.0199992,0.0572449,-1.17549e-38
509.5974,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0112254,0.000525701,0.135125,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0802878,0.0539629,0.237279,0.00262089,0.092316,-1.17549e-38,0.0844498,0.00186965,0.0742129,0.0134223
510.0795,-1.17549e-38,0.0434318,-1.17549e-38,-1.17549e-38,0.00291783,0.00409043,0.0286592,0.131827,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0574297,0.0860203,0.193856,-1.17549e-38,0.0632054,-1.17549e-38,0.0309903,-1.17549e-38,0.0820575,0.0814557
510.5616,-1.17549e-38,0.160711,-1.17549e-38,-1.17549e-38,0.0173448,0.00902053,0.0399131,0.128424,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0256822,0.120605,0.113043,-1.17549e-38,0.040444,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0774765,0.151546
