Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
499.955,0.0215243,0.0220619,-1.17549e-38,-1.17549e-38,0.112318,0.0215309,-1.17549e-38,-1.17549e-38,0.0824471,-1.17549e-38,0.0136281,0.137566,0.00643585,0.0463292,-1.17549e-38
500.4372,0.0223793,0.00959016,-1.17549e-38,-1.17549e-38,0.0482984,0.0267908,0.0143819,-1.17549e-38,0.103802,-1.17549e-38,0.00318049,0.156624,0.0150655,0.066357,-1.17549e-38
500.9193,0.0196646,0.00911663,-1.17549e-38,-1.17549e-38,0.00276127,0.0385594,0.0319966,-1.17549e-38,0.123828,-1.17549e-38,0.00457933,0.138586,0.0238077,0.0706814,0.039138
501.4014,0.0160364,0.0282948,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.044294,0.0242496,-1.17549e-38,0.136461,-1.17549e-38,0.0223665,0.0819952,0.0242208,0.0630765,0.0912638
501.8835,0.0155562,0.0707867,-1.17549e-38,0.0528165,-1.17549e-38,0.0318027,-1.17549e-38,-1.17549e-38,0.13587,-1.17549e-38,0.0498692,0.00140435,0.0133805,0.0568389,0.113427
502.3656,0.0207687,0.130237,0.0346167,0.0818038,0.00695878,0.000329562,-1.17549e-38,0.0416978,0.121028,-1.17549e-38,0.0721123,-1.17549e-38,-1.17549e-38,0.0655048,0.102875
502.8477,0.0298642,0.19077,0.110952,0.075081,0.00987132,-1.17549e-38,-1.17549e-38,0.0623328,0.0972678,-1.17549e-38,0.0768819,-1.17549e-38,-1.17549e-38,0.0903288,0.0715348
503.3299,0.0370991,0.235739,0.156612,0.0393568,0.00444937,-1.17549e-38,-1.17549e-38,0.0589242,0.0717973,0.0543241,0.0645988,-1.17549e-38,-1.17549e-38,0.117008,0.0370355
503.812,0.0365703,0.256301,0.156385,-1.17549e-38,0.00698274,-1.17549e-38,-1.17549e-38,0.0405281,0.0481243,0.148076,0.0467867,-1.17549e-38,0.0159697,0.12551,0.0117186
504.2941,0.0259739,0.252493,0.115916,-1.17549e-38,0.0343613,-1.17549e-38,0.00321992,0.0180015,0.0256899,0.209715,0.0358971,-1.17549e-38,0.0346686,0.102754,-1.17549e-38
