Wavenumber (cm-1),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
499.955,0.0984993,0.0597159,0.151102,-1.17549e-38,-1.17549e-38,0.0386795,0.0652559,0.0698493,-1.17549e-38,0.0132993,0.0673274,-1.17549e-38,0.120024,-1.17549e-38,-1.17549e-38,0.0284148,-1.17549e-38,0.0841377,-1.17549e-38
500.4372,0.114734,0.0742617,0.0845646,-1.17549e-38,-1.17549e-38,0.0233462,0.107418,0.125264,-1.17549e-38,-1.17549e-38,0.105701,-1.17549e-38,0.124284,-1.17549e-38,-1.17549e-38,0.0595135,-1.17549e-38,0.0865739,-1.17549e-38
500.9193,0.122323,0.0816833,0.00599715,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.148543,0.174159,-1.17549e-38,-1.17549e-38,0.143309,-1.17549e-38,0.123225,-1.17549e-38,-1.17549e-38,0.0716882,-1.17549e-38,0.0590655,0.00519567
501.4014,0.113845,0.0795988,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.175934,0.202448,-1.17549e-38,-1.17549e-38,0.163532,-1.17549e-38,0.124631,0.0158461,-1.17549e-38,0.0608549,0.00629079,0.0048513,0.0506563
501.8835,0.087247,0.0681507,-1.17549e-38,0.0340163,0.0351849,-1.17549e-38,0.181151,0.203169,-1.17549e-38,-1.17549e-38,0.154414,-1.17549e-38,0.135335,0.0418614,0.00123664,0.0336562,0.00714473,-1.17549e-38,0.102394
502.3656,0.0480794,0.051368,-1.17549e-38,0.0737103,0.115319,-1.17549e-38,0.165437,0.178706,-1.17549e-38,-1.17549e-38,0.115844,-1.17549e-38,0.156568,0.049092,0.0492302,0.00448129,0.00220112,-1.17549e-38,0.14397
502.8477,0.00765646,0.0358632,-1.17549e-38,0.10139,0.162632,-1.17549e-38,0.138508,0.137832,-1.17549e-38,0.0068447,0.0594015,-1.17549e-38,0.182076,0.0606453,0.0851908,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.15891
503.3299,-1.17549e-38,0.0273957,0.0832382,0.111085,0.159733,-1.17549e-38,0.11087,0.089707,-1.17549e-38,0.024798,0.00111799,-1.17549e-38,0.201281,0.0943664,0.0966317,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.144434
503.812,-1.17549e-38,0.0278906,0.179356,0.102956,0.114306,-1.17549e-38,0.0864196,0.0401152,-1.17549e-38,0.0450914,-1.17549e-38,-1.17549e-38,0.205445,0.149271,0.0832275,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.114352
504.2941,-1.17549e-38,0.034912,0.242134,0.0818861,0.0514037,0.0237455,0.0616499,-1.17549e-38,-1.17549e-38,0.0673047,-1.17549e-38,-1.17549e-38,0.192306,0.205416,0.0563371,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.088824
504.7762,-1.17549e-38,0.0433505,0.253273,0.05437,-1.17549e-38,0.0649726,0.031067,-1.17549e-38,-1.17549e-38,0.0877655,-1.17549e-38,-1.17549e-38,0.166781,0.235445,0.0318816,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0807168
505.2583,0.0190332,0.0480534,0.214177,0.0261882,-1.17549e-38,0.0960296,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.100644,-1.17549e-38,0.0213038,0.138302,0.219721,0.0220969,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0886054
505.7404,0.0434024,0.0464102,0.14486,0.00154732,-1.17549e-38,0.111317,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.101394,-1.17549e-38,0.0395171,0.116307,0.157613,0.0302622,0.00129446,-1.17549e-38,-1.17549e-38,0.0999183
506.2226,0.057869,0.0400151,0.0748688,-1.17549e-38,-1.17549e-38,0.111094,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0901542,-1.17549e-38,0.0419132,0.105526,0.0694844,0.0504366,0.0177297,-1.17549e-38,-1.17549e-38,0.101382
506.7047,0.0578276,0.0342777,0.0288507,-1.17549e-38,0.00909434,0.100402,-1.17549e-38,0.0367543,-1.17549e-38,0.0721711,-1.17549e-38,0.0288616,0.103237,-1.17549e-38,0.0722239,0.0398327,-1.17549e-38,-1.17549e-38,0.0892515
507.1868,0.0430541,0.035463,0.0146887,-1.17549e-38,0.0167324,0.0841775,-1.17549e-38,0.0995598,0.000612605,0.0541289,-1.17549e-38,0.00776887,0.100596,-1.17549e-38,0.0875576,0.0542649,0.0100081,-1.17549e-38,0.0711669
507.6689,0.0181726,0.0465744,0.0227584,-1.17549e-38,0.00967452,0.0623848,0.00845836,0.139596,0.0274573,0.039089,-1.17549e-38,-1.17549e-38,0.0878173,-1.17549e-38,0.0944196,0.0490993,0.0258317,-1.17549e-38,0.0580982
508.151,-1.17549e-38,0.0649033,0.0364615,-1.17549e-38,-1.17549e-38,0.0301901,0.0529509,0.142635,0.050625,0.024716,-1.17549e-38,-1.17549e-38,0.0599562,-1.17549e-38,0.094793,0.023112,0.0384858,-1.17549e-38,0.054278
508.6331,-1.17549e-38,0.0829625,0.044693,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0856807,0.110521,0.0613666,0.00660029,-1.17549e-38,0.00616446,0.0196576,-1.17549e-38,0.089556,-1.17549e-38,0.0447344,0.0347616,0.0544836
509.1153,-1.17549e-38,0.0920144,0.0469665,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.100539,0.0574207,0.0517095,-1.17549e-38,-1.17549e-38,0.0386264,-1.17549e-38,-1.17549e-38,0.0755888,-1.17549e-38,0.0430447,0.0661935,0.0500015
