Wavenumber (cm-1),Int deg-28 (arb),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb)
499.955,0.0851134,0.00255239,0.0252325,-1.17549e-38,0.10198,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.023082,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0425052,-1.17549e-38,0.0144934
500.4372,0.0575327,0.0175857,0.0266001,-1.17549e-38,0.0675752,0.0235445,-1.17549e-38,-1.17549e-38,0.0414316,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0607527,-1.17549e-38,0.0136689
500.9193,0.00203088,0.0149901,0.0373153,-1.17549e-38,0.0092383,0.0581463,-1.17549e-38,-1.17549e-38,0.0564,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0542441,-1.17549e-38,0.00659214
501.4014,-1.17549e-38,-1.17549e-38,0.0555548,-1.17549e-38,-1.17549e-38,0.0881103,0.00366952,-1.17549e-38,0.0635448,0.0163411,-1.17549e-38,-1.17549e-38,0.0367991,-1.17549e-38,-1.17549e-38
501.8835,-1.17549e-38,-1.17549e-38,0.0739804,0.0128274,-1.17549e-38,0.103367,0.0324493,0.00876767,0.0608113,0.0111945,-1.17549e-38,-1.17549e-38,0.0243731,-1.17549e-38,-1.17549e-38
502.3656,-1.17549e-38,-1.17549e-38,0.084015,0.0400034,-1.17549e-38,0.0968998,0.0534521,0.0333262,0.0500182,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0274774,-1.17549e-38,-1.17549e-38
502.8477,-1.17549e-38,-1.17549e-38,0.0808866,0.0637274,-1.17549e-38,0.0704075,0.0614628,0.0453898,0.0360995,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.048003,-1.17549e-38,-1.17549e-38
503.3299,-1.17549e-38,0.0282154,0.0658159,0.0876617,-1.17549e-38,0.0346144,0.049505,0.0379409,0.0243773,0.00496128,0.0299841,-1.17549e-38,0.0818585,-1.17549e-38,-1.17549e-38
503.812,-1.17549e-38,0.0633294,0.0442589,0.116356,-1.17549e-38,0.00328155,0.0140453,0.0125208,0.0182091,0.0288553,0.0606712,-1.17549e-38,0.123743,-1.17549e-38,-1.17549e-38
504.2941,-1.17549e-38,0.0867937,0.0226398,0.149397,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0187279,0.0533461,0.0777002,-1.17549e-38,0.169211,-1.17549e-38,-1.17549e-38
504.7762,-1.17549e-38,0.0936795,0.00621683,0.179555,0.0324302,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0259328,0.0659135,0.0839114,-1.17549e-38,0.213247,-1.17549e-38,-1.17549e-38
505.2583,-1.17549e-38,0.0879073,-1.17549e-38,0.196051,0.0765471,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0393009,0.0590887,0.0838362,-1.17549e-38,0.248333,0.0139067,0.00659171
505.7404,-1.17549e-38,0.0781515,0.000810404,0.190927,0.111836,0.00182799,-1.17549e-38,-1.17549e-38,0.0570878,0.0336096,0.0807257,-1.17549e-38,0.265275,0.0325683,0.0206579
506.2226,-1.17549e-38,0.0719663,0.0126269,0.164784,0.133343,0.00924565,-1.17549e-38,-1.17549e-38,0.0752076,-1.17549e-38,0.0752661,-1.17549e-38,0.257598,0.0456388,0.0387419
506.7047,-1.17549e-38,0.0716135,0.0311367,0.127703,0.137576,0.0143929,-1.17549e-38,-1.17549e-38,0.0875792,-1.17549e-38,0.0662495,-1.17549e-38,0.226817,0.0471302,0.0591586
507.1868,0.0217993,0.0740857,0.0526165,0.0935197,0.124985,0.0219153,-1.17549e-38,-1.17549e-38,0.0888628,-1.17549e-38,0.052515,-1.17549e-38,0.183751,0.0353132,0.0772505
507.6689,0.0707566,0.0747404,0.0739956,0.0709338,0.10117,0.0360585,-1.17549e-38,-1.17549e-38,0.0778546,-1.17549e-38,0.034722,0.0111984,0.143386,0.0137831,0.0874261
508.151,0.112722,0.0710004,0.0935961,0.0582785,0.0753178,0.056613,-1.17549e-38,-1.17549e-38,0.0583641,0.0179023,0.0157674,0.0426543,0.116658,-1.17549e-38,0.0859295
508.6331,0.137104,0.0631314,0.110204,0.0457062,0.0563473,0.0782941,-1.17549e-38,-1.17549e-38,0.0364266,0.0652036,-1.17549e-38,0.0574897,0.105434,-1.17549e-38,0.0724551
509.1153,0.141606,0.0524532,0.121372,0.022506,0.0488597,0.0932529,-1.17549e-38,-1.17549e-38,0.0160806,0.0976261,-1.17549e-38,0.0499952,0.103744,-1.17549e-38,0.0500027
