Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
499.955,0.154694,0.0951905,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0532914,-1.17549e-38,0.0198436,-1.17549e-38,0.0738792,0.00678712,0.0793255,-1.17549e-38,0.0440793,0.010669
500.4372,0.108258,0.0432849,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.110893,-1.17549e-38,0.0221276,-1.17549e-38,0.0447092,-1.17549e-38,0.0441972,-1.17549e-38,0.0750542,0.00594971
500.9193,0.0456384,-1.17549e-38,0.00189115,-1.17549e-38,-1.17549e-38,0.132781,-1.17549e-38,0.0256059,-1.17549e-38,0.0144723,-1.17549e-38,0.0112222,-1.17549e-38,0.0865331,0.00669777
501.4014,-1.17549e-38,-1.17549e-38,0.0356692,-1.17549e-38,-1.17549e-38,0.115868,-1.17549e-38,0.0304393,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0708331,0.0127072
501.8835,-1.17549e-38,-1.17549e-38,0.0678595,-1.17549e-38,0.0204854,0.0741358,-1.17549e-38,0.0337288,0.00209469,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0291153,0.020878
502.3656,-1.17549e-38,-1.17549e-38,0.0764364,-1.17549e-38,0.0164316,0.0322303,-1.17549e-38,0.0300362,0.0354647,-1.17549e-38,-1.17549e-38,0.00650107,0.0245089,-1.17549e-38,0.0262506
502.8477,-1.17549e-38,-1.17549e-38,0.0491711,0.00658506,-1.17549e-38,0.0120315,-1.17549e-38,0.0149119,0.0656945,-1.17549e-38,-1.17549e-38,0.01792,0.0527359,-1.17549e-38,0.024849
503.3299,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0196113,-1.17549e-38,0.020748,0.00225754,-1.17549e-38,0.0890432,-1.17549e-38,-1.17549e-38,0.017798,0.0683449,-1.17549e-38,0.0162241
503.812,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0274679,-1.17549e-38,0.0493956,0.01375,-1.17549e-38,0.106601,0.0132285,-1.17549e-38,0.00430443,0.0715251,-1.17549e-38,0.00341211
504.2941,0.00442957,0.040942,-1.17549e-38,0.0241232,-1.17549e-38,0.0804536,0.0198276,-1.17549e-38,0.12069,0.0244486,-1.17549e-38,-1.17549e-38,0.0664547,-1.17549e-38,-1.17549e-38
504.7762,0.0141224,0.0713702,-1.17549e-38,0.00812196,-1.17549e-38,0.0974413,0.0208577,-1.17549e-38,0.130894,0.0333682,-1.17549e-38,-1.17549e-38,0.0590804,-1.17549e-38,-1.17549e-38
505.2583,0.0252578,0.0817379,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0921373,0.0163934,-1.17549e-38,0.132527,0.041217,-1.17549e-38,-1.17549e-38,0.0542011,-1.17549e-38,-1.17549e-38
505.7404,0.0374923,0.0695875,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0683409,0.00599379,-1.17549e-38,0.118695,0.0455428,-1.17549e-38,-1.17549e-38,0.0527753,-1.17549e-38,-1.17549e-38
506.2226,0.04708,0.0382198,-1.17549e-38,-1.17549e-38,0.00364383,0.0405669,-1.17549e-38,-1.17549e-38,0.0856048,0.039627,-1.17549e-38,-1.17549e-38,0.0509948,-1.17549e-38,-1.17549e-38
506.7047,0.0498742,-1.17549e-38,0.0181383,-1.17549e-38,0.00954191,0.0261394,-1.17549e-38,-1.17549e-38,0.0381749,0.016397,0.00169204,-1.17549e-38,0.0426898,-1.17549e-38,-1.17549e-38
507.1868,0.0451827,-1.17549e-38,0.0486088,-1.17549e-38,0.017669,0.0338502,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0249653,-1.17549e-38,0.0243191,-1.17549e-38,-1.17549e-38
507.6689,0.0370888,-1.17549e-38,0.0586377,0.0230779,0.0299269,0.0576992,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0447214,0.00822378,-1.17549e-38,-1.17549e-38,0.000789359
508.151,0.0318539,-1.17549e-38,0.0475106,0.0701463,0.0401719,0.0812808,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0542874,0.015009,-1.17549e-38,-1.17549e-38,-1.17549e-38
508.6331,0.0336155,-1.17549e-38,0.0167679,0.112997,0.0396257,0.0886061,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0517637,0.0143273,-1.17549e-38,-1.17549e-38,-1.17549e-38
509.1153,0.0416067,-1.17549e-38,-1.17549e-38,0.143582,0.0243892,0.0727696,-1.17549e-38,0.0212191,0.0129469,-1.17549e-38,0.0403263,0.011883,-1.17549e-38,-1.17549e-38,-1.17549e-38
509.5974,0.0503478,-1.17549e-38,-1.17549e-38,0.155228,-1.17549e-38,0.038169,0.00893008,0.0619183,0.0371126,-1.17549e-38,0.0255813,0.0132822,-1.17549e-38,-1.17549e-38,-1.17549e-38
510.0795,0.052485,-1.17549e-38,-1.17549e-38,0.143143,-1.17549e-38,-1.17549e-38,0.0219943,0.0983483,0.0368181,-1.17549e-38,0.0120036,0.0199534,-1.17549e-38,-1.17549e-38,-1.17549e-38
510.5616,0.042945,-1.17549e-38,-1.17549e-38,0.106659,-1.17549e-38,-1.17549e-38,0.0281861,0.116526,0.00737452,0.0146212,0.000825807,0.0277299,-1.17549e-38,0.016914,-1.17549e-38
511.0437,0.0221994,-1.17549e-38,-1.17549e-38,0.0519318,-1.17549e-38,-1.17549e-38,0.0257849,0.108947,-1.17549e-38,0.0787649,-1.17549e-38,0.0295672,-1.17549e-38,0.0387387,-1.17549e-38
511.5258,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0162519,0.078407,-1.17549e-38,0.128153,-1.17549e-38,0.0208639,-1.17549e-38,0.0532153,-1.17549e-38
512.008,-1.17549e-38,0.00130977,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00431879,0.0368561,-1.17549e-38,0.156095,-1.17549e-38,0.00330028,-1.17549e-38,0.0612602,-1.17549e-38
