Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2216.918649120892,2105.2571168096692,2173.349535896615,2152.3029847827956
2,2217.217886085141,2105.7553316474437,2173.349535896615,2152.731881583631
4,2218.1110083737176,2106.799040391897,2173.349535896615,2154.018018123968
6,2220.130090627071,2108.9126831892754,2173.349535896615,2156.1597208344747
8,2221.621623738793,2110.3000567513927,2173.349535896615,2159.1541604628587
10,2224.6507266535514,2112.919675394046,2173.349535896615,2162.9972920276973
12,2227.0183320716264,2115.050469908386,2173.349535896615,2167.6837705882735
14,2230.7085479931575,2118.3536513392073,2173.349535896615,2173.2068427041054
16,2233.4155423043003,2120.6978751138995,2173.349535896615,2179.5582134789197
18,2237.9961705932064,2124.5171757141507,2173.349535896615,2186.727889149753
20,2242.7005596040203,2127.853321340999,2173.349535896615,2194.703995304663
22,2247.9422655252133,2131.2833033511733,2173.349535896615,2203.4725710052185
24,2253.2849834656618,2134.642192535251,2173.349535896615,2213.017339366637
26,2258.0648973836596,2137.6212113804777,2173.349535896615,2223.31945552384
28,2263.4906762131704,2140.4160544339593,2173.349535896615,2234.3572334013165
