Wavenumber (cm-1),Int deg-28 (arb),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
499.955,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0896122,0.0520953,-1.17549e-38,0.0385585,-1.17549e-38,-1.17549e-38,0.164052,0.150162,0.0192523,0.1228,0.0495366,-1.17549e-38,0.0240468,0.0880671,0.0362496,-1.17549e-38,-1.17549e-38,0.0201719,0.130452,-1.17549e-38,0.00903248,0.0146446,0.00678563,-1.17549e-38,0.202025
500.4372,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.127677,0.0232947,-1.17549e-38,0.0400931,0.00304824,-1.17549e-38,0.171789,0.212408,0.0930125,0.0823584,0.0405362,-1.17549e-38,0.0305058,0.10139,0.0202394,-1.17549e-38,-1.17549e-38,0.0476049,0.136267,-1.17549e-38,0.00574988,0.0346647,-1.17549e-38,-1.17549e-38,0.1324
500.9193,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.159415,-1.17549e-38,-1.17549e-38,0.0314136,0.0448281,-1.17549e-38,0.167114,0.230171,0.160047,0.0250737,0.0521583,0.00572514,0.037035,0.107626,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0645711,0.114899,-1.17549e-38,-1.17549e-38,0.0480038,-1.17549e-38,-1.17549e-38,0.0646221
501.4014,-1.17549e-38,-1.17549e-38,0.0134226,-1.17549e-38,0.178794,-1.17549e-38,-1.17549e-38,0.0192699,0.0677853,0.0169979,0.150231,0.195797,0.202948,-1.17549e-38,0.0722563,0.0283843,0.040262,0.0999843,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0589535,0.071601,-1.17549e-38,-1.17549e-38,0.0505518,-1.17549e-38,-1.17549e-38,0.0150284
501.8835,-1.17549e-38,-1.17549e-38,0.0322662,0.0193012,0.179467,-1.17549e-38,-1.17549e-38,0.00409098,0.0672325,0.0926909,0.125579,0.128163,0.212099,-1.17549e-38,0.0835947,0.0459271,0.0360228,0.0739091,-1.17549e-38,0.0314867,-1.17549e-38,0.0271565,0.0224391,-1.17549e-38,-1.17549e-38,0.0424642,0.0175,-1.17549e-38,-1.17549e-38
502.3656,-1.17549e-38,-1.17549e-38,0.0142839,0.0302446,0.158431,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0453586,0.140379,0.0994812,0.0629282,0.189813,-1.17549e-38,0.0738854,0.04962,0.022473,0.0345398,-1.17549e-38,0.0661026,0.0289151,-1.17549e-38,-1.17549e-38,0.0276754,-1.17549e-38,0.0280241,0.0594434,-1.17549e-38,-1.17549e-38
502.8477,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0142595,0.119874,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0105094,0.150436,0.0763361,0.0304257,0.148095,-1.17549e-38,0.0433935,0.0360644,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.084296,0.0639242,-1.17549e-38,-1.17549e-38,0.0354585,-1.17549e-38,0.0132983,0.0720651,-1.17549e-38,-1.17549e-38
503.3299,0.0185307,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0753144,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.128886,0.0557201,0.0372543,0.101474,-1.17549e-38,0.00345048,0.00941949,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0783394,0.0781452,-1.17549e-38,-1.17549e-38,0.0242986,-1.17549e-38,0.00294037,0.0510517,0.0359275,-1.17549e-38
503.812,0.0598433,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0390216,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0903644,0.0330208,0.0661795,0.0605962,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0519627,0.0756949,-1.17549e-38,0.0439771,0.0087952,-1.17549e-38,-1.17549e-38,0.0151957,0.0768189,-1.17549e-38
504.2941,0.0915678,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0219083,0.000825887,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0499073,0.00330284,0.0913207,0.0304485,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0160419,0.0164483,0.0656341,-1.17549e-38,0.100446,0.00245802,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.101562,-1.17549e-38
