Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2233.0542226937737,2094.0305842399052,2165.6312627282036,2157.0153796983373
2,2231.7346671236855,2091.76198435884,2165.6312627282036,2157.3904529323972
4,2232.4485646710077,2092.828924804683,2165.6312627282036,2158.515017021413
6,2232.681723643151,2092.5715206956643,2165.6312627282036,2160.387095636195
8,2233.2200537664216,2092.7162316967774,2165.6312627282036,2163.0033632833524
10,2234.6070064043142,2093.8691869977906,2165.6312627282036,2166.3590979651276
12,2237.740564766159,2096.958118547305,2165.6312627282036,2170.4481150707497
14,2240.34291289709,2099.0341654180697,2165.6312627282036,2175.2626826989394
16,2243.811412746693,2101.6262474270425,2165.6312627282036,2180.7934187143696
18,2247.464432242282,2104.440195206891,2165.6312627282036,2187.0291699792165
20,2252.2281148803368,2107.9935205123293,2165.6312627282036,2193.956874382677
22,2258.1609755288614,2111.8336458742747,2165.6312627282036,2201.5614065248706
24,2263.7783734586073,2115.4979127195993,2165.6312627282036,2209.8254082051126
26,2268.9968210540383,2119.102504100881,2165.6312627282036,2218.729105226066
28,2269.4641971427604,2118.9962781257573,2165.6312627282036,2228.2501124618093
