Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
499.955,0.0617226,0.050159,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0647604,0.142649,-1.17549e-38,0.0133237,0.0737487,-1.17549e-38
500.4372,0.0293986,0.00990221,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0575621,0.152472,-1.17549e-38,0.0112523,0.130816,-1.17549e-38
500.9193,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0361891,0.125817,-1.17549e-38,0.00846827,0.172818,-1.17549e-38
501.4014,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0150831,-1.17549e-38,0.00689804,0.0671313,0.0090928,0.00557695,0.173725,-1.17549e-38
501.8835,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0336495,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0310924,0.00464398,0.123592,-1.17549e-38
502.3656,0.00388406,-1.17549e-38,-1.17549e-38,0.0504878,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0407049,0.00875356,0.0396173,-1.17549e-38
502.8477,0.0656267,-1.17549e-38,-1.17549e-38,0.0607126,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0346885,0.0194619,-1.17549e-38,-1.17549e-38
503.3299,0.124255,-1.17549e-38,-1.17549e-38,0.0619834,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0155468,0.0346289,-1.17549e-38,-1.17549e-38
503.812,0.163473,-1.17549e-38,-1.17549e-38,0.0554276,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0491396,-1.17549e-38,-1.17549e-38
504.2941,0.178272,-1.17549e-38,0.0205258,0.0446719,-1.17549e-38,0.00287803,-1.17549e-38,-1.17549e-38,0.0577213,-1.17549e-38,-1.17549e-38
504.7762,0.171617,-1.17549e-38,0.049942,0.0339693,-1.17549e-38,0.0278447,-1.17549e-38,-1.17549e-38,0.0574583,-1.17549e-38,-1.17549e-38
505.2583,0.150185,-1.17549e-38,0.0579135,0.0262489,-1.17549e-38,0.0487846,-1.17549e-38,-1.17549e-38,0.0489224,-1.17549e-38,-1.17549e-38
505.7404,0.12251,-1.17549e-38,0.0479676,0.021561,-1.17549e-38,0.0608109,-1.17549e-38,-1.17549e-38,0.036008,-1.17549e-38,-1.17549e-38
506.2226,0.0985148,0.00657504,0.0303623,0.0168274,-1.17549e-38,0.0603162,-1.17549e-38,-1.17549e-38,0.0245257,-1.17549e-38,-1.17549e-38
506.7047,0.0880017,0.0318651,0.016973,0.00793561,-1.17549e-38,0.0464685,-1.17549e-38,0.00606347,0.0196074,-1.17549e-38,-1.17549e-38
507.1868,0.0972514,0.0617462,0.0139981,-1.17549e-38,-1.17549e-38,0.0219128,0.0697673,0.0085991,0.0228822,-1.17549e-38,-1.17549e-38
507.6689,0.125779,0.0845281,0.0179178,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.153876,0.01163,0.0312435,-1.17549e-38,-1.17549e-38
508.151,0.165875,0.0932437,0.0186472,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.212144,0.0196174,0.0381642,-1.17549e-38,-1.17549e-38
508.6331,0.204914,0.0895588,0.00731489,-1.17549e-38,0.0256114,-1.17549e-38,0.223601,0.030232,0.0366104,-1.17549e-38,0.00584997
509.1153,0.228577,0.08127,-1.17549e-38,-1.17549e-38,0.0714688,-1.17549e-38,0.1847,0.0354594,0.0220071,-1.17549e-38,0.0339113
509.5974,0.224163,0.0764328,-1.17549e-38,-1.17549e-38,0.115719,-1.17549e-38,0.109689,0.028018,-1.17549e-38,-1.17549e-38,0.0606639
510.0795,0.184412,0.07814,-1.17549e-38,0.0135397,0.144149,-1.17549e-38,0.024422,0.00820834,-1.17549e-38,0.0521794,0.079571
510.5616,0.111204,0.0828018,-1.17549e-38,0.0254296,0.148826,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.167383,0.0857395
511.0437,0.0165234,0.0828832,-1.17549e-38,0.0275676,0.130852,0.0199699,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.256461,0.0786137
511.5258,-1.17549e-38,0.0721801,0.0245858,0.0220767,0.0979324,0.0429608,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.296791,0.0628006
512.008,-1.17549e-38,0.0497608,0.0828083,0.0140189,0.0590354,0.0525712,-1.17549e-38,0.000686396,-1.17549e-38,0.283125,0.0459688
512.4901,-1.17549e-38,0.0200994,0.127314,0.00838765,0.0205009,0.0499762,-1.17549e-38,0.0234413,-1.17549e-38,0.22604,0.034936
512.9722,-1.17549e-38,-1.17549e-38,0.144625,0.00809985,-1.17549e-38,0.0409462,-1.17549e-38,0.0368664,-1.17549e-38,0.142587,0.0322877
513.4543,-1.17549e-38,-1.17549e-38,0.130872,0.0134735,-1.17549e-38,0.0321947,-1.17549e-38,0.037197,-1.17549e-38,0.0472481,0.0354766
513.9365,-1.17549e-38,-1.17549e-38,0.0925618,0.0226695,-1.17549e-38,0.0277174,-1.17549e-38,0.029079,-1.17549e-38,-1.17549e-38,0.0390246
514.4186,-1.17549e-38,-1.17549e-38,0.0430108,0.0325516,-1.17549e-38,0.0272043,-1.17549e-38,0.0195353,-1.17549e-38,-1.17549e-38,0.0384885
514.9007,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0396902,-1.17549e-38,0.0272381,-1.17549e-38,0.0108844,-1.17549e-38,-1.17549e-38,0.0333835
