Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2242.4616055034553,2109.657775774279,0.26782018122860146,0.27198960355950774
2,2243.7455693946213,2110.3791064384454,0.26782018122860146,0.2720528018970447
4,2244.9669845550866,2111.03781154642,0.26782018122860146,0.27224235291050225
6,2246.5390718159074,2112.005360486119,0.26782018122860146,0.27255812272928326
8,2249.1405231545064,2113.338437291675,0.26782018122860146,0.2729998819770496
10,2252.0303614394666,2114.6697640140474,0.26782018122860146,0.27356729633218585
12,2255.9391103499565,2116.4960508648533,0.26782018122860146,0.2742599132115256
14,2261.073195107018,2118.5906746504197,0.26782018122860146,0.27507714448149034
16,2266.500019040063,2120.6962498034595,0.26782018122860146,0.27601824508097345
18,2272.79858182531,2123.0012524100134,0.26782018122860146,0.2770822874267209
20,2277.7470464539074,2125.069666791967,0.26782018122860146,0.27826813146662344
