Wavelength (nm)	Transmittance
200	0.0588147
201	0.0596328
202	0.0604532
203	0.0612759
204	0.0621008
205	0.0629279
206	0.063757
207	0.064183
208	0.0638906
209	0.0635592
210	0.0632058
211	0.0628755
212	0.062555
213	0.0622876
214	0.0620623
215	0.0619709
216	0.0618841
217	0.0618054
218	0.0616463
219	0.0614018
220	0.0611704
221	0.0609493
222	0.0608371
223	0.0607958
224	0.0607341
225	0.0606586
226	0.0604557
227	0.0601591
228	0.0598446
229	0.0595126
230	0.059236
231	0.0590392
232	0.0588399
233	0.0586312
234	0.0584136
235	0.0580656
236	0.0577209
237	0.0573542
238	0.0569865
239	0.0566576
240	0.056358
241	0.0560567
242	0.0557454
243	0.0554369
244	0.0551105
245	0.0547848
246	0.0544158
247	0.054001
248	0.0535844
249	0.0529575
250	0.0523409
251	0.0517342
252	0.0511374
253	0.05055
254	0.0501337
255	0.0497274
256	0.0493584
257	0.0490506
258	0.0487457
259	0.0484989
260	0.0482775
261	0.0480573
262	0.0478666
263	0.0476773
264	0.0474742
265	0.0472138
266	0.0469555
267	0.0467137
268	0.0464982
269	0.046284
270	0.0461168
271	0.0460014
272	0.0458861
273	0.0457976
274	0.0457347
275	0.0456713
276	0.0456077
277	0.0455441
278	0.04548
279	0.0454328
280	0.0454131
281	0.0453927
282	0.0453886
283	0.0454445
284	0.045499
285	0.0455523
286	0.045658
287	0.0457635
288	0.0458675
289	0.0459765
290	0.0460876
291	0.0461973
292	0.0463223
293	0.0464908
294	0.046658
295	0.0468239
296	0.0470736
297	0.0473434
298	0.0476122
299	0.0478969
300	0.0482349
301	0.0485722
302	0.0489088
303	0.0492752
304	0.0496617
305	0.0500479
306	0.0504341
307	0.0508705
308	0.0513156
309	0.0517612
310	0.0522086
311	0.0526894
312	0.0531709
313	0.0536533
314	0.0541448
315	0.0547056
316	0.0552683
317	0.0558328
318	0.0564128
319	0.0571348
320	0.0578614
321	0.0585926
322	0.0593285
323	0.0600993
324	0.0608768
325	0.0616596
326	0.0624479
327	0.0631906
328	0.0639178
329	0.0646494
330	0.0653852
331	0.0661156
332	0.0668339
333	0.0675561
334	0.0682822
335	0.0690124
336	0.0697519
337	0.0704963
338	0.0712448
339	0.0719974
340	0.0727358
341	0.0734366
342	0.0741408
343	0.0748483
344	0.0755591
345	0.0761938
346	0.0767774
347	0.0773626
348	0.0779495
349	0.078538
350	0.0790711
351	0.0795862
352	0.0801022
353	0.0806192
354	0.0811371
355	0.0816243
356	0.0821021
357	0.0825804
358	0.0830594
359	0.0835389
360	0.0839528
361	0.0843263
362	0.0846998
363	0.0850733
364	0.0854468
365	0.0857396
366	0.0858753
367	0.0860106
368	0.0861455
369	0.08628
370	0.0864141
371	0.0865216
372	0.0866255
373	0.0867291
374	0.0868323
375	0.0869351
376	0.0870781
377	0.0873198
378	0.0875611
379	0.0878021
380	0.0880427
381	0.0882829
382	0.0885542
383	0.0888552
384	0.089156
385	0.0894565
386	0.0897568
387	0.0900568
388	0.0903654
389	0.0906809
390	0.0909961
391	0.0913109
392	0.0916254
