Wavelength (nm)	Absorptance
200	0.6090359
201	0.7683081
202	0.6100196
203	0.7615428
204	0.6202943
205	0.7440978
206	0.6445392
207	0.7114866
208	0.6862868
209	0.6631054
210	0.7388183
211	0.6083658
212	0.7816066
213	0.5759184
214	0.7883981
215	0.6021763
216	0.7352931
217	0.6930405
218	0.631472
219	0.7797854
220	0.567912
221	0.7841061
222	0.6372485
223	0.6737342
224	0.7658454
225	0.5643923
226	0.7882787
227	0.6461194
228	0.6497265
229	0.7865206
230	0.5624661
231	0.7546938
232	0.7199405
233	0.5725887
234	0.799072
235	0.6428713
236	0.6303416
237	0.8009281
238	0.588795
239	0.6851077
240	0.7877902
241	0.5619989
242	0.7180406
243	0.7764784
244	0.5517699
245	0.7295191
246	0.7747208
247	0.5501014
248	0.7218085
249	0.7835169
250	0.5589409
251	0.6928668
252	0.7983969
253	0.5885753
254	0.6388034
255	0.8096625
256	0.6472766
257	0.5693597
258	0.8006775
259	0.7237486
260	0.5290727
261	0.7450547
262	0.7896298
263	0.5789271
264	0.6259297
265	0.8128034
266	0.700666
267	0.5273307
268	0.7513781
269	0.7969464
270	0.6006969
271	0.5871489
272	0.8045897
273	0.7546184
274	0.540139
275	0.6629255
276	0.8168804
277	0.7142303
278	0.52138
279	0.7081161
280	0.8167442
281	0.691389
282	0.5190296
283	0.7222843
284	0.8169468
285	0.6930091
286	0.5174864
287	0.7097547
288	0.8192607
289	0.7178106
290	0.5217953
291	0.6680513
292	0.8171733
293	0.7579949
294	0.5554197
295	0.5953826
296	0.7964004
297	0.7993249
298	0.635391
299	0.5229816
300	0.7316814
301	0.8212688
302	0.7355926
303	0.5385992
304	0.6046304
305	0.7948655
306	0.807564
307	0.6670696
308	0.5124273
309	0.6761583
310	0.8153832
311	0.7879375
312	0.6224953
313	0.5191306
314	0.7081544
315	0.8203081
316	0.7791096
317	0.610479
318	0.5208523
319	0.7068159
320	0.8193546
321	0.7862821
322	0.6299299
323	0.5131187
324	0.6731318
325	0.8095186
326	0.8044813
327	0.6780978
328	0.5191884
