Wavelength (nm)	Reflectance
200	0.2173326
201	0.0951805
202	0.2146514
203	0.0975679
204	0.2056609
205	0.1073451
206	0.1867759
207	0.1286542
208	0.1574153
209	0.1647822
210	0.1202342
211	0.2070334
212	0.0880073
213	0.2352237
214	0.0799174
215	0.2217205
216	0.1150942
217	0.1584839
218	0.1911123
219	0.0929934
220	0.2444782
221	0.0838668
222	0.2017604
223	0.1609102
224	0.1067253
225	0.2479083
226	0.082453
227	0.1982325
228	0.1801753
229	0.0925417
230	0.2560464
231	0.1057556
232	0.1474568
233	0.2429411
234	0.0792701
235	0.2065218
236	0.1981438
237	0.0842409
238	0.246785
239	0.1585932
240	0.0988542
241	0.2663891
242	0.1360758
243	0.1106972
244	0.2748876
245	0.1292237
246	0.1144217
247	0.2790525
248	0.1362119
249	0.1097428
250	0.2783241
251	0.1595765
252	0.0994523
253	0.2636359
254	0.2027232
255	0.0891877
256	0.2251868
257	0.2611836
258	0.0916479
259	0.1690526
260	0.30381
261	0.1294043
262	0.1159534
263	0.2794023
264	0.2211858
265	0.0919345
266	0.1923538
267	0.3100417
268	0.1320584
269	0.1150833
270	0.2699942
271	0.2598445
272	0.10052
273	0.1536551
274	0.3134044
275	0.2031919
276	0.0974331
277	0.1876715
278	0.3255488
279	0.1715869
280	0.1012706
281	0.2068393
282	0.3273071
283	0.1632527
284	0.1028476
285	0.2063754
286	0.3305122
287	0.1745192
288	0.1010588
289	0.1872867
290	0.3305684
291	0.2071206
292	0.1009758
293	0.1553297
294	0.3086993
295	0.2640238
296	0.1137292
297	0.1206736
298	0.2495187
299	0.3236536
300	0.1596756
301	0.0991198
302	0.1710693
303	0.3177153
304	0.2553872
305	0.1131869
306	0.1108993
307	0.2214728
308	0.3305226
309	0.1981173
310	0.0974233
311	0.1246812
312	0.2516638
313	0.3197973
314	0.1714404
315	0.0917566
316	0.1285823
317	0.2565907
318	0.31401
319	0.168418
320	0.0881564
321	0.1182995
322	0.2367837
323	0.3149286
324	0.1876228
325	0.0888804
326	0.0980434
327	0.1950738
328	0.3070209
329	0.2323841
330	0.1050939
331	0.0785706
332	0.1405605
333	0.2626734
334	0.2871556
335	0.1550878
336	0.0758335
337	0.0903118
338	0.1803998
339	0.2880702
340	0.2447238
341	0.1165056
342	0.0668634
343	0.1003198
344	0.1988958
345	0.2880886
346	0.2231302
347	0.103809
