Wavelength (nm)	Reflectance
200	0.1973953
201	0.2367508
202	0.2037232
203	0.1691821
204	0.1677131
205	0.2075678
206	0.1809788
207	0.142828
208	0.1364693
209	0.1702643
210	0.1697937
211	0.1250993
212	0.1100064
213	0.1238915
214	0.1567917
215	0.1175113
216	0.0911196
217	0.0870513
218	0.1148095
219	0.1277353
220	0.0887728
221	0.0721879
222	0.0726781
223	0.105099
224	0.1123845
225	0.0787268
226	0.0647001
227	0.0648349
228	0.095837
229	0.1174573
230	0.0869601
231	0.0716322
232	0.0680801
233	0.0869098
234	0.1326478
235	0.1129471
236	0.0923102
237	0.0845433
238	0.0884496
239	0.1305794
240	0.1580915
241	0.1303528
242	0.1156292
243	0.1107397
244	0.1199702
245	0.1742891
246	0.1914617
247	0.1636914
248	0.1506261
249	0.1473024
250	0.1567014
251	0.2100156
252	0.240306
253	0.211353
254	0.196564
255	0.1919183
256	0.1956516
257	0.2272631
258	0.2882491
259	0.2691535
260	0.2458716
261	0.2364509
262	0.233822
263	0.2407634
264	0.2839862
265	0.3317404
266	0.3057903
267	0.2857598
268	0.2769085
269	0.2737143
270	0.2781839
271	0.3130713
272	0.3685134
273	0.350346
274	0.3274032
275	0.3159159
276	0.3101228
277	0.3091851
278	0.3229601
279	0.378559
280	0.4006012
281	0.3732447
282	0.3553342
283	0.3455278
284	0.339949
285	0.3389443
286	0.353358
287	0.4084931
288	0.4287207
289	0.4017668
290	0.382772
291	0.3717439
292	0.3648583
293	0.3614645
294	0.3672384
295	0.4050305
296	0.4544124
297	0.4378587
298	0.4123798
299	0.3966532
300	0.3864904
301	0.3796385
302	0.3765683
303	0.3843417
304	0.4254888
305	0.4720041
306	0.4540258
307	0.426816
308	0.4092169
309	0.3976874
310	0.3897445
311	0.3851052
312	0.387564
313	0.4117388
314	0.4682811
315	0.481493
316	0.4504774
317	0.4251523
318	0.4087696
319	0.3973768
320	0.3895157
321	0.385531
322	0.389431
323	0.4142755
324	0.4703882
325	0.4919366
326	0.4593112
327	0.4280438
328	0.4077019
329	0.3943741
330	0.3854015
331	0.3804536
332	0.3809536
333	0.3926294
334	0.4293426
335	0.4896021
336	0.4940282
337	0.4520806
338	0.4184817
339	0.3973722
340	0.3840754
341	0.3758875
342	0.3718849
343	0.3729548
344	0.3826577
345	0.4096346
346	0.4631591
347	0.5053289
348	0.4766753
349	0.4305248
350	0.3994909
351	0.3809692
352	0.3700177
353	0.3640848
354	0.3623885
355	0.365657
356	0.3764778
357	0.4007419
358	0.4465315
359	0.4991118
360	0.494184
361	0.4433231
362	0.4017726
363	0.3770043
364	0.3630092
365	0.3556956
366	0.3532379
367	0.3547705
368	0.3609034
369	0.3737098
370	0.3975034
371	0.4384277
372	0.4909563
373	0.50526
374	0.45796
375	0.4071608
376	0.3759149
377	0.3588535
378	0.3501219
379	0.3465246
380	0.3466784
381	0.3502992
382	0.3579218
383	0.3712327
384	0.3935348
385	0.4294572
386	0.4781453
