Wavelength (nm)	Reflectance
200	0.6935636
201	0.6948705
202	0.6961903
203	0.6975327
204	0.698912
205	0.7003083
206	0.7018392
207	0.7034266
208	0.705121
209	0.7068411
210	0.7085706
211	0.7101667
212	0.7117117
213	0.7129502
214	0.7139931
215	0.714406
216	0.7148786
217	0.7154498
218	0.7166435
219	0.7184975
220	0.720365
221	0.7222383
222	0.72354
223	0.7244662
224	0.7253371
225	0.7261708
226	0.7272479
227	0.7285029
228	0.7298056
229	0.7311548
230	0.7324824
231	0.7337841
232	0.7350557
233	0.7362575
234	0.7374354
235	0.7384044
236	0.7393676
237	0.7402557
238	0.7411259
239	0.7420119
240	0.7429085
241	0.7437984
242	0.7446782
243	0.7455535
244	0.7463105
245	0.7470504
246	0.7478268
247	0.7486421
248	0.7494643
249	0.7506299
250	0.7517866
251	0.7528976
252	0.7539665
253	0.7550277
254	0.7555246
255	0.7560039
256	0.7564967
257	0.7570135
258	0.7575294
259	0.758516
260	0.7596961
261	0.7608665
262	0.7620407
263	0.7632054
264	0.7642497
265	0.7648463
266	0.7654408
267	0.7660073
268	0.7665284
269	0.7670482
270	0.7676986
271	0.7684937
272	0.7692841
273	0.7700754
274	0.7708674
275	0.7716545
276	0.772363
277	0.772988
278	0.7736103
279	0.774237
280	0.7748725
281	0.775505
282	0.7761838
283	0.7770326
284	0.7778756
285	0.7787128
286	0.7794797
287	0.7802405
288	0.7809967
289	0.7815345
290	0.7819609
291	0.7823864
292	0.782797
293	0.7831689
294	0.7835405
295	0.7839118
296	0.7843759
297	0.7848619
298	0.7853463
299	0.7858446
300	0.78639
301	0.786933
302	0.7874738
303	0.7880597
304	0.7886742
305	0.7892855
306	0.7898936
307	0.790489
308	0.7910798
309	0.7916677
310	0.7922469
311	0.7926871
312	0.793126
313	0.7935635
314	0.794
315	0.7944379
316	0.7948745
317	0.7953097
318	0.7957536
319	0.7962983
320	0.7968403
321	0.7973797
322	0.7979165
323	0.7984449
324	0.7989705
325	0.7994937
326	0.8000144
327	0.8004633
328	0.8008837
329	0.8013027
330	0.8017204
331	0.8021159
332	0.8024752
333	0.8028336
334	0.8031913
335	0.8035481
336	0.8038146
337	0.8040713
338	0.804328
339	0.8045848
340	0.8048489
341	0.8051292
342	0.8054092
343	0.8056891
344	0.8059688
345	0.806345
346	0.8067843
347	0.8072217
348	0.8076574
349	0.8080913
350	0.8085395
351	0.8089911
352	0.8094407
353	0.8098884
354	0.8103342
355	0.8107229
356	0.811093
357	0.8114619
358	0.8118297
359	0.8121963
360	0.8125339
361	0.8128538
362	0.8131729
363	0.8134913
364	0.813809
365	0.8140942
366	0.8143175
367	0.8145409
368	0.8147644
369	0.8149879
370	0.8152114
371	0.8154331
372	0.8156545
373	0.815876
374	0.8160976
375	0.8163191
376	0.816567
377	0.816879
378	0.8171902
379	0.8175006
380	0.8178103
381	0.8181192
382	0.8184263
383	0.8187316
384	0.8190362
385	0.81934
386	0.8196431
387	0.8199454
388	0.820207
389	0.8204355
390	0.8206639
391	0.8208921
392	0.8211202
393	0.8213482
394	0.8215669
395	0.8217719
396	0.8219769
397	0.822182
398	0.822387
399	0.822592
400	0.8227965
401	0.8229905
402	0.8231846
403	0.8233788
404	0.823573
405	0.8237673
406	0.8239616
407	0.8241639
408	0.8243743
409	0.8245847
410	0.8247949
411	0.825005
412	0.825215
413	0.8254249
414	0.8256792
415	0.8259503
416	0.8262208
417	0.8264906
418	0.8267598
419	0.8270284
420	0.8272963
421	0.8275552
422	0.8278101
423	0.8280645
424	0.8283184
425	0.8285717
426	0.8288245
427	0.8290768
428	0.8292963
429	0.8294777
430	0.8296591
431	0.8298405
432	0.830022
433	0.8302034
434	0.8303849
435	0.8305663
436	0.8306994
437	0.8308309
438	0.8309627
439	0.8310948
440	0.8312272
441	0.83136
442	0.831493
443	0.8316373
444	0.8318256
445	0.8320138
446	0.8322019
447	0.83239
448	0.832578
449	0.8327659
450	0.8329537
451	0.8331349
452	0.8332767
453	0.8334188
454	0.833561
455	0.8337035
456	0.8338462
457	0.8339891
458	0.8341322
459	0.8342755
460	0.8344649
461	0.8346656
462	0.8348661
463	0.8350664
464	0.8352665
465	0.8354663
466	0.8356659
467	0.8358653
468	0.8360579
469	0.8362071
470	0.8363564
471	0.8365057
472	0.8366552
473	0.8368049
474	0.8369546
475	0.8371044
476	0.8372543
477	0.8374025
478	0.8375392
479	0.8376761
480	0.8378132
481	0.8379505
482	0.8380879
483	0.8382255
484	0.8383633
485	0.8385013
486	0.8386394
487	0.8387377
488	0.8388251
489	0.8389131
490	0.8390015
491	0.8390904
492	0.8391798
493	0.8392696
494	0.8393599
495	0.8394506
496	0.8395408
497	0.839616
498	0.8396918
499	0.8397681
500	0.839845
501	0.8399224
502	0.8400003
503	0.8400788
504	0.8401578
505	0.8402372
506	0.8403172
507	0.8404125
508	0.8405092
509	0.8406064
510	0.8407039
511	0.8408019
512	0.8409002
513	0.840999
514	0.8410981
515	0.8411976
516	0.8412975
517	0.8413988
518	0.8415019
519	0.8416054
520	0.8417093
521	0.8418136
522	0.8419183
523	0.8420233
524	0.8421287
525	0.8422344
526	0.8423405
527	0.842447
528	0.8425085
529	0.8425031
530	0.8424985
531	0.842495
532	0.8424924
533	0.8424907
534	0.84249
535	0.8424901
536	0.8424912
537	0.8424932
538	0.8424961
539	0.8424999
540	0.8425436
541	0.8425911
542	0.8426393
543	0.8426883
544	0.842738
545	0.8427885
546	0.8428396
547	0.8428915
548	0.8429441
549	0.8429973
550	0.8430513
551	0.8431059
552	0.8431018
553	0.8430957
554	0.8430906
555	0.8430866
556	0.8430836
557	0.8430816
558	0.8430806
559	0.8430806
560	0.8430816
561	0.8430835
562	0.8430865
563	0.8430903
564	0.8430801
565	0.8430511
566	0.8430232
567	0.8429963
568	0.8429704
569	0.8429457
570	0.8429219
571	0.8428992
572	0.8428775
573	0.8428568
574	0.8428371
575	0.8428184
576	0.8428007
577	0.8427595
578	0.8426674
579	0.8425768
580	0.8424876
581	0.8423997
582	0.8423133
583	0.8422282
584	0.8421445
585	0.8420621
586	0.8419811
587	0.8419014
588	0.841823
589	0.8417458
590	0.84167
591	0.8416135
592	0.8415706
593	0.8415288
594	0.8414881
595	0.8414484
596	0.8414097
597	0.8413721
598	0.8413355
599	0.8412999
600	0.8412653
601	0.8412317
602	0.8411991
603	0.8411675
604	0.8411368
605	0.841102
606	0.8410467
607	0.8409926
608	0.8409397
609	0.8408879
610	0.8408373
611	0.8407877
612	0.8407394
613	0.8406921
614	0.8406459
615	0.8406008
616	0.8405568
617	0.8405139
618	0.840472
619	0.8404312
620	0.8403874
621	0.8402911
622	0.8401961
623	0.8401024
624	0.8400101
625	0.8399191
626	0.8398293
627	0.8397409
628	0.8396537
629	0.8395678
630	0.8394831
631	0.8393997
632	0.8393175
633	0.8392365
634	0.8391567
635	0.8390782
636	0.8389916
637	0.8388648
638	0.8387394
639	0.8386154
640	0.8384928
641	0.8383716
642	0.8382517
643	0.8381333
644	0.8380161
645	0.8379004
646	0.8377859
647	0.8376728
648	0.837561
649	0.8374505
650	0.8373413
651	0.8372333
652	0.8371267
653	0.837028
654	0.8369389
655	0.836851
656	0.8367644
657	0.8366791
658	0.836595
659	0.8365122
660	0.8364306
661	0.8363502
662	0.8362711
663	0.8361932
664	0.8361165
665	0.836041
666	0.8359666
667	0.8358935
668	0.8358214
669	0.8357506
670	0.8356809
671	0.8355473
672	0.8354003
673	0.835255
674	0.8351114
675	0.8349696
676	0.8348295
677	0.8346912
678	0.8345545
679	0.8344196
680	0.8342863
681	0.8341546
682	0.8340247
683	0.8338963
684	0.8337696
685	0.8336444
686	0.8335209
687	0.833399
688	0.8332786
689	0.8331326
690	0.8328728
691	0.8326152
692	0.8323599
693	0.8321068
694	0.8318558
695	0.8316071
696	0.8313606
697	0.8311162
698	0.830874
699	0.8306339
700	0.8303959
701	0.83016
702	0.8299262
703	0.8296944
704	0.8294648
705	0.8292371
706	0.8290116
707	0.828788
708	0.8285664
709	0.8282708
710	0.8279052
711	0.8275428
712	0.8271837
713	0.8268277
714	0.8264749
715	0.8261253
716	0.8257788
717	0.8254354
718	0.8250951
719	0.8247579
720	0.8244238
721	0.8240926
722	0.8237645
723	0.8234394
724	0.8231172
725	0.822798
726	0.8224818
727	0.8221684
728	0.8218579
729	0.8215503
730	0.8209971
731	0.82033
732	0.8196659
733	0.819005
734	0.8183471
735	0.8176923
736	0.8170406
737	0.816392
738	0.8157465
739	0.815104
740	0.8144646
741	0.8138282
742	0.8131949
743	0.8125647
744	0.8119375
745	0.8113133
746	0.8106922
747	0.8100741
748	0.8094591
749	0.808847
750	0.808238
751	0.807632
752	0.8070051
753	0.8063618
754	0.8057198
755	0.8050792
756	0.80444
757	0.8038021
758	0.8031656
759	0.8025305
760	0.8018968
761	0.8012644
762	0.8006335
763	0.8000039
764	0.7993757
765	0.7987489
766	0.7981236
767	0.7974996
768	0.7968771
769	0.796256
770	0.7956363
771	0.795018
772	0.7944012
773	0.7937858
774	0.7931718
775	0.7925435
776	0.7917549
777	0.7909658
778	0.7901763
779	0.7893863
780	0.7885958
781	0.7878048
782	0.7870135
783	0.7862217
784	0.7854294
785	0.7846368
786	0.7838438
787	0.7830504
788	0.7822566
789	0.7814624
790	0.7806679
791	0.779873
792	0.7790778
793	0.7782823
794	0.7774864
795	0.7766902
796	0.7758938
797	0.775097
798	0.7743
799	0.7735028
800	0.7727394
801	0.7722828
802	0.7718253
803	0.7713671
804	0.7709079
805	0.7704479
806	0.7699871
807	0.7695254
808	0.7690629
809	0.7685995
810	0.7681353
811	0.7676702
812	0.7672043
813	0.7667375
814	0.7662699
815	0.7658014
816	0.7653321
817	0.7648619
818	0.7643908
819	0.763919
820	0.7634462
821	0.7629727
822	0.7624982
823	0.762023
824	0.7615468
825	0.7610698
826	0.760592
827	0.7602078
828	0.7599489
829	0.7596901
830	0.7594315
831	0.7591732
832	0.758915
833	0.758657
834	0.7583993
835	0.7581417
836	0.7578844
837	0.7576273
838	0.7573704
839	0.7571137
840	0.7568573
841	0.7566011
842	0.7563451
843	0.7560894
844	0.7558339
845	0.7555787
846	0.7553237
847	0.7550689
848	0.7548144
849	0.7545602
850	0.7543062
851	0.7540525
852	0.753799
853	0.7535458
854	0.7532929
855	0.7530403
856	0.7531908
857	0.7533748
858	0.7535621
859	0.7537526
860	0.7539463
861	0.7541433
862	0.7543437
863	0.7545473
864	0.7547542
865	0.7549645
866	0.7551781
867	0.7553951
868	0.7556155
869	0.7558393
870	0.7560664
871	0.756297
872	0.756531
873	0.7567684
874	0.7570093
875	0.7572537
876	0.7575016
877	0.7577529
878	0.7580078
879	0.7582662
880	0.7585282
881	0.7587937
882	0.7590628
883	0.7593355
884	0.7596118
885	0.7598917
886	0.7603592
887	0.7611181
888	0.7618804
889	0.7626461
890	0.7634153
891	0.7641878
892	0.7649637
893	0.765743
894	0.7665256
895	0.7673116
896	0.768101
897	0.7688937
898	0.7696897
899	0.770489
900	0.7712916
901	0.7720975
902	0.7729067
903	0.7737191
904	0.7745348
905	0.7753538
906	0.7761759
907	0.7770013
908	0.7778299
909	0.7786617
910	0.7794966
911	0.7803348
912	0.7811761
913	0.7820205
914	0.7828681
915	0.7837188
916	0.7845726
917	0.7854295
918	0.7862894
919	0.787397
920	0.7886747
921	0.7899518
922	0.7912284
923	0.7925044
924	0.7937797
925	0.7950543
926	0.7963282
927	0.7976013
928	0.7988737
929	0.8001452
930	0.8014158
931	0.8026855
932	0.8039542
933	0.805222
934	0.8064888
935	0.8077544
936	0.8090191
937	0.8102825
938	0.8115449
939	0.812806
940	0.8140659
941	0.8153245
942	0.8165819
943	0.8178379
944	0.8190926
945	0.8203458
946	0.8215976
947	0.822848
948	0.8240969
949	0.8253443
950	0.8265901
951	0.8278343
