Wavelength (nm)	Reflectance
200	0.2771635
201	0.2774499
202	0.2777289
203	0.2780005
204	0.2782646
205	0.2785211
206	0.2787701
207	0.2795812
208	0.2813975
209	0.2833374
210	0.2853498
211	0.2874074
212	0.2894607
213	0.2914211
214	0.2932832
215	0.2948342
216	0.2963699
217	0.297885
218	0.2995571
219	0.3013997
220	0.3032156
221	0.3050091
222	0.3065207
223	0.3078431
224	0.309197
225	0.3105698
226	0.3122697
227	0.3142142
228	0.3161908
229	0.3181994
230	0.3200515
231	0.3216723
232	0.3232936
233	0.3249299
234	0.3265792
235	0.3284838
236	0.3303812
237	0.3323245
238	0.3342705
239	0.3361398
240	0.3379496
241	0.3397619
242	0.3415956
243	0.3434222
244	0.3453227
245	0.3472262
246	0.3492234
247	0.3513225
248	0.3534292
249	0.3560085
250	0.3585796
251	0.3611432
252	0.3636993
253	0.3662471
254	0.3683323
255	0.3703956
256	0.3723202
257	0.3740048
258	0.3756825
259	0.3769679
260	0.3780864
261	0.379204
262	0.3801308
263	0.3810563
264	0.382004
265	0.3830324
266	0.3840634
267	0.385068
268	0.3860259
269	0.3869867
270	0.3878427
271	0.3885818
272	0.3893255
273	0.3900416
274	0.3907305
275	0.391423
276	0.3921604
277	0.392944
278	0.3937285
279	0.3944739
280	0.3951553
281	0.3958381
282	0.3964528
283	0.3968256
284	0.3972055
285	0.3975923
286	0.3979048
287	0.3982217
288	0.3985444
289	0.3989486
290	0.3993937
291	0.3998399
292	0.4002583
293	0.4005992
294	0.4009409
295	0.4012833
296	0.4013895
297	0.40144
298	0.4014942
299	0.4015204
300	0.4014499
301	0.4013826
302	0.4013184
303	0.4012388
304	0.4011476
305	0.4010566
306	0.4009657
307	0.400806
308	0.4006337
309	0.40046
310	0.4002818
311	0.4000324
312	0.3997817
313	0.3995295
314	0.3992627
315	0.3988861
316	0.3985065
317	0.398124
318	0.3977175
319	0.3970945
320	0.3964645
321	0.3958277
322	0.395184
323	0.3945039
324	0.3938143
325	0.3931164
326	0.3924103
327	0.3918049
328	0.3912339
329	0.3906549
330	0.3900678
331	0.3894957
332	0.3889545
333	0.3884055
334	0.3878486
335	0.3872839
336	0.3867118
337	0.3861319
338	0.3855441
339	0.3849485
340	0.3843779
341	0.3838732
342	0.3833615
343	0.382843
344	0.3823177
345	0.3819138
346	0.38159
347	0.381261
348	0.380927
349	0.3805881
350	0.3803435
351	0.3801277
352	0.3799078
353	0.3796839
354	0.3794559
355	0.3792726
356	0.3791011
357	0.3789261
358	0.3787477
359	0.3785659
360	0.3784952
361	0.378492
362	0.3784863
363	0.3784782
364	0.3784677
365	0.3785907
366	0.3789758
367	0.3793599
368	0.379743
369	0.3801253
370	0.3805066
371	0.3809317
372	0.3813616
373	0.3817908
374	0.3822194
375	0.3826474
376	0.3830036
377	0.3831846
378	0.3833644
379	0.383543
380	0.3837205
381	0.383897
382	0.3840143
383	0.3840747
384	0.3841337
385	0.3841914
386	0.3842478
387	0.384303
388	0.3843258
389	0.3843217
390	0.3843162
391	0.3843093
392	0.3843011
393	0.3842915
394	0.3842326
395	0.3841
396	0.383966
397	0.3838305
398	0.3836936
399	0.3835552
400	0.3834071
401	0.3830992
402	0.3827896
403	0.3824782
404	0.3821652
405	0.3818505
406	0.3815341
407	0.3811459
408	0.3806827
409	0.3802176
410	0.3797507
411	0.3792819
412	0.3788113
413	0.378339
414	0.3777657
415	0.377152
416	0.3765365
417	0.3759192
418	0.3753002
419	0.3746796
420	0.3740572
421	0.3733322
422	0.372564
423	0.3717936
424	0.3710212
425	0.3702467
426	0.3694701
427	0.3686916
428	0.3678502
429	0.3669347
430	0.3660167
431	0.3650961
432	0.3641729
433	0.3632473
434	0.3623193
435	0.3613888
436	0.3602896
437	0.3591803
438	0.358068
439	0.3569528
440	0.3558346
441	0.3547137
442	0.3535901
443	0.3524088
444	0.3510049
445	0.3495984
446	0.3481896
447	0.3467785
448	0.3453653
449	0.3439503
450	0.3425334
451	0.3411055
452	0.3396193
453	0.3381335
454	0.3366481
455	0.3351635
456	0.3336799
457	0.3321975
458	0.3307164
459	0.329237
460	0.3277509
461	0.3262648
462	0.324781
463	0.3232998
464	0.3218213
465	0.3203458
466	0.3188734
467	0.3174044
468	0.3159821
469	0.314857
470	0.3137446
471	0.3126454
472	0.3115594
473	0.310487
474	0.3094284
475	0.308384
476	0.3073539
477	0.306409
478	0.305968
479	0.305571
480	0.3052186
481	0.3049114
482	0.3046501
483	0.3044352
484	0.3042675
485	0.3041475
486	0.3040759
487	0.3049511
488	0.3061497
489	0.307422
490	0.3087691
491	0.3101918
492	0.3116914
493	0.3132688
494	0.3149251
495	0.3166616
496	0.3185938
497	0.3224073
498	0.3263191
499	0.3303303
500	0.3344423
501	0.3386562
502	0.3429736
503	0.3473957
504	0.351924
505	0.3565599
506	0.3613049
507	0.3670776
508	0.3730126
509	0.3790516
510	0.3851952
511	0.3914437
512	0.3977976
513	0.4042571
514	0.4108225
515	0.417494
516	0.4242718
517	0.4313111
518	0.4386616
519	0.4460774
520	0.4535566
521	0.4610973
522	0.4686977
523	0.4763556
524	0.484069
525	0.4918356
526	0.4996531
527	0.5075192
528	0.5151388
529	0.5223425
530	0.5295582
531	0.5367836
532	0.5440165
533	0.5512546
534	0.5584956
535	0.5657374
536	0.5729776
537	0.580214
538	0.5874443
539	0.5946663
540	0.6002144
541	0.6056169
542	0.610998
543	0.6163567
544	0.6216921
545	0.6270034
546	0.6322897
547	0.6375503
548	0.6427844
549	0.6479911
550	0.6531697
551	0.6583195
552	0.6619643
553	0.665515
554	0.6690494
555	0.6725673
556	0.6760685
557	0.6795528
558	0.68302
559	0.6864699
560	0.6899024
561	0.6933173
562	0.6967145
563	0.7000937
564	0.7026496
565	0.7041334
566	0.7056179
567	0.7071031
568	0.7085889
569	0.7100753
570	0.7115624
571	0.71305
572	0.7145382
573	0.716027
574	0.7175163
575	0.7190061
576	0.7204964
577	0.7217359
578	0.7224428
579	0.7231514
580	0.7238616
581	0.7245735
582	0.7252872
583	0.7260025
584	0.7267195
585	0.7274382
586	0.7281587
587	0.7288808
588	0.7296046
589	0.7303301
590	0.7310573
591	0.7317765
592	0.7324897
593	0.7332033
594	0.7339173
595	0.7346317
596	0.7353464
597	0.7360616
598	0.7367771
599	0.7374931
600	0.7382094
601	0.7389261
602	0.7396432
