Wavelength (nm)	Reflectance
200	0.515588
201	0.515588
202	0.515588
203	0.515588
204	0.515588
205	0.515588
206	0.515588
207	0.515588
208	0.515588
209	0.515588
210	0.515588
211	0.515588
212	0.515588
213	0.515588
214	0.515588
215	0.515588
216	0.515588
217	0.515588
218	0.515588
219	0.515588
220	0.515588
221	0.515588
222	0.515588
223	0.515588
224	0.515588
225	0.515588
226	0.515588
227	0.515588
228	0.515588
229	0.515588
230	0.5158844
231	0.5166847
232	0.5174836
233	0.5182812
234	0.5190971
235	0.5203828
236	0.5216638
237	0.5229402
238	0.5242118
239	0.525713
240	0.5274055
241	0.529089
242	0.5307634
243	0.5324289
244	0.5338788
245	0.5352886
246	0.536692
247	0.538089
248	0.5394797
249	0.5407307
250	0.5419779
251	0.5432214
252	0.5444611
253	0.5456969
254	0.546843
255	0.5479803
256	0.5491145
257	0.5502455
258	0.5513732
259	0.5524436
260	0.5534874
261	0.5545318
262	0.5555766
263	0.5566218
264	0.5576279
265	0.5584442
266	0.5592631
267	0.5600845
268	0.5609082
269	0.561734
270	0.5623993
271	0.5628545
272	0.5633164
273	0.5637847
274	0.5642591
275	0.5647396
276	0.565147
277	0.5654601
278	0.5657797
279	0.5661055
280	0.5664374
281	0.5667752
282	0.5670883
283	0.5672672
284	0.567451
285	0.5676396
286	0.5678328
287	0.5680307
288	0.568233
289	0.568735
290	0.5694106
291	0.5700854
292	0.5707595
293	0.5714328
294	0.5721053
295	0.572777
296	0.57382
297	0.5749757
298	0.576126
299	0.577271
300	0.5784107
301	0.5795451
302	0.5806742
303	0.5820123
304	0.5835105
305	0.5849994
306	0.5864792
307	0.5879499
308	0.5894116
309	0.5908644
310	0.5923084
311	0.5937534
312	0.5951894
313	0.5966166
314	0.598035
315	0.5994447
316	0.6008457
317	0.6022381
318	0.6036056
319	0.6046566
320	0.6057031
321	0.6067452
322	0.6077827
323	0.6088159
324	0.6098445
325	0.6108688
326	0.6118886
327	0.613017
328	0.614193
329	0.6153632
330	0.6165277
331	0.6176865
332	0.6188397
333	0.6199871
334	0.621129
335	0.6222652
336	0.6232224
337	0.6241484
338	0.6250714
339	0.6259916
340	0.6269088
341	0.627823
342	0.6287343
343	0.6296426
344	0.630548
345	0.6314344
346	0.6323065
347	0.6331769
348	0.6340456
349	0.6349125
350	0.6357777
351	0.636641
352	0.6375024
353	0.6383619
354	0.6392195
355	0.6401175
356	0.6410316
357	0.6419446
358	0.6428563
359	0.6437668
360	0.6446758
361	0.6455834
362	0.6464895
363	0.6473939
364	0.6482967
365	0.6491075
366	0.6497005
367	0.6502985
368	0.6509014
369	0.6515089
370	0.6521207
371	0.6527368
372	0.6533568
373	0.6539806
374	0.654608
375	0.6552389
376	0.6557694
377	0.6559835
378	0.6562134
379	0.6564586
380	0.6567186
381	0.6569929
382	0.657281
383	0.6575823
384	0.6578966
385	0.6582232
386	0.6585618
387	0.658912
388	0.6589427
389	0.658664
390	0.6584093
391	0.6581778
392	0.657969
393	0.6577823
394	0.6576171
395	0.6574727
396	0.6573487
397	0.6572444
398	0.6571594
399	0.6570931
400	0.657045
401	0.656372
402	0.6557298
403	0.6551177
404	0.654535
405	0.653981
406	0.6534551
407	0.6529565
408	0.6524848
409	0.6520392
410	0.6516192
411	0.6512242
412	0.6508535
413	0.6505066
414	0.6498855
415	0.6491463
416	0.6484358
417	0.6477535
418	0.6470989
419	0.6464715
420	0.6458706
421	0.6450681
422	0.6441816
423	0.6433292
424	0.6425104
425	0.6417246
426	0.640971
427	0.6402491
428	0.639469
429	0.6385868
430	0.6377288
431	0.6368948
432	0.6360844
433	0.6352974
434	0.6345334
435	0.6337921
436	0.6328356
437	0.6318822
438	0.6309554
439	0.6300547
440	0.62918
441	0.6283308
442	0.627507
443	0.626673
444	0.6256476
445	0.6246456
446	0.6236666
447	0.6227106
448	0.6217774
449	0.6208667
450	0.6199784
451	0.619095
452	0.6180574
453	0.6170387
454	0.6160386
455	0.6150573
456	0.6140945
457	0.6131502
458	0.6122243
459	0.6113168
460	0.6102558
461	0.6091526
462	0.6080674
463	0.6070001
464	0.6059508
465	0.6049194
466	0.603906
467	0.6029103
468	0.6019294
469	0.6009272
470	0.5999374
471	0.59896
472	0.597995
473	0.5970425
474	0.5961024
475	0.5951747
476	0.5942595
477	0.5933473
478	0.5923359
479	0.5913342
480	0.5903421
481	0.5893599
482	0.5883875
483	0.5874249
484	0.5864722
485	0.5855294
486	0.5845966
487	0.5836679
488	0.582746
489	0.5818331
490	0.5809292
491	0.5800344
492	0.5791485
493	0.5782718
494	0.5774042
495	0.5765458
496	0.5756965
497	0.5747885
498	0.5738867
499	0.5729911
500	0.5721018
501	0.5712187
502	0.5703421
503	0.5694717
504	0.5686079
505	0.5677505
506	0.5668996
507	0.5661922
508	0.5655077
509	0.5648272
510	0.5641507
511	0.5634782
512	0.5628099
513	0.5621456
514	0.5614855
515	0.5608295
516	0.5601777
517	0.5595019
518	0.5587723
519	0.5580461
520	0.5573231
521	0.5566034
522	0.555887
523	0.555174
524	0.5544643
525	0.5537581
526	0.5530554
527	0.5523561
528	0.5516686
529	0.5510002
530	0.5503343
531	0.5496708
532	0.5490098
533	0.5483514
534	0.5476955
535	0.5470422
536	0.5463914
537	0.5457434
538	0.5450979
539	0.5444552
540	0.5438375
541	0.5432248
542	0.542614
543	0.5420049
544	0.5413977
545	0.5407922
546	0.5401887
547	0.539587
548	0.5389872
549	0.5383893
550	0.5377934
551	0.5371994
552	0.536592
553	0.5359841
554	0.5353778
555	0.534773
556	0.5341697
557	0.5335679
558	0.5329678
559	0.5323693
560	0.5317724
561	0.5311772
562	0.5305837
563	0.5299919
564	0.5294191
565	0.5288783
566	0.5283385
567	0.5277997
568	0.527262
569	0.5267252
570	0.5261896
571	0.525655
572	0.5251215
573	0.5245891
574	0.5240578
575	0.5235276
576	0.5229986
577	0.5224876
578	0.5220255
579	0.5215641
580	0.5211035
581	0.5206436
582	0.5201845
583	0.5197261
584	0.5192685
585	0.5188116
586	0.5183555
587	0.5179001
588	0.5174454
589	0.5169914
590	0.5165382
591	0.5160892
592	0.5156438
593	0.5151986
594	0.5147536
595	0.5143087
596	0.5138639
597	0.5134193
598	0.5129748
599	0.5125304
600	0.512086
601	0.5116416
602	0.5111973
603	0.5107529
604	0.5103084
605	0.5098748
606	0.5095219
607	0.5091687
608	0.5088153
609	0.5084616
610	0.5081076
611	0.5077532
612	0.5073985
613	0.5070434
614	0.5066879
615	0.5063318
616	0.5059753
617	0.5056183
618	0.5052607
619	0.5049025
620	0.5045436
621	0.5042146
622	0.5038847
623	0.5035537
624	0.5032218
625	0.5028889
626	0.5025548
627	0.5022197
628	0.5018834
629	0.501546
630	0.5012074
631	0.5008676
632	0.5005266
633	0.5001842
634	0.4998406
635	0.4994957
636	0.4991552
637	0.4988662
638	0.4985758
639	0.498284
640	0.497991
641	0.4976965
642	0.4974007
643	0.4971036
644	0.496805
645	0.4965051
646	0.4962037
647	0.495901
648	0.4955968
649	0.4952913
650	0.4949843
651	0.494676
652	0.4943662
653	0.4940767
654	0.4938228
655	0.4935677
656	0.4933116
657	0.4930543
658	0.492796
659	0.4925367
660	0.4922763
661	0.4920148
662	0.4917524
663	0.491489
664	0.4912247
665	0.4909595
666	0.4906933
667	0.4904263
668	0.4901585
669	0.4898898
670	0.4896204
671	0.4894248
672	0.4892564
673	0.4890876
674	0.4889184
675	0.4887489
676	0.488579
677	0.4884089
678	0.4882386
679	0.4880681
680	0.4878973
681	0.4877264
682	0.4875554
683	0.4873842
684	0.487213
685	0.4870417
686	0.4868704
687	0.4866992
688	0.486528
689	0.4863653
690	0.4862711
691	0.4861773
692	0.486084
693	0.4859912
694	0.4858988
695	0.485807
696	0.4857158
697	0.4856251
698	0.485535
699	0.4854456
700	0.4853569
701	0.4852688
702	0.4851814
703	0.4850948
704	0.485009
705	0.4849239
706	0.4848396
707	0.4847562
708	0.4846737
709	0.4846316
710	0.4846426
711	0.4846541
712	0.4846661
713	0.4846788
714	0.4846919
715	0.4847057
716	0.4847201
717	0.4847351
718	0.4847507
719	0.4847669
720	0.4847838
721	0.4848013
722	0.4848196
723	0.4848385
724	0.4848581
725	0.4848784
726	0.4848994
727	0.4849211
728	0.4849436
729	0.4849669
730	0.4850363
731	0.4851377
732	0.4852395
733	0.4853416
734	0.4854441
735	0.485547
736	0.4856504
737	0.4857541
738	0.4858582
739	0.4859627
740	0.4860676
741	0.486173
742	0.4862787
743	0.4863849
744	0.4864916
745	0.4865987
746	0.4867062
747	0.4868142
748	0.4869226
749	0.4870315
750	0.4871408
751	0.4872506
752	0.4873769
753	0.4875207
754	0.4876648
755	0.4878091
756	0.4879537
757	0.4880986
758	0.4882438
759	0.4883893
760	0.488535
761	0.488681
762	0.4888273
763	0.4889739
764	0.4891208
765	0.489268
766	0.4894155
767	0.4895633
768	0.4897114
769	0.4898598
770	0.4900085
771	0.4901576
772	0.4903069
773	0.4904566
774	0.4906066
775	0.490757
776	0.4906717
777	0.4905868
778	0.4905021
779	0.4904178
780	0.4903338
781	0.4902501
782	0.4901667
783	0.4900836
784	0.4900007
785	0.4899182
786	0.4898358
787	0.4897538
788	0.489672
789	0.4895904
790	0.4895091
791	0.489428
792	0.4893472
793	0.4892665
794	0.4891861
795	0.4891059
796	0.4890259
797	0.4889461
798	0.4888665
799	0.4887871
800	0.4887078
801	0.4884954
802	0.4882845
803	0.4880752
804	0.4878677
805	0.4876619
806	0.4874579
807	0.4872557
808	0.4870554
809	0.4868571
810	0.4866608
811	0.4864666
812	0.4862744
813	0.4860845
814	0.4858968
815	0.4857114
816	0.4855284
817	0.4853477
818	0.4851696
819	0.484994
820	0.4848211
821	0.4846508
822	0.4844833
823	0.4843186
824	0.4841569
825	0.4839981
826	0.4838423
827	0.4837049
828	0.4836021
829	0.4835034
830	0.4834087
831	0.4833182
832	0.4832319
833	0.4831499
834	0.4830723
835	0.4829991
836	0.4829304
837	0.4828663
838	0.4828068
839	0.4827521
840	0.4827022
841	0.4826572
842	0.4826171
843	0.4825821
844	0.4825521
845	0.4825273
846	0.4825078
847	0.4824936
848	0.4824848
849	0.4824815
850	0.4824837
851	0.4824915
852	0.4825051
853	0.4825243
854	0.4825495
855	0.4825805
856	0.4825924
857	0.4826072
858	0.4826301
859	0.4826613
860	0.4827009
861	0.4827489
862	0.4828055
863	0.4828707
864	0.4829446
865	0.4830272
866	0.4831187
867	0.483219
868	0.4833284
869	0.4834468
870	0.4835743
871	0.4837111
872	0.483857
873	0.4840123
874	0.4841769
875	0.484351
876	0.4845345
877	0.4847275
878	0.4849301
879	0.4851424
880	0.4853643
881	0.4855959
882	0.4858372
883	0.4860883
884	0.4863493
885	0.48662
886	0.4869111
887	0.4872359
888	0.4875681
889	0.4879076
890	0.4882544
891	0.4886083
892	0.4889694
893	0.4893375
894	0.4897127
895	0.4900949
896	0.490484
897	0.4908799
898	0.4912826
899	0.4916919
900	0.4921079
901	0.4925305
902	0.4929596
903	0.4933951
904	0.4938369
905	0.4942849
906	0.4947391
907	0.4951994
908	0.4956657
909	0.4961379
910	0.4966159
911	0.4970997
912	0.497589
913	0.4980839
914	0.4985843
915	0.49909
916	0.4996009
917	0.500117
918	0.5006382
919	0.5011551
920	0.5016639
921	0.5021735
922	0.5026839
923	0.5031949
924	0.5037064
925	0.5042183
926	0.5047304
927	0.5052427
928	0.5057551
929	0.5062674
930	0.5067795
931	0.5072913
932	0.5078027
933	0.5083136
934	0.5088239
935	0.5093335
936	0.5098423
937	0.5103501
938	0.510857
939	0.5113626
940	0.5118671
941	0.5123702
942	0.5128718
943	0.513372
944	0.5138705
945	0.5143672
946	0.5148621
947	0.5153551
948	0.5158461
949	0.516335
950	0.5168216
951	0.517306
952	0.517788
953	0.5182675
954	0.5187522
955	0.5192795
956	0.5198062
957	0.5203321
958	0.5208571
959	0.5213811
960	0.521904
961	0.5224257
962	0.5229461
963	0.5234652
964	0.5239827
965	0.5244986
966	0.5250129
967	0.5255253
968	0.5260359
969	0.5265444
970	0.5270509
971	0.5275552
972	0.5280573
973	0.528557
974	0.5290542
975	0.5295489
976	0.530041
977	0.5305304
978	0.531017
979	0.5315007
980	0.5319815
981	0.5324592
982	0.5329338
983	0.5334051
984	0.5338732
985	0.5343379
986	0.5347992
987	0.5352569
988	0.5357111
989	0.5361616
990	0.5366084
991	0.5370513
992	0.5374904
993	0.5378186
994	0.5381421
995	0.5384609
996	0.538775
997	0.5390844
998	0.539389
999	0.5396888
1000	0.5399839
1001	0.5402741
1002	0.5405595
1003	0.5408401
1004	0.5411158
1005	0.5413866
1006	0.5416526
1007	0.5419136
1008	0.5421697
1009	0.5424209
1010	0.5426671
1011	0.5429083
1012	0.5431446
1013	0.5433759
1014	0.5436022
1015	0.5438235
1016	0.5440397
1017	0.5442509
1018	0.5444571
1019	0.5446582
1020	0.5448543
1021	0.5450453
1022	0.5452312
1023	0.545412
1024	0.5455878
1025	0.5457584
1026	0.5459239
1027	0.5460844
1028	0.5462397
1029	0.5463898
1030	0.5465349
1031	0.5466748
1032	0.5468095
1033	0.5469392
1034	0.547031
1035	0.5471005
1036	0.5471639
1037	0.5472209
1038	0.5472717
1039	0.5473162
1040	0.5473545
1041	0.5473865
1042	0.5474121
1043	0.5474316
1044	0.5474447
1045	0.5474515
1046	0.5474521
1047	0.5474464
1048	0.5474344
1049	0.5474162
1050	0.5473916
1051	0.5473608
1052	0.5473237
1053	0.5472804
1054	0.5472307
1055	0.5471748
1056	0.547068
1057	0.5469334
1058	0.5467921
1059	0.5466439
1060	0.5464891
1061	0.5463275
1062	0.5461591
1063	0.5459841
1064	0.5458023
1065	0.5456139
1066	0.5454187
1067	0.5452169
1068	0.5450083
1069	0.5447932
1070	0.5445714
1071	0.5443429
1072	0.5441079
1073	0.5438662
1074	0.5436179
1075	0.543363
1076	0.5431015
1077	0.5428335
1078	0.5425589
1079	0.5423082
1080	0.5420631
1081	0.5418131
1082	0.5415584
1083	0.5412988
1084	0.5410345
1085	0.5407655
1086	0.5404917
1087	0.5402131
1088	0.5399299
1089	0.5396419
1090	0.5393493
1091	0.539052
1092	0.5387501
1093	0.5384435
1094	0.5381323
1095	0.5378165
1096	0.5374961
1097	0.5371712
1098	0.5368416
1099	0.5365076
1100	0.5361689
1101	0.5358258
1102	0.5354782
1103	0.5351261
1104	0.5347695
1105	0.5344085
1106	0.534043
1107	0.5336731
1108	0.5332987
1109	0.53292
1110	0.5325369
1111	0.5321494
1112	0.5317576
1113	0.5313614
1114	0.5309609
1115	0.5305561
1116	0.530147
1117	0.5297336
1118	0.5293159
1119	0.528894
1120	0.5284678
1121	0.5280374
1122	0.5276029
1123	0.527164
1124	0.5267211
1125	0.5262739
1126	0.5258226
1127	0.5253672
1128	0.5249076
1129	0.5244439
1130	0.5239761
1131	0.5235042
1132	0.5230282
1133	0.5225482
1134	0.5220641
1135	0.5215761
1136	0.5210839
1137	0.5205878
1138	0.5200877
1139	0.5195836
1140	0.5190756
1141	0.5185636
1142	0.5180477
1143	0.5175278
1144	0.5170041
1145	0.5164764
1146	0.5159449
1147	0.5154095
1148	0.5148703
