Wavelength (nm)	Reflectance
200	0.1174196
201	0.1121393
202	0.1067353
203	0.101234
204	0.0956626
205	0.0900479
206	0.0844169
207	0.0787959
208	0.0732112
209	0.0676885
210	0.062253
211	0.0560029
212	0.0499607
213	0.0441594
214	0.0386295
215	0.0333991
216	0.0285598
217	0.0240574
218	0.0199107
219	0.0161357
220	0.0127453
221	0.0097798
222	0.0072062
223	0.005028
224	0.0032461
225	0.0018586
226	0.0008673
227	0.0002528
228	6.2e-06
229	0.0001164
230	0.000571
231	0.0013457
232	0.0024286
233	0.0038036
234	0.0054538
235	0.0073615
236	0.0094912
237	0.0118388
238	0.014386
239	0.0171147
240	0.0200069
241	0.0230219
242	0.0261637
243	0.0294157
244	0.0327618
245	0.0361864
246	0.0396664
247	0.0431956
248	0.0467606
249	0.0503484
250	0.053947
251	0.0575223
252	0.0610875
253	0.0646328
254	0.0681491
255	0.071628
256	0.0750492
257	0.0784195
258	0.0817323
259	0.0849817
260	0.0881624
261	0.0912651
262	0.0942907
263	0.0972352
264	0.1000955
265	0.1028684
266	0.1055462
267	0.1081334
268	0.1106281
269	0.1130287
270	0.1153339
271	0.1175422
272	0.119654
273	0.121669
274	0.1235866
275	0.1254068
276	0.1271326
277	0.1287628
278	0.1302976
279	0.1317376
280	0.1330834
281	0.1343357
282	0.1354953
283	0.136563
284	0.13754
285	0.1384272
286	0.1392362
287	0.1399592
288	0.1405975
289	0.1411522
290	0.1416248
291	0.1420166
292	0.1423291
293	0.1425635
294	0.1427216
295	0.1428046
296	0.1428308
297	0.1427861
298	0.142672
299	0.1424902
300	0.1422421
301	0.1419293
302	0.1415532
303	0.1411156
304	0.1406179
305	0.1400617
306	0.1394592
307	0.1388016
308	0.1380907
309	0.1373278
310	0.1365146
311	0.135664
312	0.1347664
313	0.1338233
314	0.1328361
315	0.1318065
316	0.1307358
317	0.1296255
318	0.128477
319	0.1272919
320	0.1260715
321	0.1248301
322	0.1235564
323	0.1222519
324	0.1209179
325	0.1195558
326	0.11818
327	0.1167789
328	0.1153539
329	0.1139061
330	0.1124368
331	0.1109474
332	0.1094391
333	0.1079132
334	0.1063707
335	0.1048131
336	0.1032546
337	0.1016833
338	0.1001002
339	0.0985066
340	0.0969034
341	0.0952918
342	0.0936729
343	0.0920477
344	0.0904174
345	0.0887828
346	0.0871451
347	0.0855052
348	0.0838642
349	0.0822229
350	0.0805824
351	0.078956
352	0.077332
353	0.0757113
354	0.0740946
355	0.072483
356	0.0708771
357	0.0692777
358	0.0676857
359	0.0661019
360	0.0645268
361	0.0629614
362	0.0614062
363	0.0598621
364	0.0583296
365	0.0568093
366	0.0553128
367	0.0538296
368	0.0523603
369	0.0509053
370	0.0494652
371	0.0480406
372	0.0466321
373	0.0452399
374	0.0438647
375	0.0425069
376	0.0411763
377	0.0398635
378	0.0385691
379	0.0372933
380	0.0360366
381	0.0347993
382	0.0335816
383	0.0323839
384	0.0312065
385	0.0300496
386	0.0289136
387	0.0277985
388	0.0267048
389	0.0256325
390	0.0245818
391	0.0235529
392	0.0225461
393	0.0215613
394	0.0205988
395	0.0196587
396	0.018741
397	0.0178458
398	0.0169733
399	0.0161234
400	0.0152962
401	0.014497
402	0.0137202
403	0.0129659
404	0.0122339
405	0.0115244
406	0.0108373
407	0.0101725
408	0.00953
409	0.0089098
410	0.0083117
411	0.0077357
412	0.0071818
413	0.0066497
414	0.0061394
415	0.0056508
416	0.0051838
417	0.0047381
418	0.0043138
419	0.0039106
420	0.0035284
421	0.003167
422	0.0028263
423	0.002506
424	0.0022061
425	0.0019262
426	0.0016679
427	0.0014289
428	0.0012093
429	0.0010087
430	0.000827
431	0.000664
432	0.0005194
433	0.0003931
434	0.0002848
435	0.0001942
436	0.0001209
437	6.5e-05
438	2.65e-05
439	5.1e-06
440	4e-07
441	1.21e-05
442	3.98e-05
443	8.31e-05
444	0.000142
445	0.0002161
446	0.0003058
447	0.0004104
448	0.0005297
449	0.0006634
450	0.0008113
451	0.0009731
452	0.0011487
453	0.0013377
454	0.0015399
455	0.001755
456	0.0019828
457	0.0022231
458	0.0024756
459	0.00274
460	0.0030162
461	0.0033023
462	0.0035995
463	0.0039076
464	0.0042264
465	0.0045556
466	0.0048968
467	0.0052481
468	0.0056091
469	0.0059798
470	0.0063598
471	0.0067469
472	0.0071429
473	0.0075476
474	0.0079606
475	0.0083818
476	0.0088109
477	0.0092479
478	0.0096923
479	0.0101442
480	0.0106031
481	0.0110691
482	0.0115417
483	0.0120209
484	0.0125064
485	0.0129981
486	0.0134958
487	0.0139992
488	0.0145082
489	0.0150226
490	0.0155422
491	0.0160669
492	0.0165965
493	0.0171307
494	0.0176694
495	0.0182125
496	0.0187598
497	0.0193111
498	0.0198663
499	0.0204252
500	0.0209876
501	0.0215512
502	0.022118
503	0.0226879
504	0.0232608
505	0.0238366
506	0.0244172
507	0.0250003
508	0.0255859
509	0.0261736
510	0.0267635
511	0.0273554
512	0.0279491
513	0.0285446
514	0.0291417
515	0.0297402
516	0.0303382
517	0.0309375
518	0.0315379
519	0.0321395
520	0.032742
521	0.0333472
522	0.0339531
523	0.0345597
524	0.0351667
525	0.0357741
526	0.0363802
527	0.0369865
528	0.0375931
529	0.0381997
530	0.0388063
531	0.0394128
532	0.0400192
533	0.0406254
534	0.0412312
535	0.0418366
536	0.0424428
537	0.0430485
538	0.0436534
539	0.0442575
540	0.0448608
541	0.045462
542	0.0460623
543	0.0466616
544	0.0472599
545	0.0478571
546	0.0484531
547	0.0490479
548	0.0496415
549	0.0502336
550	0.0508245
551	0.0514138
552	0.0520017
553	0.052588
554	0.0531727
555	0.0537558
556	0.0543372
557	0.0549168
558	0.0554947
559	0.0560707
560	0.0566449
561	0.0572172
562	0.0577875
563	0.0583559
564	0.0589222
565	0.0594865
566	0.0600487
567	0.0606087
568	0.0611666
569	0.0617224
570	0.0622758
571	0.0628271
572	0.063376
573	0.0639227
574	0.064467
575	0.065009
576	0.0655485
577	0.0660857
578	0.0666204
579	0.0671527
580	0.0676825
581	0.0682105
582	0.068736
583	0.0692591
584	0.0697797
585	0.0702978
586	0.0708126
587	0.0713247
588	0.0718343
589	0.0723412
590	0.0728454
591	0.073347
592	0.0738459
593	0.0743421
594	0.0748356
