Wavelength (nm)	Reflectance
200	0.0789704
201	0.0590142
202	0.0850588
203	0.1441206
204	0.2134871
205	0.2750853
206	0.3196611
207	0.3445804
208	0.3496426
209	0.3345255
210	0.3001792
211	0.240415
212	0.1682622
213	0.102637
214	0.0685882
215	0.0817819
216	0.1346297
217	0.2049842
218	0.2721483
219	0.3242067
220	0.3564293
221	0.3679716
222	0.3592871
223	0.3311952
224	0.2855633
225	0.2265177
226	0.1637415
227	0.1107986
228	0.0835956
229	0.091908
230	0.1323321
231	0.1904408
232	0.2518307
233	0.3059531
234	0.3473709
235	0.3743424
236	0.3862805
237	0.383771
238	0.3671792
239	0.3370787
240	0.2948962
241	0.2442712
242	0.1906065
243	0.1426816
244	0.111006
245	0.1037526
246	0.1228649
247	0.1630347
248	0.2147123
249	0.2689191
250	0.3183435
251	0.3587801
252	0.3890292
253	0.4086445
254	0.4172698
255	0.4155974
256	0.4038725
257	0.3822788
258	0.3516342
259	0.3125524
260	0.2676164
261	0.2211056
262	0.1782033
263	0.1457869
264	0.129771
265	0.1332736
266	0.1550365
267	0.1904784
268	0.233437
269	0.2781482
270	0.3201123
271	0.3564494
272	0.3859983
273	0.4081498
274	0.4228089
275	0.4301101
276	0.4303067
277	0.423645
278	0.4102264
279	0.3902278
280	0.3639993
281	0.3322785
282	0.296169
283	0.2573569
284	0.2189208
285	0.1843639
286	0.1576271
287	0.1417553
288	0.1387741
289	0.1489258
290	0.1704433
291	0.200302
292	0.2349896
293	0.2711833
294	0.3063535
295	0.3386522
296	0.3664879
297	0.3896643
298	0.407963
299	0.4212865
300	0.4296194
301	0.4331481
302	0.4319705
303	0.4261987
304	0.4159361
305	0.4012872
306	0.3825
307	0.3597819
308	0.3335787
309	0.3045513
310	0.2736552
311	0.2422532
312	0.2119121
313	0.1845044
314	0.1619704
315	0.1460165
316	0.1379545
317	0.1383471
318	0.1469284
319	0.1625128
320	0.1837449
321	0.2087487
322	0.2358774
323	0.2635352
324	0.2905093
325	0.3158516
326	0.3388006
327	0.3591495
328	0.376585
329	0.3909394
330	0.4021692
331	0.4103066
332	0.4154076
333	0.4174814
334	0.4165817
335	0.4127627
336	0.4061274
337	0.3967194
338	0.3846127
339	0.3699083
340	0.3527783
341	0.3334601
342	0.3121597
343	0.2892507
344	0.2652202
345	0.240768
346	0.216595
347	0.1934836
348	0.1723452
349	0.1540999
350	0.1396793
351	0.1297567
352	0.1247047
353	0.1247158
354	0.1296877
355	0.1392828
356	0.1528745
357	0.1696942
358	0.1889107
359	0.2096917
360	0.2313681
361	0.2532193
362	0.2746055
363	0.2950665
364	0.3142495
365	0.332035
366	0.348301
367	0.3627563
368	0.3753333
369	0.3859997
370	0.3947482
371	0.4016324
372	0.4066332
373	0.4097711
374	0.4110748
375	0.410574
376	0.4082487
377	0.4040274
378	0.3981137
379	0.3905446
380	0.3813642
381	0.3706263
382	0.3583407
383	0.3445982
384	0.3295699
385	0.3134002
386	0.2962694
387	0.2783981
388	0.2599974
389	0.2413857
390	0.222961
391	0.2051133
392	0.1882588
393	0.1728243
394	0.1591856
395	0.1477111
396	0.1387979
397	0.1327012
398	0.1295833
399	0.1295018
400	0.1324006
401	0.1379567
402	0.1460732
403	0.1564463
404	0.1687266
405	0.1825387
406	0.1975026
407	0.2131857
408	0.2292386
409	0.2454172
410	0.2614504
411	0.2771066
412	0.2921952
413	0.306561
414	0.3199909
415	0.3324443
416	0.343888
417	0.3542744
418	0.3635722
419	0.3717629
420	0.3788387
421	0.3847003
422	0.3894137
423	0.3930285
424	0.395556
425	0.3970091
426	0.3973995
427	0.3967557
428	0.3950479
429	0.392289
430	0.3885493
431	0.3838455
432	0.378196
433	0.3716209
434	0.3641434
435	0.3557906
436	0.3464868
437	0.3363772
438	0.3255085
439	0.3139322
440	0.3017091
441	0.2890539
442	0.2759137
443	0.2623807
444	0.2485738
445	0.2345962
446	0.2204861
447	0.2064505
448	0.192626
449	0.1791551
450	0.1661843
451	0.1538717
452	0.1424201
453	0.1318835
454	0.1223849
455	0.1140342
456	0.1069246
457	0.1011298
458	0.0967021
459	0.0936706
460	0.0920382
461	0.0917742
462	0.0928373
463	0.0951697
464	0.0986963
465	0.1033279
466	0.1090157
467	0.1156106
468	0.1230236
469	0.131292
470	0.1401198
471	0.1493251
472	0.1588711
473	0.1686598
474	0.1785993
475	0.1886059
476	0.1986021
477	0.2085637
478	0.2187158
479	0.2287334
480	0.2385727
481	0.2481963
482	0.2575718
483	0.2666718
484	0.2754734
485	0.2839575
486	0.2921087
487	0.3008105
488	0.3094378
489	0.317731
490	0.325682
491	0.3332847
492	0.3405347
493	0.347429
494	0.3539667
495	0.3601473
496	0.3660779
497	0.3732999
498	0.3801343
499	0.3865814
500	0.3926424
501	0.3983178
502	0.4036196
503	0.4085516
504	0.4131182
505	0.4173246
506	0.4211618
507	0.4252727
508	0.4290346
509	0.4324138
510	0.4354183
511	0.4380571
512	0.4403397
513	0.4422766
514	0.443879
515	0.445159
516	0.4461755
517	0.4468551
518	0.4471476
519	0.4471241
520	0.4468038
521	0.4461501
522	0.4452405
523	0.4441019
524	0.442764
525	0.4412605
526	0.4396938
527	0.4380403
528	0.4359446
529	0.433226
530	0.4305233
531	0.4278936
532	0.4253986
533	0.4231042
534	0.4210805
535	0.4194008
536	0.4180823
537	0.4172686
538	0.4170391
539	0.4174724
540	0.4166344
541	0.416437
542	0.4170465
543	0.4185176
544	0.4208955
545	0.4242136
546	0.4284926
547	0.4337394
548	0.4399463
549	0.4470915
550	0.4551389
551	0.4640395
552	0.4718192
553	0.4802097
554	0.4892418
555	0.4988409
556	0.5089282
557	0.5194241
558	0.5302484
559	0.5413225
560	0.5525711
561	0.5639226
562	0.5753108
563	0.5866746
564	0.5969162
565	0.6056964
566	0.6143801
567	0.6229353
568	0.6313346
569	0.6395548
570	0.6475763
571	0.6553834
572	0.6629632
573	0.6703065
574	0.6774059
575	0.6842565
576	0.6908557
577	0.6969293
578	0.7021871
579	0.7072179
580	0.7120233
581	0.7165758
582	0.7209117
583	0.7250343
584	0.7289473
585	0.7326548
586	0.7361821
587	0.7395092
588	0.7426407
589	0.7455811
590	0.748335
591	0.7508918
592	0.7532577
593	0.7554467
594	0.7574628
595	0.7593101
596	0.7609923
597	0.7625132
598	0.7638762
599	0.7650846
600	0.7661414
601	0.7670493
602	0.7678138
603	0.7684374
604	0.7689223
605	0.7692338
606	0.7692469
607	0.7691243
