Wavelength (nm)	Reflectance
200	0.1945058
201	0.1949062
202	0.1988575
203	0.2059952
204	0.213922
205	0.2178601
206	0.2133689
207	0.2003468
208	0.1827771
209	0.1648708
210	0.148745
211	0.134198
212	0.1219783
213	0.1116953
214	0.1029937
215	0.0954316
216	0.089101
217	0.0838146
218	0.0796441
219	0.0765982
220	0.0745941
221	0.0738032
222	0.0741921
223	0.0762075
224	0.0805299
225	0.0876358
226	0.097903
227	0.1100282
228	0.1207223
229	0.1265077
230	0.1262473
231	0.1218922
232	0.1163159
233	0.1112064
234	0.107241
235	0.1046855
236	0.1032563
237	0.1028638
238	0.1033267
239	0.1044538
240	0.1061485
241	0.1083316
242	0.1110123
243	0.1141384
244	0.1177561
245	0.1218435
246	0.1265247
247	0.1319275
248	0.1381205
249	0.1458308
250	0.1549447
251	0.1659348
252	0.1795658
253	0.196628
254	0.2170944
255	0.2407482
256	0.2645159
257	0.2837607
258	0.2954056
259	0.2992471
260	0.2983605
261	0.2956506
262	0.2927585
263	0.2905646
264	0.2893077
265	0.2890495
266	0.2895309
267	0.2906143
268	0.2921446
269	0.294068
270	0.2961832
271	0.2983833
272	0.3007569
273	0.3031994
274	0.3056844
275	0.3082523
276	0.3108821
277	0.3136097
278	0.3164247
279	0.3192965
280	0.3222272
281	0.3253505
282	0.3286653
283	0.3320648
284	0.3359936
285	0.3406863
286	0.3463708
287	0.3535786
288	0.3628005
289	0.3746701
290	0.3892838
291	0.4060212
292	0.4233195
293	0.4387778
294	0.4501519
295	0.4563789
296	0.4577008
297	0.4556502
298	0.4516931
299	0.4468891
300	0.4418582
301	0.4370248
302	0.4325558
303	0.428451
304	0.4247079
305	0.4213304
306	0.4182758
307	0.4154027
308	0.412754
309	0.4103136
310	0.4080498
311	0.4058666
312	0.4038153
313	0.40188
314	0.4000303
315	0.3981293
316	0.3963184
317	0.3945963
318	0.3929376
319	0.3911021
320	0.3893843
321	0.3878002
322	0.3863741
323	0.3851089
324	0.3840765
325	0.3833246
326	0.3829103
327	0.383052
328	0.3837499
329	0.3850483
330	0.3870668
331	0.3899823
332	0.3939806
333	0.3991653
334	0.4057025
335	0.413732
336	0.4233643
337	0.4345187
338	0.4469447
339	0.4601326
340	0.4733026
341	0.4854318
342	0.4953262
343	0.5019996
344	0.5048566
345	0.5038809
346	0.4994648
347	0.4923021
348	0.4832397
349	0.473071
350	0.4625001
351	0.451971
352	0.441779
353	0.432114
354	0.4230735
355	0.4147378
356	0.4070774
357	0.40005
358	0.3936157
359	0.3877294
360	0.3824535
361	0.3777127
362	0.3734018
363	0.3694833
364	0.3659237
365	0.362842
366	0.3603669
367	0.3581855
368	0.3562763
369	0.3546209
370	0.3532034
371	0.3520625
372	0.3511423
373	0.3504274
374	0.3499104
375	0.3495859
376	0.3493711
377	0.3491353
378	0.3490853
379	0.3492225
380	0.34955
381	0.3500722
382	0.3507229
383	0.3515122
384	0.3525187
385	0.3537532
386	0.3552282
387	0.3569579
388	0.3588891
389	0.3610493
390	0.3635142
391	0.3663063
392	0.3694501
393	0.3729718
394	0.3768465
395	0.3810799
396	0.3857817
397	0.3909804
398	0.3967014
399	0.4029643
400	0.4097751
401	0.41706
402	0.4248738
403	0.4331595
404	0.4418212
405	0.4507113
406	0.4596206
407	0.4682097
408	0.4761238
409	0.4830036
410	0.4883818
411	0.4917828
412	0.4927764
413	0.4910385
414	0.4863057
415	0.4786953
416	0.4684967
417	0.456129
418	0.4421243
419	0.4270584
420	0.411484
421	0.3958306
422	0.3805052
423	0.3658118
424	0.3519397
425	0.3389977
426	0.3270394
427	0.3160582
428	0.3059537
429	0.2966563
430	0.2881857
431	0.2804795
432	0.273474
433	0.2671075
434	0.2613217
435	0.2560626
436	0.2510713
437	0.2465171
438	0.2423708
439	0.238599
440	0.2351716
441	0.2320765
442	0.2292754
443	0.2267016
444	0.224223
445	0.2220224
446	0.220079
447	0.2183884
448	0.2169403
449	0.2157251
450	0.2147345
451	0.2139696
452	0.2134826
453	0.2132264
454	0.2131957
455	0.2133855
456	0.2137915
457	0.2144097
458	0.2152365
459	0.2162683
460	0.2175065
461	0.2189547
462	0.2206012
463	0.2224436
464	0.2244794
465	0.2267063
466	0.2291137
467	0.2317077
468	0.2345865
469	0.2383345
470	0.242287
471	0.2464486
472	0.2508069
473	0.2553579
474	0.2600972
475	0.2650207
476	0.2701235
477	0.2756171
478	0.2827556
479	0.290107
480	0.2976612
481	0.3054081
482	0.3133369
483	0.3214363
484	0.3296942
485	0.338098
486	0.3466342
487	0.3561108
488	0.3659142
489	0.3757959
490	0.3857394
491	0.3957273
492	0.4057406
493	0.415759
494	0.425761
495	0.4357225
496	0.4456557
497	0.4560873
498	0.4663943
499	0.4765499
500	0.486524
501	0.4962918
502	0.5058061
503	0.5150238
504	0.5238962
505	0.5323675
506	0.5403658
507	0.5479167
508	0.5548836
509	0.5611697
510	0.5666676
511	0.571253
512	0.574781
513	0.5770833
514	0.5779647
515	0.5771996
516	0.5745365
517	0.5695386
518	0.5618032
519	0.5511381
520	0.5371127
521	0.5192695
522	0.4971758
523	0.4704516
524	0.4388528
525	0.4023801
526	0.3614071
527	0.3168242
528	0.2701015
529	0.2236645
530	0.1804954
531	0.1435593
532	0.1155141
533	0.0982307
534	0.0924748
535	0.0978595
536	0.113053
537	0.1361593
538	0.165091
539	0.1978707
540	0.2306894
541	0.2636128
542	0.2959487
543	0.3271659
544	0.3569492
545	0.3851395
546	0.4116843
547	0.4366017
548	0.4599533
549	0.4818257
550	0.5023182
551	0.5215342
552	0.5371235
553	0.5516064
554	0.5652046
555	0.5780001
556	0.5900664
557	0.6014706
558	0.6122721
559	0.6225246
560	0.6322761
561	0.6415696
562	0.6504438
563	0.6589334
564	0.6662308
565	0.6721632
566	0.6778908
567	0.6834294
568	0.6887934
569	0.6939957
570	0.6990482
571	0.7039614
572	0.7087452
573	0.7134084
574	0.7179592
575	0.7224049
576	0.7267523
577	0.7307285
578	0.7340362
579	0.7372787
580	0.74046
581	0.7435873
582	0.7466604
583	0.7496824
584	0.7526562
585	0.7555844
586	0.7584665
587	0.761308
588	0.7641109
589	0.7668773
590	0.769609
591	0.7720862
592	0.774376
593	0.776633
594	0.7788588
595	0.7810547
596	0.783222
597	0.785362
598	0.7874757
599	0.7895641
600	0.7916283
601	0.7936711
602	0.7956911
603	0.7976891
604	0.7996659
605	0.8015503
606	0.8031085
607	0.8046489
608	0.8061721
609	0.8076785
610	0.8091685
611	0.810644
612	0.8121035
613	0.8135475
614	0.814976
615	0.8163894
616	0.8177865
617	0.8191687
618	0.8205361
619	0.8218888
620	0.8232001
621	0.8241431
622	0.825074
623	0.8259926
624	0.8268985
625	0.8277914
626	0.8286716
627	0.8295378
628	0.8303895
629	0.8312261
630	0.8320469
631	0.8328513
632	0.8336386
633	0.8344078
634	0.8351583
635	0.8358889
636	0.8366396
637	0.8375582
638	0.8384562
639	0.839333
640	0.8401876
641	0.8410196
642	0.8418276
643	0.8426105
644	0.8433672
645	0.8440965
646	0.8447969
647	0.845467
648	0.8461053
649	0.84671
650	0.8472791
651	0.8478102
652	0.8483012
653	0.8492046
654	0.8506236
655	0.8520023
656	0.8533393
657	0.854633
658	0.8558818
659	0.8570836
660	0.8582361
661	0.8593376
662	0.8603845
663	0.8613732
664	0.8623
665	0.8631606
666	0.8639488
667	0.8646601
668	0.865288
669	0.8658254
670	0.8662639
671	0.866695
672	0.8670353
673	0.8672497
674	0.8673241
675	0.867242
676	0.8669845
677	0.8665289
678	0.865849
679	0.8649135
680	0.8636851
681	0.8621227
682	0.86017
683	0.8577634
684	0.854825
685	0.8512602
686	0.8469488
687	0.8417509
688	0.8354886
689	0.8278363
690	0.8181888
691	0.8066567
692	0.792825
693	0.7761747
694	0.7560579
695	0.7316707
696	0.7020284
697	0.6659568
698	0.6221108
699	0.5690968
700	0.5057392
701	0.4316305
702	0.3480591
703	0.2592516
704	0.1734037
705	0.1023098
706	0.0583786
707	0.0496097
708	0.0757917
709	0.1283947
710	0.1956679
711	0.2681584
712	0.3389873
713	0.4043208
714	0.4625565
715	0.5134578
716	0.5574918
717	0.5954187
718	0.6280665
719	0.6562211
720	0.6805809
721	0.7017472
722	0.7202239
723	0.7364323
724	0.7507216
725	0.7633815
726	0.7746521
727	0.7847328
728	0.7937896
729	0.8019623
730	0.8090731
731	0.8154101
732	0.8211984
733	0.8265037
734	0.8313825
735	0.835883
736	0.8400472
737	0.8439109
738	0.8475057
739	0.8508588
740	0.8539942
741	0.8569329
742	0.8596933
743	0.8622919
744	0.864743
745	0.8670596
746	0.8692531
747	0.8713337
748	0.8733107
749	0.8751923
750	0.8769858
751	0.8786979
752	0.880297
753	0.8818006
754	0.8832425
755	0.8846271
756	0.8859581
757	0.8872392
758	0.8884736
759	0.8896642
760	0.8908139
761	0.8919237
762	0.8929973
763	0.8940369
764	0.8950443
765	0.8960215
766	0.8969701
767	0.8978916
768	0.8987876
769	0.8996593
770	0.900508
771	0.9013362
772	0.9021436
773	0.9029313
774	0.9037002
775	0.9044537
776	0.9052147
777	0.905959
778	0.9066873
779	0.9074004
780	0.9080989
781	0.9087833
782	0.9094544
783	0.9101126
784	0.9107584
785	0.9113924
786	0.912015
787	0.9126265
788	0.9132276
789	0.9138184
790	0.9143994
791	0.914971
792	0.9155334
793	0.9160871
794	0.9166322
795	0.9171691
796	0.917698
797	0.9182193
798	0.918733
799	0.9192396
800	0.9197333
801	0.9201679
802	0.9205968
803	0.9210204
804	0.9214386
805	0.9218517
806	0.9222598
807	0.9226631
808	0.9230617
809	0.9234557
810	0.9238452
811	0.9242294
812	0.9246093
813	0.9249851
814	0.9253569
815	0.9257248
816	0.926089
817	0.9264494
818	0.9268062
819	0.9271596
820	0.9275094
821	0.927857
822	0.9282013
823	0.9285424
824	0.9288804
825	0.9292152
826	0.9295471
827	0.9298405
828	0.9300847
829	0.9303271
830	0.9305678
831	0.9308058
832	0.9310421
833	0.9312768
834	0.9315099
835	0.9317415
836	0.9319716
837	0.9322003
838	0.9324275
839	0.9326533
840	0.9328777
841	0.9331018
842	0.9333246
843	0.9335461
844	0.9337663
845	0.9339853
846	0.934203
847	0.9344196
848	0.934635
849	0.9348493
850	0.9350624
851	0.9352744
852	0.9354854
853	0.9356953
854	0.9359041
855	0.936112
856	0.9362979
857	0.9364815
858	0.9366644
859	0.9368465
860	0.937028
861	0.9372078
862	0.9373869
863	0.9375654
864	0.9377432
865	0.9379204
866	0.938097
867	0.9382729
868	0.9384483
869	0.9386231
870	0.9387974
871	0.938972
872	0.939146
873	0.9393196
874	0.9394926
875	0.9396651
876	0.9398371
877	0.9400086
878	0.9401797
879	0.9403502
880	0.9405203
881	0.9406891
882	0.9408574
883	0.9410253
884	0.9411929
885	0.9413599
886	0.9415359
887	0.9417258
888	0.941915
889	0.9421037
890	0.9422917
891	0.9424792
892	0.9426661
893	0.9428525
894	0.9430383
895	0.9432236
896	0.9434084
897	0.9435927
898	0.9437765
899	0.9439597
900	0.9441426
901	0.9443257
902	0.9445085
903	0.9446908
904	0.9448726
905	0.945054
906	0.945235
907	0.9454156
908	0.9455958
909	0.9457757
910	0.9459551
911	0.9461334
912	0.9463113
913	0.9464889
914	0.9466662
915	0.9468431
916	0.9470198
917	0.9471961
918	0.9473722
919	0.9475409
920	0.9477046
921	0.9478689
922	0.9480331
923	0.9481972
924	0.9483612
925	0.9485251
926	0.948689
927	0.9488528
928	0.9490165
929	0.9491802
930	0.9493439
931	0.9495068
932	0.9496697
933	0.9498326
934	0.9499955
935	0.9501585
936	0.9503215
937	0.9504846
938	0.9506478
939	0.9508111
940	0.9509744
941	0.9511379
942	0.9513015
943	0.9514653
944	0.9516292
945	0.9517933
946	0.9519576
947	0.9521221
948	0.9522868
949	0.9524518
950	0.9526169
951	0.9527831
952	0.9529495
953	0.9531162
954	0.9532753
955	0.9534136
956	0.9535524
957	0.9536919
958	0.9538321
959	0.953973
960	0.9541145
961	0.9542561
962	0.9543985
963	0.9545416
964	0.9546854
965	0.9548301
966	0.9549755
967	0.9551218
968	0.9552689
969	0.9554168
970	0.9555656
971	0.9557152
972	0.9558657
973	0.9560172
974	0.9561695
975	0.9563227
976	0.9564768
977	0.9566319
978	0.9567879
979	0.9569448
980	0.9571027
981	0.9572621
982	0.9574224
983	0.9575836
984	0.9577457
985	0.9579087
986	0.9580725
987	0.9582372
988	0.9584026
989	0.9585688
990	0.9587356
991	0.9589024
992	0.95907
993	0.9592394
994	0.9594091
995	0.9595791
996	0.9597491
997	0.959919
998	0.9600887
999	0.9602579
1000	0.9604262
