Wavelength (nm)	Transmittance
210	0.1613288
211	0.2517382
212	0.1449665
213	0.258593
214	0.1495722
215	0.2323284
216	0.1845996
217	0.1778476
218	0.2398222
219	0.1416714
220	0.2582257
221	0.1522527
222	0.2043351
223	0.2170716
224	0.1432965
225	0.2601895
226	0.1485169
227	0.195636
228	0.2275032
229	0.1346675
230	0.2495018
231	0.1686217
232	0.1552082
233	0.2572863
234	0.1378858
235	0.1900155
236	0.232785
237	0.1279918
238	0.2194142
239	0.2035743
240	0.1269062
241	0.2356987
242	0.1843224
243	0.1273125
244	0.2408951
245	0.1765341
246	0.1254531
247	0.2377858
248	0.179025
249	0.1204967
250	0.224325
251	0.191569
252	0.1149453
253	0.1977813
254	0.2151654
255	0.1142999
256	0.1613977
257	0.2401962
258	0.1249093
259	0.1272841
260	0.2398169
261	0.1560235
262	0.1077321
263	0.1924107
264	0.2108719
265	0.1094546
266	0.1305776
267	0.2359181
268	0.1451981
269	0.1010928
270	0.1731417
271	0.2176936
272	0.1119023
273	0.1085263
274	0.208503
275	0.1814335
276	0.0993897
277	0.1198843
278	0.2232789
279	0.1573419
280	0.0949134
281	0.1269293
282	0.225789
283	0.1481024
284	0.0930616
285	0.1256661
286	0.2236666
287	0.1516332
288	0.0928308
289	0.1165646
290	0.215375
291	0.1693499
292	0.0962889
293	0.1036733
294	0.1914001
295	0.2008001
296	0.1085603
297	0.0935521
298	0.1509675
299	0.2271432
300	0.1395608
301	0.0927855
302	0.1133221
303	0.2054452
304	0.1983504
305	0.1110534
306	0.0948385
307	0.1421057
308	0.2317401
309	0.1684321
310	0.1025977
311	0.102259
312	0.1659555
313	0.237962
314	0.1565162
315	0.1023898
316	0.1081602
317	0.1764794
318	0.2432791
319	0.1615159
320	0.1072714
321	0.1107092
322	0.1730942
323	0.2523091
324	0.1841101
325	0.1183919
326	0.1112435
327	0.1572905
328	0.2496278
329	0.2246423
330	0.1405314
331	0.1139729
332	0.1365769
333	0.2169214
334	0.2679547
335	0.1859084
336	0.1282782
337	0.1233843
338	0.167632
339	0.2588115
340	0.2589165
341	0.1710347
342	0.1291791
343	0.1347567
344	0.1898209
345	0.2782896
346	0.2580616
347	0.1724605
348	0.134187
349	0.1407598
350	0.1944397
351	0.2822584
352	0.2730306
353	0.1871833
354	0.1421013
355	0.1410566
356	0.1828595
357	0.26823
358	0.2986196
359	0.2198367
360	0.1578325
361	0.1411104
362	0.1630951
363	0.2301007
364	0.3064361
365	0.2740771
366	0.1921789
367	0.1499661
368	0.1470269
369	0.181528
370	0.257848
371	0.3145007
372	0.259693
373	0.1842462
374	0.1493155
375	0.150118
376	0.1864548
