Wavelength (nm)	Transmittance
200	0.1736315
201	0.1365114
202	0.1753289
203	0.1408893
204	0.1740449
205	0.1485571
206	0.168685
207	0.1598593
208	0.1562979
209	0.1721125
210	0.1409475
211	0.1846008
212	0.1303861
213	0.1888579
214	0.1316845
215	0.1761032
216	0.1496127
217	0.1484756
218	0.1774157
219	0.1272212
220	0.1876098
221	0.1320271
222	0.1609911
223	0.1653556
224	0.1274293
225	0.1876994
226	0.1292684
227	0.1556481
228	0.1700982
229	0.1209377
230	0.1814876
231	0.1395506
232	0.1326027
233	0.1844702
234	0.1216579
235	0.1506069
236	0.1715146
237	0.114831
238	0.1644199
239	0.1562991
240	0.1133556
241	0.171612
242	0.1458836
243	0.1128244
244	0.1733425
245	0.1412573
246	0.1108576
247	0.1708462
248	0.1419796
249	0.1067403
250	0.162735
251	0.1475567
252	0.1021508
253	0.1477888
254	0.1584734
255	0.1011497
256	0.1275365
257	0.1694567
258	0.1076746
259	0.1071988
260	0.1671173
261	0.125541
262	0.0944167
263	0.1416706
264	0.1528845
265	0.095262
266	0.1069802
267	0.1626277
268	0.1165635
269	0.0879703
270	0.1293089
271	0.1530066
272	0.0948903
273	0.0917265
274	0.1464566
275	0.1338827
276	0.0856865
277	0.0980982
278	0.1530711
279	0.1202969
280	0.0819852
281	0.1017717
282	0.1536634
283	0.1144631
284	0.0802055
285	0.1006155
286	0.1520014
287	0.1157261
288	0.0796805
289	0.0949027
290	0.1476363
291	0.1248281
292	0.0818509
293	0.0866754
294	0.1358811
295	0.1405936
296	0.0898704
297	0.0800016
298	0.1150902
299	0.1533648
300	0.108643
301	0.0796114
302	0.0933381
303	0.1436855
304	0.1399824
305	0.0919475
306	0.0815367
307	0.1114576
308	0.1570501
309	0.1257244
310	0.0871935
311	0.0873813
312	0.1258409
313	0.1610721
314	0.1204053
315	0.0879353
316	0.0923082
317	0.1329304
318	0.1651378
319	0.1247661
320	0.092489
321	0.0954184
322	0.1332863
323	0.1719527
324	0.1392454
325	0.101601
326	0.0974753
327	0.1268283
328	0.1737908
329	0.1622426
330	0.1176108
331	0.1009941
332	0.1163594
333	0.1612475
334	0.1851337
335	0.1460442
336	0.1124299
337	0.1096384
338	0.1376024
339	0.1841689
340	0.1848578
341	0.1410554
342	0.1155018
343	0.1194981
344	0.1527403
345	0.1961461
346	0.1880752
347	0.1447434
348	0.1210177
349	0.1254287
350	0.1575106
351	0.2005927
352	0.197848
353	0.1557456
354	0.1282667
355	0.1274052
356	0.1529912
357	0.1965839
358	0.2114557
359	0.1759368
360	0.140511
361	0.1292172
362	0.1429699
363	0.1801166
364	0.2161711
365	0.2041945
366	0.1632161
367	0.1367825
368	0.1340547
369	0.1548046
370	0.1946263
371	0.2214335
372	0.1995367
373	0.1599072
374	0.1371209
375	0.1365829
376	0.1580895
377	0.1973031
378	0.2243523
379	0.2053166
380	0.1664655
381	0.1417886
382	0.1380249
383	0.1549721
384	0.1905821
385	0.2248812
386	0.2204742
387	0.1842167
388	0.1530318
389	0.140813
390	0.1480786
391	0.1745575
392	0.2129828
393	0.2336965
394	0.2130174
395	0.1762536
396	0.1514478
397	0.144954
398	0.1566639
399	0.1859389
400	0.2230877
401	0.2388152
402	0.2162615
403	0.1809388
404	0.157096
405	0.150348
406	0.1606674
407	0.1876442
408	0.2241531
409	0.2458842
410	0.2316941
411	0.1978563
412	0.1701688
413	0.1578252
414	0.161607
415	0.181336
416	0.2142969
417	0.246255
418	0.2520675
419	0.2272171
420	0.1947948
421	0.1727542
422	0.1656006
423	0.1734693
424	0.1959961
425	0.2291994
426	0.2580038
427	0.2608435
428	0.2366465
429	0.2060102
430	0.1844372
431	0.1765071
432	0.1826233
433	0.2024873
434	0.2333124
435	0.2641371
436	0.2762744
437	0.2612082
438	0.2325128
439	0.2073309
440	0.1934975
441	0.1926964
442	0.2049611
443	0.2294499
444	0.2616062
445	0.2884065
446	0.2944091
447	0.2773605
448	0.2504638
449	0.227608
450	0.2153824
451	0.215351
452	0.2277682
453	0.2515219
454	0.2827114
455	0.3113537
456	0.3236543
457	0.3137908
458	0.2902972
459	0.2662713
460	0.2499611
461	0.2444424
462	0.2504185
463	0.2675962
464	0.2941246
465	0.3245881
466	0.3488316
467	0.3562817
468	0.344876
469	0.3230724
470	0.3011231
471	0.2859038
472	0.2804113
473	0.2855303
474	0.3010731
475	0.3255356
476	0.3548362
477	0.3813839
478	0.3965999
479	0.3952054
480	0.3801405
481	0.3595367
482	0.341158
483	0.3297856
484	0.3276192
485	0.3353729
486	0.3527968
487	0.3777359
488	0.4071333
489	0.4348792
490	0.4530862
491	0.4561799
492	0.4446924
493	0.424714
494	0.4037861
495	0.3876537
496	0.3794516
497	0.3786676
