Wavelength (nm)	Transmittance
200	0.0040135
201	0.0073065
202	0.0045123
203	0.0030524
204	0.0045103
205	0.0087803
206	0.0061113
207	0.003656
208	0.0043878
209	0.0088992
210	0.0082688
211	0.0041955
212	0.0038097
213	0.0068592
214	0.0109553
215	0.0060012
216	0.0037902
217	0.0046855
218	0.0098118
219	0.0105933
220	0.0050805
221	0.0037865
222	0.005371
223	0.0114427
224	0.0103407
225	0.0049301
226	0.003805
227	0.0053299
228	0.011366
229	0.0111869
230	0.0051714
231	0.0036223
232	0.0044496
233	0.0090844
234	0.0129733
235	0.006423
236	0.0036427
237	0.0034843
238	0.0055942
239	0.0117082
240	0.0097529
241	0.0044449
242	0.0030355
243	0.0033572
244	0.0059781
245	0.0115824
246	0.0079767
247	0.0037075
248	0.0026147
249	0.0028464
250	0.0048362
251	0.0097487
252	0.0076869
253	0.0034358
254	0.0021995
255	0.0021299
256	0.0031004
257	0.0064812
258	0.0086024
259	0.0042576
260	0.0022382
261	0.0017458
262	0.0019693
263	0.0032389
264	0.0067232
265	0.00685
266	0.0032129
267	0.0018231
268	0.0014823
269	0.0016778
270	0.0026777
271	0.0054863
272	0.0064389
273	0.0032576
274	0.0017718
275	0.0013373
276	0.0013643
277	0.0018771
278	0.0034981
279	0.0061747
280	0.0046026
281	0.002268
282	0.0014197
283	0.0011908
284	0.0013024
285	0.0018686
286	0.0034992
287	0.0059297
288	0.0044042
289	0.0022488
290	0.0014172
291	0.0011594
292	0.0012032
293	0.0015846
294	0.0026764
295	0.0050604
296	0.0056148
297	0.0031724
298	0.0018083
299	0.0013044
300	0.0011786
301	0.0013096
302	0.0017982
303	0.0030721
304	0.0055774
305	0.0060015
306	0.003538
307	0.0020795
308	0.0014986
309	0.0013176
310	0.0013909
311	0.0017644
312	0.0027112
313	0.0048431
314	0.0072018
315	0.0057261
316	0.0033376
317	0.0021656
318	0.0016869
319	0.0015648
320	0.0016997
321	0.0021637
322	0.0032488
323	0.005572
324	0.0085394
325	0.0077823
326	0.0048847
327	0.0031495
328	0.0023592
329	0.0020558
330	0.0020497
331	0.0023477
332	0.0030826
333	0.004655
334	0.0077363
335	0.0110785
336	0.0095357
337	0.0061037
338	0.0040699
339	0.0030863
340	0.0026635
341	0.00259
342	0.0028274
343	0.0034686
344	0.0047991
345	0.0073934
346	0.0115539
347	0.0137515
348	0.0105527
349	0.0069265
350	0.0048301
351	0.0037647
352	0.0032795
353	0.0031705
354	0.0033884
355	0.0040019
356	0.0052427
357	0.007597
358	0.0116531
359	0.015927
360	0.0150566
361	0.0105953
362	0.00719
363	0.0052743
364	0.0042693
365	0.0037927
366	0.0036706
367	0.0038754
368	0.0044669
369	0.0056379
370	0.0077943
371	0.0115391
372	0.0165238
373	0.0182968
374	0.0143518
375	0.0097982
376	0.0069035
377	0.0052911
378	0.0044236
379	0.0040155
380	0.0039396
381	0.0041692
382	0.0047663
383	0.0059024
384	0.0079258
385	0.0114242
386	0.016699
387	0.0210847
388	0.0193825
389	0.0140995
390	0.0098564
391	0.0072715
392	0.0057876
393	0.0049676
394	0.00458
395	0.0045201
396	0.0047625
397	0.0053591
398	0.0064548
399	0.0083415
400	0.0115354
401	0.0166724
402	0.0230244
403	0.0257473
404	0.0216623
405	0.0157101
406	0.0113388
407	0.0086413
408	0.007044
409	0.0061282
410	0.0056674
411	0.0055527
412	0.0057533
413	0.0063028
414	0.0073178
415	0.0090171
416	0.0117971
417	0.0162817
418	0.0229878
419	0.0304542
420	0.0330649
421	0.0281999
422	0.0211433
423	0.0156683
424	0.0120987
425	0.0098752
426	0.0085247
427	0.0077602
428	0.0074334
429	0.0074767
430	0.00788
431	0.008703
432	0.0100833
433	0.0122732
434	0.0157009
435	0.0210126
436	0.0288818
437	0.0385592
438	0.0453486
439	0.0435251
440	0.0354418
441	0.0271172
442	0.0209304
443	0.0167996
444	0.0141736
445	0.0125167
446	0.0115451
447	0.0110969
448	0.0110952
449	0.0115282
450	0.0124439
451	0.0139624
452	0.0163083
453	0.0198276
454	0.0250836
455	0.0328671
456	0.0439167
457	0.0575932
458	0.0692353
459	0.0713028
460	0.0628626
461	0.0507138
462	0.040081
463	0.0322457
464	0.0268164
465	0.0231504
466	0.0207436
467	0.019262
468	0.0185007
469	0.0183294
470	0.0187416
471	0.0197699
472	0.0215185
473	0.0241807
474	0.0280757
475	0.0337051
476	0.0418233
477	0.0534457
478	0.0695254
