Wavelength (nm)	Transmittance
200	0.215724
201	0.2140162
202	0.2123285
203	0.2106623
204	0.2089849
205	0.2073115
206	0.2056082
207	0.2038933
208	0.2021448
209	0.2003076
210	0.198426
211	0.1966262
212	0.1948695
213	0.1933329
214	0.1919767
215	0.1911804
216	0.1903444
217	0.1894395
218	0.1880464
219	0.1861387
220	0.1842078
221	0.1822652
222	0.1807612
223	0.1795462
224	0.1783609
225	0.1771984
226	0.175803
227	0.174241
228	0.1726571
229	0.1710523
230	0.1695331
231	0.1681295
232	0.1667489
233	0.1654065
234	0.1640802
235	0.162794
236	0.1615214
237	0.1602959
238	0.1590895
239	0.1579399
240	0.1568349
241	0.155753
242	0.1547191
243	0.1536944
244	0.1527621
245	0.1518475
246	0.1509147
247	0.1499621
248	0.1490102
249	0.1478301
250	0.1466625
251	0.145524
252	0.1444128
253	0.143313
254	0.1426128
255	0.141929
256	0.1412331
257	0.1405127
258	0.1397973
259	0.1387634
260	0.1376028
261	0.1364552
262	0.135297
263	0.1341515
264	0.1330829
265	0.1322793
266	0.1314824
267	0.1307077
268	0.1299655
269	0.1292292
270	0.1284191
271	0.127527
272	0.1266435
273	0.1257602
274	0.1248775
275	0.1240033
276	0.1231818
277	0.1224152
278	0.1216552
279	0.1208935
280	0.120125
281	0.1193633
282	0.1185806
283	0.1177074
284	0.1168431
285	0.1159876
286	0.1151801
287	0.1143813
288	0.1135902
289	0.1129439
290	0.1123729
291	0.111806
292	0.1112514
293	0.1107232
294	0.1101985
295	0.1096773
296	0.1090886
297	0.1084867
298	0.1078895
299	0.1072857
300	0.1066512
301	0.106022
302	0.1053981
303	0.1047473
304	0.1040809
305	0.1034206
306	0.1027662
307	0.1021107
308	0.10146
309	0.1008152
310	0.1001789
311	0.0996097
312	0.0990453
313	0.0984854
314	0.0979298
315	0.0973759
316	0.0968266
317	0.0962817
318	0.0957367
319	0.0951506
320	0.0945696
321	0.0939937
322	0.0934228
323	0.092861
324	0.0923042
325	0.0917523
326	0.091205
327	0.0906898
328	0.0901894
329	0.0896929
330	0.0892004
331	0.0887222
332	0.088265
333	0.0878112
334	0.0873608
335	0.0869138
336	0.0865119
337	0.0861173
338	0.0857253
339	0.085336
340	0.0849431
341	0.0845395
342	0.0841387
343	0.0837406
344	0.0833454
345	0.0828975
346	0.0824166
347	0.0819397
348	0.0814668
349	0.0809978
350	0.0805259
