Wavelength (nm)	Transmittance
200	0.0
201	0.0
202	0.0
203	0.0
204	0.0
205	0.0
206	0.0
207	0.0
208	0.0
209	0.0
210	0.0
211	0.0
212	0.0
213	0.0
214	0.0
215	0.0
216	0.0
217	0.0
218	0.0
219	0.0
220	0.0
221	0.0
222	0.0
223	1e-07
224	1e-07
225	1e-07
226	1e-07
227	1e-07
228	1e-07
229	1e-07
230	1e-07
231	1e-07
232	1e-07
233	1e-07
234	1e-07
235	1e-07
236	1e-07
237	1e-07
238	1e-07
239	1e-07
240	1e-07
241	1e-07
242	1e-07
243	1e-07
244	1e-07
245	1e-07
246	1e-07
247	1e-07
248	1e-07
249	1e-07
250	1e-07
251	1e-07
252	1e-07
253	1e-07
254	1e-07
255	1e-07
256	1e-07
257	1e-07
258	1e-07
259	1e-07
260	1e-07
261	1e-07
262	1e-07
263	1e-07
264	1e-07
265	1e-07
266	1e-07
267	1e-07
268	1e-07
269	1e-07
270	1e-07
271	1e-07
272	1e-07
273	1e-07
274	1e-07
275	1e-07
276	0.0
277	0.0
278	0.0
279	0.0
280	0.0
281	0.0
282	0.0
283	0.0
284	0.0
285	0.0
286	0.0
287	1e-07
288	1e-07
289	1e-07
290	1e-07
291	1e-07
292	1e-07
293	1e-07
294	1e-07
295	1e-07
296	1e-07
297	0.0
298	0.0
299	0.0
300	0.0
301	0.0
302	0.0
303	0.0
304	0.0
305	0.0
306	0.0
307	0.0
308	0.0
309	0.0
310	0.0
311	0.0
312	0.0
313	0.0
314	0.0
315	0.0
316	0.0
317	0.0
318	0.0
319	0.0
320	0.0
321	0.0
322	0.0
323	0.0
324	0.0
325	0.0
326	0.0
327	0.0
328	0.0
329	0.0
330	0.0
331	0.0
332	0.0
333	0.0
334	0.0
335	0.0
336	0.0
337	0.0
338	0.0
339	0.0
340	0.0
341	0.0
342	0.0
343	0.0
344	0.0
345	0.0
346	0.0
347	0.0
348	0.0
349	0.0
350	0.0
351	0.0
352	0.0
353	0.0
354	0.0
355	0.0
356	0.0
357	0.0
358	0.0
359	0.0
360	0.0
361	0.0
362	0.0
363	0.0
364	0.0
365	0.0
366	0.0
367	0.0
368	0.0
369	0.0
370	0.0
371	0.0
372	0.0
373	0.0
374	0.0
375	0.0
376	0.0
377	0.0
378	0.0
379	0.0
380	0.0
381	0.0
382	0.0
383	0.0
384	0.0
385	0.0
386	0.0
387	0.0
388	0.0
389	0.0
390	0.0
391	0.0
392	0.0
393	0.0
394	0.0
395	0.0
396	0.0
397	0.0
398	0.0
399	0.0
400	0.0
401	0.0
402	0.0
403	0.0
404	0.0
405	0.0
406	0.0
407	0.0
408	0.0
