Wavelength (nm)	Transmittance
200	0.8825804
201	0.8878607
202	0.8932647
203	0.898766
204	0.9043374
205	0.9099521
206	0.9155831
207	0.9212041
208	0.9267888
209	0.9323115
210	0.937747
211	0.9439971
212	0.9500393
213	0.9558406
214	0.9613705
215	0.9666009
216	0.9714402
217	0.9759426
218	0.9800893
219	0.9838643
220	0.9872547
221	0.9902202
222	0.9927938
223	0.994972
224	0.9967539
225	0.9981414
226	0.9991327
227	0.9997472
228	0.9999938
229	0.9998836
230	0.999429
231	0.9986543
232	0.9975714
233	0.9961964
234	0.9945462
235	0.9926385
236	0.9905088
237	0.9881612
238	0.985614
239	0.9828853
240	0.9799931
241	0.9769781
242	0.9738363
243	0.9705843
244	0.9672382
245	0.9638136
246	0.9603336
247	0.9568044
248	0.9532394
249	0.9496516
250	0.946053
251	0.9424777
252	0.9389125
253	0.9353672
254	0.9318509
255	0.928372
256	0.9249508
257	0.9215805
258	0.9182677
259	0.9150183
260	0.9118376
261	0.9087349
262	0.9057093
263	0.9027648
264	0.8999045
265	0.8971316
266	0.8944538
267	0.8918666
268	0.8893719
269	0.8869713
270	0.8846661
271	0.8824578
272	0.880346
273	0.878331
274	0.8764134
275	0.8745932
276	0.8728674
277	0.8712372
278	0.8697024
279	0.8682624
280	0.8669166
281	0.8656643
282	0.8645047
283	0.863437
284	0.86246
285	0.8615728
286	0.8607638
287	0.8600408
288	0.8594025
289	0.8588478
290	0.8583752
291	0.8579834
292	0.8576709
293	0.8574365
294	0.8572784
295	0.8571954
296	0.8571692
297	0.8572139
298	0.857328
299	0.8575098
300	0.8577579
301	0.8580707
302	0.8584468
303	0.8588844
304	0.8593821
305	0.8599383
306	0.8605408
307	0.8611984
308	0.8619093
309	0.8626722
310	0.8634854
311	0.864336
312	0.8652336
313	0.8661767
314	0.8671639
315	0.8681935
316	0.8692642
317	0.8703745
318	0.871523
319	0.8727081
320	0.8739285
321	0.8751699
322	0.8764436
323	0.8777481
324	0.8790821
325	0.8804442
326	0.88182
327	0.8832211
328	0.8846461
329	0.8860939
330	0.8875632
331	0.8890526
332	0.8905609
333	0.8920868
334	0.8936293
335	0.8951869
336	0.8967454
337	0.8983167
338	0.8998998
339	0.9014934
340	0.9030966
341	0.9047082
342	0.9063271
343	0.9079523
344	0.9095826
345	0.9112172
346	0.9128549
347	0.9144948
348	0.9161358
349	0.9177771
350	0.9194176
351	0.921044
352	0.922668
353	0.9242887
354	0.9259054
355	0.927517
356	0.9291229
357	0.9307223
358	0.9323143
359	0.9338981
360	0.9354732
361	0.9370386
362	0.9385938
363	0.9401379
364	0.9416704
365	0.9431907
366	0.9446872
367	0.9461704
368	0.9476397
369	0.9490947
370	0.9505348
371	0.9519594
372	0.9533679
373	0.9547601
374	0.9561353
375	0.9574931
376	0.9588237
377	0.9601365
378	0.9614309
379	0.9627067
380	0.9639634
381	0.9652007
382	0.9664184
383	0.9676161
384	0.9687935
385	0.9699504
386	0.9710864
387	0.9722015
388	0.9732952
389	0.9743675
390	0.9754182
391	0.9764471
392	0.9774539
393	0.9784387
394	0.9794012
395	0.9803413
396	0.981259
397	0.9821542
398	0.9830267
399	0.9838766
400	0.9847038
401	0.985503
402	0.9862798
403	0.9870341
404	0.9877661
405	0.9884756
406	0.9891627
407	0.9898275
408	0.99047
409	0.9910902
410	0.9916883
411	0.9922643
412	0.9928182
413	0.9933503
414	0.9938606
415	0.9943492
416	0.9948162
417	0.9952619
418	0.9956862
419	0.9960894
420	0.9964716
421	0.996833
422	0.9971737
423	0.997494
424	0.9977939
425	0.9980738
426	0.9983321
427	0.9985711
428	0.9987907
429	0.9989913
430	0.999173
431	0.999336
432	0.9994806
433	0.9996069
434	0.9997152
435	0.9998058
436	0.9998791
437	0.999935
438	0.9999735
439	0.9999949
440	0.9999996
441	0.9999879
442	0.9999602
443	0.9999169
444	0.999858
445	0.9997839
446	0.9996942
447	0.9995896
448	0.9994703
449	0.9993366
450	0.9991887
451	0.9990269
452	0.9988513
453	0.9986623
454	0.9984601
455	0.998245
456	0.9980172
457	0.9977769
458	0.9975244
459	0.99726
460	0.9969838
461	0.9966977
462	0.9964005
463	0.9960924
464	0.9957736
465	0.9954444
466	0.9951032
467	0.9947519
468	0.9943909
469	0.9940202
470	0.9936402
471	0.9932531
472	0.9928571
473	0.9924524
474	0.9920394
475	0.9916182
476	0.9911891
477	0.9907521
478	0.9903077
479	0.9898558
480	0.9893969
481	0.9889309
482	0.9884583
483	0.9879791
484	0.9874936
485	0.9870019
486	0.9865042
487	0.9860008
488	0.9854918
489	0.9849774
490	0.9844578
491	0.9839331
492	0.9834035
493	0.9828693
494	0.9823306
495	0.9817875
496	0.9812402
497	0.9806889
498	0.9801337
499	0.9795748
500	0.9790124
501	0.9784488
502	0.977882
503	0.9773121
504	0.9767392
505	0.9761634
506	0.9755828
507	0.9749997
508	0.9744141
509	0.9738264
510	0.9732365
511	0.9726446
512	0.9720509
513	0.9714554
514	0.9708583
515	0.9702598
516	0.9696618
517	0.9690625
518	0.9684621
519	0.9678605
520	0.967258
521	0.9666528
522	0.9660469
523	0.9654403
524	0.9648333
525	0.9642259
526	0.9636198
527	0.9630135
528	0.9624069
529	0.9618003
530	0.9611937
531	0.9605872
532	0.9599808
533	0.9593746
534	0.9587688
535	0.9581634
536	0.9575572
537	0.9569515
538	0.9563466
539	0.9557425
540	0.9551392
541	0.954538
542	0.9539377
543	0.9533384
544	0.9527401
545	0.9521429
546	0.9515469
547	0.9509521
548	0.9503585
549	0.9497664
550	0.9491755
551	0.9485862
552	0.9479983
553	0.947412
554	0.9468273
555	0.9462442
556	0.9456628
557	0.9450832
558	0.9445053
559	0.9439293
560	0.9433551
561	0.9427828
562	0.9422125
563	0.9416441
564	0.9410778
565	0.9405135
566	0.9399513
567	0.9393913
568	0.9388334
569	0.9382776
570	0.9377242
571	0.9371729
572	0.936624
573	0.9360773
574	0.935533
575	0.934991
576	0.9344515
577	0.9339143
578	0.9333796
579	0.9328473
580	0.9323175
581	0.9317895
582	0.931264
583	0.9307409
584	0.9302203
585	0.9297022
586	0.9291874
587	0.9286753
588	0.9281657
589	0.9276588
590	0.9271546
591	0.926653
592	0.9261541
593	0.9256579
594	0.9251644
595	0.9246735
596	0.9241855
597	0.9237001
598	0.9232175
599	0.9227377
600	0.9222606
601	0.9217847
602	0.9213114
603	0.9208409
604	0.9203731
605	0.9199079
606	0.9194473
607	0.9189895
608	0.9185345
609	0.9180822
610	0.9176328
611	0.9171842
612	0.9167383
613	0.9162952
614	0.9158547
615	0.915417
616	0.9149843
617	0.9145545
618	0.9141274
619	0.9137032
620	0.9132818
621	0.9128632
622	0.9124474
623	0.9120345
624	0.9116244
625	0.9112171
626	0.9108099
627	0.9104054
628	0.9100037
629	0.9096047
630	0.9092084
631	0.9088148
632	0.9084239
633	0.9080357
634	0.9076503
635	0.9072675
636	0.9068905
637	0.9065163
638	0.9061449
639	0.9057762
640	0.9054103
641	0.9050438
642	0.90468
643	0.9043188
644	0.9039602
645	0.9036043
646	0.9032546
647	0.9029076
648	0.9025632
649	0.9022216
650	0.9018827
651	0.9015427
652	0.9012053
653	0.9008704
654	0.9005382
655	0.9002085
656	0.8998814
657	0.8995568
658	0.8992348
659	0.8989153
660	0.8985983
661	0.898288
662	0.8979803
663	0.8976751
664	0.8973725
665	0.8970724
666	0.8967707
667	0.8964713
668	0.8961744
669	0.89588
670	0.895588
671	0.8952985
672	0.8950113
673	0.8947266
674	0.8944442
675	0.8941643
676	0.8938867
677	0.8936115
678	0.8933387
679	0.8930682
680	0.8928001
681	0.8925391
682	0.8922805
683	0.8920243
684	0.8917704
685	0.8915189
686	0.8912648
687	0.8910129
688	0.8907633
689	0.8905159
690	0.8902708
691	0.8900279
692	0.8897873
693	0.8895488
694	0.8893125
695	0.8890784
696	0.8888465
697	0.8886168
698	0.8883893
699	0.8881638
700	0.8879405
701	0.8877194
702	0.8875003
703	0.8872834
704	0.8870685
705	0.8868558
706	0.8866451
707	0.8864364
708	0.8862299
709	0.8860253
710	0.8858228
711	0.8856224
712	0.8854239
713	0.8852274
714	0.885033
715	0.8848405
716	0.88465
717	0.8844614
718	0.8842748
719	0.8840901
720	0.8839074
721	0.8837296
722	0.8835537
723	0.8833798
724	0.8832077
725	0.8830376
726	0.8828694
727	0.882703
728	0.8825386
729	0.882376
730	0.8822152
731	0.8820532
732	0.8818929
733	0.8817344
734	0.8815777
735	0.8814228
736	0.8812697
737	0.8811183
738	0.8809687
739	0.8808208
740	0.8806746
741	0.8805302
742	0.8803874
743	0.8802464
744	0.880107
745	0.8799693
746	0.8798333
747	0.879699
748	0.8795663
749	0.8794352
750	0.8793058
751	0.8791779
752	0.8790517
753	0.8789271
754	0.8788041
755	0.8786827
756	0.8785628
757	0.8784446
758	0.8783278
759	0.8782126
760	0.878099
761	0.8779834
762	0.8778692
763	0.8777566
764	0.8776454
765	0.8775357
766	0.8774275
767	0.8773207
768	0.8772154
769	0.8771115
770	0.877009
771	0.8769116
772	0.8768156
773	0.876721
774	0.8766278
775	0.876536
776	0.8764456
777	0.8763566
778	0.876269
779	0.8761827
780	0.8760979
781	0.8760143
782	0.8759321
783	0.8758513
784	0.8757717
785	0.8756935
786	0.8756166
