Wavelength (nm)	Transmittance
200	0.074941
201	0.0776605
202	0.0765794
203	0.0726382
204	0.0676745
205	0.0632276
206	0.0601422
207	0.0583921
208	0.057823
209	0.0590194
210	0.0618942
211	0.0670219
212	0.0732252
213	0.0788827
214	0.0817945
215	0.0806942
216	0.0761091
217	0.0699832
218	0.0640585
219	0.0593972
220	0.0564988
221	0.0554277
222	0.056208
223	0.0587447
224	0.062812
225	0.0680539
226	0.0735122
227	0.0780033
228	0.0802005
229	0.079265
230	0.0755898
231	0.0704612
232	0.0650536
233	0.0602794
234	0.0566101
235	0.0541002
236	0.0529024
237	0.0529349
238	0.0541695
239	0.0565775
240	0.060023
241	0.0641643
242	0.0685293
243	0.072386
244	0.0748352
245	0.0752186
246	0.0733431
247	0.0696755
248	0.0650805
249	0.0601192
250	0.0556242
251	0.0519256
252	0.0491017
253	0.0471683
254	0.0462497
255	0.0461573
256	0.0468772
257	0.0484023
258	0.0506233
259	0.0535132
260	0.056853
261	0.0602961
262	0.0634595
263	0.0658001
264	0.0668506
265	0.0663268
266	0.0644152
267	0.0614959
268	0.0580543
269	0.0545016
270	0.0512193
271	0.048419
272	0.0461361
273	0.044438
274	0.0433268
275	0.0427679
276	0.0427455
277	0.0432408
278	0.0442424
279	0.0457513
280	0.0477524
281	0.0501681
282	0.0529303
283	0.0559523
284	0.058956
285	0.0616761
286	0.0638788
287	0.065267
288	0.0656778
289	0.0651017
290	0.0636561
291	0.0615567
292	0.0590872
293	0.0565286
294	0.054025
295	0.0517221
296	0.0498182
297	0.0482748
298	0.0470976
299	0.046315
300	0.0459648
301	0.0459947
302	0.0464047
303	0.0472211
304	0.0484353
305	0.0500287
306	0.0519888
307	0.0543534
308	0.0570566
309	0.0600414
310	0.0632321
311	0.0665456
312	0.0698135
313	0.0728662
314	0.0755321
315	0.0777186
316	0.0792092
317	0.0799309
318	0.0799029
319	0.079365
320	0.078255
321	0.0767355
322	0.0749554
323	0.0730988
324	0.0712513
325	0.0695098
326	0.0679579
327	0.0665834
328	0.0654559
329	0.0646192
330	0.0640879
331	0.0638619
332	0.0639405
333	0.0643444
334	0.0650772
335	0.0661426
336	0.0675437
337	0.0692804
338	0.0713528
339	0.073758
340	0.0764693
341	0.0794454
342	0.0827016
343	0.0861991
344	0.0898833
345	0.0935933
346	0.097262
347	0.100841
348	0.1042128
349	0.1072555
350	0.109781
351	0.1117316
352	0.1130688
353	0.113756
354	0.1137947
355	0.1131824
356	0.1120162
357	0.1104007
358	0.1084399
359	0.1062405
360	0.1038267
361	0.1013233
362	0.0988567
363	0.0964906
364	0.0942754
365	0.0921632
366	0.090117
367	0.0883116
368	0.086758
369	0.0854623
370	0.0844275
371	0.0836285
372	0.0830868
373	0.0828037
374	0.0827765
375	0.0830025
376	0.0835152
377	0.0843692
378	0.0854668
379	0.0868049
380	0.0883793
381	0.0901845
382	0.092245
383	0.0945502
384	0.0970549
385	0.0997401
386	0.1025812
387	0.1055473
388	0.1086136
389	0.1117334
390	0.1148438
391	0.1178868
392	0.1207995
393	0.1235165
394	0.1260053
395	0.1282218
396	0.1300642
397	0.1314892
398	0.1324672
399	0.1329842
400	0.1330492
401	0.132807
402	0.1321603
403	0.1311509
404	0.1298286
405	0.1282483
406	0.1264667
407	0.1245849
408	0.1226563
409	0.120682
410	0.1187051
411	0.1167635
412	0.1148889
413	0.1131081
414	0.1114895
415	0.1100211
416	0.1086985
417	0.1075322
418	0.1065301
419	0.1056981
420	0.1050404
421	0.1046297
422	0.104426
423	0.1044024
424	0.10456
425	0.1048998
426	0.1054229
427	0.1061275
428	0.1070619
429	0.108235
430	0.1095912
431	0.1111307
432	0.1128536
433	0.1147594
434	0.116847
435	0.1191146
436	0.1217151
437	0.1245004
438	0.1274597
439	0.1305863
440	0.1338717
441	0.1372773
442	0.1408153
443	0.144526
444	0.1485661
445	0.152698
446	0.1569154
447	0.1611777
448	0.165457
449	0.1697231
450	0.1739443
451	0.1781053
452	0.1822685
453	0.1862969
454	0.1901588
455	0.1938243
456	0.1972663
457	0.200461
458	0.2033887
459	0.2060344
460	0.2084019
461	0.2104798
462	0.2122658
463	0.2137647
