Wavelength (nm)	Transmittance
200	0.003823
201	0.0047079
202	0.0058641
203	0.0072475
204	0.0086372
205	0.0096193
206	0.0098329
207	0.0091964
208	0.0080016
209	0.006806
210	0.0057954
211	0.0050259
212	0.004457
213	0.0040603
214	0.0038025
215	0.003673
216	0.0036421
217	0.0037069
218	0.0038603
219	0.0041124
220	0.004496
221	0.0050423
222	0.0058162
223	0.006874
224	0.0082564
225	0.0099755
226	0.0118659
227	0.0135386
228	0.014393
229	0.0139899
230	0.0125372
231	0.0106551
232	0.0088391
233	0.0073184
234	0.0061272
235	0.0051995
236	0.0045047
237	0.0039836
238	0.0035977
239	0.0033211
240	0.0031306
241	0.0030086
242	0.0029452
243	0.0029371
244	0.002981
245	0.0030813
246	0.0032388
247	0.003462
248	0.0037696
249	0.0041497
250	0.0046525
251	0.0053037
252	0.0061226
253	0.0071021
254	0.0082094
255	0.0092099
256	0.0097915
257	0.0096803
258	0.0088659
259	0.0076467
260	0.006365
261	0.0052278
262	0.0043026
263	0.0035785
264	0.0030183
265	0.0025808
266	0.0022445
267	0.0019861
268	0.0017878
269	0.0016341
270	0.0015189
271	0.0014351
272	0.0013744
273	0.0013351
274	0.0013149
275	0.0013112
276	0.0013235
277	0.001352
278	0.0013977
279	0.0014636
280	0.0015533
281	0.0016686
282	0.0018161
283	0.0020071
284	0.0022448
285	0.0025392
286	0.0029067
287	0.0033522
288	0.0038785
289	0.0044721
290	0.0050928
291	0.0056613
292	0.00607
293	0.006223
294	0.006072
295	0.0056666
296	0.005127
297	0.0045446
298	0.0039875
299	0.0034947
300	0.0030812
301	0.0027356
302	0.0024503
303	0.0022196
304	0.0020329
305	0.0018804
306	0.0017562
307	0.0016594
308	0.0015825
309	0.0015223
310	0.0014765
311	0.0014455
312	0.001426
313	0.0014171
314	0.0014188
315	0.0014342
316	0.0014595
317	0.0014951
318	0.0015421
319	0.0016087
320	0.0016885
321	0.0017831
322	0.0018942
323	0.002026
324	0.0021798
325	0.0023589
326	0.0025675
327	0.0028052
328	0.0030798
329	0.0033997
330	0.0037721
331	0.0042038
332	0.0047017
333	0.0052769
334	0.0059367
335	0.0066851
336	0.0075206
337	0.0084316
338	0.0093931
339	0.0103627
340	0.0112761
341	0.0120558
342	0.0126418
343	0.0129812
344	0.0130526
345	0.0128473
346	0.0124161
347	0.0118346
348	0.0111651
349	0.0104608
350	0.0097488
351	0.0090659
352	0.0084324
353	0.0078556
354	0.0073374
355	0.0068702
356	0.0064554
357	0.0060904
358	0.0057705
359	0.0054911
360	0.0052389
361	0.0050146
362	0.0048202
363	0.0046525
364	0.0045089
365	0.0043779
366	0.0042499
367	0.0041412
368	0.0040502
369	0.0039755
370	0.0039159
371	0.003868
372	0.0038332
373	0.0038114
374	0.0038021
375	0.003805
376	0.0038238
377	0.0038645
378	0.0039176
379	0.0039834
380	0.0040625
381	0.0041555
382	0.0042667
383	0.004397
384	0.0045446
385	0.0047107
386	0.0048971
387	0.0051057
388	0.0053405
389	0.005604
390	0.0058975
391	0.0062243
392	0.006588
393	0.0069929
394	0.0074481
395	0.0079617
396	0.0085334
397	0.0091696
398	0.009877
399	0.0106628
400	0.0115354
401	0.0125219
402	0.0136093
403	0.014802
404	0.016101
405	0.0175031
406	0.0189986
407	0.0205824
408	0.0222286
409	0.0238842
410	0.0254978
411	0.0270088
412	0.0283518
413	0.029463
414	0.0303056
415	0.0308314
416	0.0310193
417	0.0308794
418	0.0304427
419	0.0297556
420	0.0288725
421	0.0278837
422	0.0268198
423	0.0257103
424	0.0245908
425	0.0234887
426	0.022423
427	0.0214077
428	0.0204723
429	0.0196221
430	0.0188324
431	0.018103
432	0.0174324
433	0.0168182
434	0.0162575
435	0.0157472
436	0.0153309
437	0.0149575
438	0.0146223
439	0.0143232
440	0.0140576
441	0.0138232
442	0.0136185
443	0.013455
444	0.0133687
445	0.0133054
446	0.0132645
447	0.013245
448	0.0132464
449	0.013268
450	0.0133097
451	0.013374
452	0.0134758
453	0.0135968
454	0.013737
455	0.0138967
456	0.014076
457	0.0142754
458	0.0144952
459	0.014736
460	0.0150003
461	0.0152871
462	0.015597
463	0.0159308
464	0.0162897
465	0.0166745
466	0.0170871
467	0.0175282
468	0.0179948
469	0.0184615
470	0.0189592
471	0.0194893
472	0.020054
473	0.0206554
474	0.0212955
475	0.0219769
476	0.0227021
477	0.0234679
478	0.024242
479	0.0250654
480	0.0259416
481	0.0268742
482	0.0278673
483	0.0289251
484	0.0300524
485	0.0312545
486	0.0325368
487	0.0337091
488	0.0349065
489	0.0361891
490	0.0375636
491	0.0390375
492	0.0406189
493	0.0423167
494	0.0441412
495	0.0461029
496	0.0481775
497	0.0498228
498	0.0516102
499	0.0535526
500	0.0556642
501	0.0579594
502	0.0604578
503	0.0631797
504	0.0661479
505	0.0693878
506	0.0729304
507	0.0763429
508	0.0800645
509	0.084161
510	0.0886757
511	0.0936559
512	0.0991554
513	0.1052341
514	0.1119586
515	0.1194022
516	0.1276411
517	0.1364794
518	0.1458034
519	0.1560815
520	0.1673646
521	0.1796789
522	0.1929988
523	0.2072316
524	0.222185
525	0.2375319
526	0.252781
527	0.26726
528	0.2796332
529	0.2884637
530	0.2934681
531	0.2939536
532	0.289614
533	0.2806198
534	0.2675968
535	0.251498
536	0.2334218
537	0.2144228
538	0.1953951
539	0.1770106
540	0.1594917
541	0.1434699
542	0.1290212
543	0.1161012
544	0.1046127
545	0.0944314
546	0.0854245
547	0.0774606
548	0.0704162
549	0.0641786
550	0.0586469
551	0.053732
552	0.0497041
553	0.0461168
554	0.0428978
555	0.0400018
556	0.03739
557	0.0350283
558	0.0328878
559	0.0309431
560	0.0291722
561	0.0275562
562	0.0260783
563	0.024724
564	0.0236518
565	0.0228814
566	0.0221694
567	0.0215106
568	0.0209005
569	0.0203349
570	0.0198103
571	0.0193233
572	0.0188711
573	0.018451
574	0.0180606
575	0.0176979
576	0.0173608
577	0.0170751
578	0.016868
579	0.0166791
580	0.0165074
581	0.0163517
582	0.0162115
583	0.0160861
584	0.0159748
585	0.0158771
586	0.0157926
587	0.0157207
588	0.0156607
589	0.0156124
590	0.0155754
591	0.0155239
592	0.0154658
593	0.0154186
594	0.015382
595	0.0153556
596	0.0153394
597	0.015333
598	0.0153363
599	0.0153491
600	0.0153713
601	0.0154026
602	0.0154432
603	0.0154929
604	0.0155518
605	0.0156194
606	0.0156948
607	0.0157793
608	0.0158731
609	0.0159761
610	0.0160886
611	0.0162102
612	0.0163415
613	0.0164826
614	0.0166335
615	0.0167946
616	0.0169661
617	0.0171482
618	0.0173411
619	0.017545
620	0.0177658
621	0.0180729
622	0.018394
623	0.0187296
624	0.0190801
625	0.0194463
626	0.0198286
627	0.0202277
628	0.0206445
629	0.0210796
630	0.0215338
631	0.0220081
632	0.0225032
633	0.0230202
634	0.02356
635	0.0241237
636	0.0246774
637	0.0250934
638	0.0255301
639	0.0259885
640	0.0264696
641	0.0269746
642	0.0275044
643	0.0280605
644	0.0286441
645	0.0292566
646	0.0298995
647	0.0305744
648	0.0312832
649	0.0320276
650	0.0328097
651	0.033632
652	0.0344966
653	0.0350772
654	0.0352919
655	0.0355398
656	0.0358225
657	0.0361417
658	0.0364993
659	0.0368974
660	0.0373385
661	0.0378247
662	0.0383593
663	0.0389458
664	0.0395877
665	0.0402893
666	0.0410557
667	0.0418919
668	0.0428034
669	0.043797
670	0.04488
671	0.0459315
672	0.0470562
673	0.0482944
674	0.049658
675	0.0511605
676	0.0528176
677	0.0546474
678	0.056671
679	0.0589128
680	0.0614015
681	0.0641684
682	0.0672555
683	0.0707097
684	0.0745873
685	0.0789556
686	0.0838988
687	0.0895128
688	0.0959173
689	0.1033319
690	0.1121727
691	0.1223396
692	0.1340872
693	0.1477246
694	0.1636248
695	0.1822315
696	0.2040603
697	0.2296821
698	0.2596826
699	0.2945437
700	0.3344351
701	0.3788376
702	0.4259889
703	0.4722597
704	0.5118665
705	0.5376273
706	0.5432346
707	0.5262305
708	0.4895141
709	0.4405117
710	0.3871151
711	0.3347224
712	0.2868015
713	0.244828
714	0.2090054
715	0.1788685
716	0.1536873
717	0.1326883
718	0.1151569
719	0.1004756
720	0.0881291
721	0.0776949
722	0.0688315
723	0.0612629
724	0.0547658
725	0.0491602
726	0.0442997
727	0.0400653
728	0.0363597
729	0.0331029
730	0.0303036
731	0.0278515
732	0.0256652
733	0.023709
734	0.0219531
735	0.0203721
736	0.0189444
737	0.0176515
738	0.0164778
739	0.0154094
740	0.0144348
741	0.0135435
742	0.0127268
743	0.0119769
744	0.0112869
745	0.0106509
746	0.0100636
747	0.0095203
748	0.009017
749	0.00855
750	0.0081159
751	0.0077119
752	0.0073431
753	0.0070042
754	0.0066871
755	0.00639
756	0.0061113
757	0.0058496
758	0.0056036
759	0.0053722
760	0.0051541
761	0.0049486
762	0.0047546
763	0.0045714
764	0.0043981
765	0.0042342
766	0.0040789
767	0.0039317
768	0.003792
769	0.0036595
770	0.0035335
771	0.0034137
772	0.0032997
773	0.0031912
774	0.0030878
775	0.0029892
776	0.0028953
777	0.0028057
778	0.0027201
779	0.0026383
780	0.0025601
781	0.0024854
782	0.0024138
783	0.0023452
784	0.0022795
785	0.0022166
786	0.0021562
787	0.0020983
788	0.0020427
789	0.0019893
790	0.001938
791	0.0018887
792	0.0018413
793	0.0017957
794	0.0017519
795	0.0017096
796	0.001669
797	0.0016298
798	0.0015921
799	0.0015557
800	0.0015208
801	0.001489
802	0.0014584
803	0.0014287
804	0.0014001
805	0.0013724
806	0.0013457
807	0.0013198
808	0.0012947
809	0.0012705
810	0.0012471
811	0.0012244
812	0.0012025
813	0.0011812
814	0.0011606
815	0.0011407
816	0.0011214
817	0.0011026
818	0.0010845
819	0.0010668
820	0.0010498
821	0.0010332
822	0.001017
823	0.0010014
824	0.0009862
825	0.0009715
826	0.0009572
827	0.0009444
828	0.0009333
829	0.0009226
830	0.0009122
831	0.0009021
832	0.0008923
833	0.0008827
834	0.0008735
835	0.0008645
836	0.0008557
837	0.0008472
838	0.000839
839	0.000831
840	0.0008232
841	0.0008156
842	0.0008082
843	0.0008011
844	0.0007941
845	0.0007874
846	0.0007808
847	0.0007745
848	0.0007683
849	0.0007623
850	0.0007565
851	0.0007509
852	0.0007454
853	0.0007401
854	0.000735
855	0.00073
856	0.0007256
857	0.0007213
858	0.0007172
859	0.0007132
860	0.0007093
861	0.0007057
862	0.0007021
863	0.0006987
864	0.0006954
865	0.0006922
866	0.0006892
867	0.0006863
868	0.0006835
869	0.0006808
870	0.0006783
871	0.0006758
872	0.0006735
873	0.0006713
874	0.0006691
875	0.0006672
876	0.0006653
877	0.0006635
878	0.0006618
879	0.0006603
880	0.0006588
881	0.0006575
882	0.0006563
883	0.0006552
884	0.0006542
885	0.0006533
886	0.0006523
887	0.0006509
888	0.0006496
889	0.0006485
890	0.0006475
891	0.0006465
892	0.0006457
893	0.000645
894	0.0006444
895	0.0006439
896	0.0006435
897	0.0006432
898	0.000643
899	0.0006429
900	0.0006429
901	0.0006431
902	0.0006433
903	0.0006436
904	0.0006441
905	0.0006446
906	0.0006453
907	0.0006461
908	0.000647
909	0.000648
910	0.0006491
911	0.0006503
912	0.0006517
913	0.0006532
914	0.0006548
915	0.0006565
916	0.0006584
917	0.0006604
918	0.0006625
919	0.0006649
920	0.0006675
921	0.0006702
922	0.0006731
923	0.0006761
924	0.0006792
925	0.0006825
926	0.0006859
927	0.0006895
928	0.0006932
929	0.0006971
930	0.0007012
931	0.0007054
932	0.0007098
933	0.0007144
934	0.0007192
935	0.0007241
936	0.0007293
937	0.0007346
938	0.0007401
939	0.0007459
940	0.0007518
941	0.000758
942	0.0007644
943	0.000771
944	0.0007778
945	0.0007849
946	0.0007923
947	0.0007999
948	0.0008077
949	0.0008159
950	0.0008243
951	0.0008331
952	0.0008421
953	0.0008514
954	0.0008615
955	0.0008729
956	0.0008847
957	0.0008969
958	0.0009096
959	0.0009226
960	0.0009362
961	0.0009502
962	0.0009647
963	0.0009797
964	0.0009953
965	0.0010114
966	0.0010281
967	0.0010454
968	0.0010634
969	0.001082
970	0.0011013
971	0.0011214
972	0.0011422
973	0.0011639
974	0.0011864
975	0.0012097
976	0.0012341
977	0.0012594
978	0.0012858
979	0.0013132
980	0.0013418
981	0.0013716
982	0.0014027
983	0.0014352
984	0.0014691
985	0.0015045
986	0.0015415
987	0.0015803
988	0.0016209
989	0.0016634
990	0.001708
991	0.0017549
992	0.001804
993	0.0018551
994	0.0019089
995	0.0019656
996	0.0020252
997	0.0020882
998	0.0021546
999	0.0022249
1000	0.0022991
