Wavenumber (cm-1),Int deg-28 (arb),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb),Int deg30 (arb)
499.955,-1.17549e-38,0.00558122,0.193606,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0409122,0.147543,-1.17549e-38,0.00593148,0.067545,0.111387,0.213881,-1.17549e-38,-1.17549e-38,0.117232,0.157778,0.0661966,0.159009,-1.17549e-38,0.180477,-1.17549e-38,0.0669222,0.0464074,0.030415,0.085435,0.0390004,-1.17549e-38
500.4372,-1.17549e-38,-1.17549e-38,0.123321,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0512088,0.129735,-1.17549e-38,0.00792525,0.0847004,0.101777,0.219884,-1.17549e-38,-1.17549e-38,0.160338,0.21545,0.0794512,0.142452,-1.17549e-38,0.198982,-1.17549e-38,0.0159094,0.0151206,0.0392366,0.113922,0.0414716,0.00293998
500.9193,0.00590236,-1.17549e-38,0.0299952,-1.17549e-38,0.00647996,0.00874035,-1.17549e-38,0.0533178,0.0629655,0.0784017,0.000972179,0.0226507,0.119089,0.0886993,0.193673,-1.17549e-38,-1.17549e-38,0.186769,0.243353,0.06148,0.130031,-1.17549e-38,0.158969,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0606359,0.13196,0.0328763,0.00484646
501.4014,0.018662,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0250501,0.0339511,-1.17549e-38,0.130821,0.0617968,0.00220273,0.0431515,0.0457122,0.157169,0.0755205,0.157906,-1.17549e-38,-1.17549e-38,0.185947,0.227181,0.0248796,0.121308,-1.17549e-38,0.0706736,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0771696,0.140306,0.0165606,0.00378833
501.8835,0.019603,-1.17549e-38,-1.17549e-38,0.00530695,0.0247116,0.0664033,-1.17549e-38,0.140227,0.0407977,-1.17549e-38,0.0771169,0.0693236,0.180745,0.0562089,0.13635,-1.17549e-38,-1.17549e-38,0.156878,0.165927,-1.17549e-38,0.115732,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0095888,-1.17549e-38,0.0688031,0.138963,-1.17549e-38,0.00897089
502.3656,0.00951919,0.0336988,-1.17549e-38,0.038473,-1.17549e-38,0.096571,-1.17549e-38,0.08602,0.00787345,-1.17549e-38,0.0873649,0.085206,0.174648,0.021539,0.138267,-1.17549e-38,-1.17549e-38,0.110002,0.0746457,-1.17549e-38,0.114573,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0206724,-1.17549e-38,0.0283726,0.126769,-1.17549e-38,0.0239413
502.8477,-1.17549e-38,0.0995564,-1.17549e-38,0.0689394,-1.17549e-38,0.112485,-1.17549e-38,0.00715712,-1.17549e-38,-1.17549e-38,0.0685205,0.0881243,0.133498,-1.17549e-38,0.152121,-1.17549e-38,-1.17549e-38,0.062783,-1.17549e-38,-1.17549e-38,0.120727,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0176885,0.00170319,-1.17549e-38,0.103757,-1.17549e-38,0.0416939
503.3299,-1.17549e-38,0.161024,-1.17549e-38,0.0896068,-1.17549e-38,0.109827,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0308123,0.0777868,0.0631178,-1.17549e-38,0.154977,-1.17549e-38,-1.17549e-38,0.0312399,-1.17549e-38,-1.17549e-38,0.136052,0.00524172,-1.17549e-38,0.0106969,0.00470321,0.00758485,-1.17549e-38,0.0739636,-1.17549e-38,0.0490269
503.812,-1.17549e-38,0.200486,-1.17549e-38,0.0954243,-1.17549e-38,0.0955201,0.0501658,-1.17549e-38,0.0320148,-1.17549e-38,-1.17549e-38,0.0577811,-1.17549e-38,-1.17549e-38,0.129237,-1.17549e-38,-1.17549e-38,0.0237759,-1.17549e-38,-1.17549e-38,0.158205,0.0875184,-1.17549e-38,0.0200202,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0455829,-1.17549e-38,0.0370795
504.2941,-1.17549e-38,0.206164,-1.17549e-38,0.0848992,-1.17549e-38,0.0824413,0.110396,-1.17549e-38,0.101908,-1.17549e-38,-1.17549e-38,0.0329555,-1.17549e-38,-1.17549e-38,0.0727187,-1.17549e-38,-1.17549e-38,0.0406957,-1.17549e-38,-1.17549e-38,0.179607,0.173609,-1.17549e-38,0.0155902,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0279777,-1.17549e-38,0.00900875
