Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
-28,2259.214766891857,2119.984175445744,2164.099598075428,2208.8365162068644
-26,2255.314160528955,2117.026122754825,2164.099598075428,2200.0332340212685
-24,2251.900461311162,2113.9836876779664,2164.099598075428,2191.793840612095
-22,2247.713295751716,2110.85587182384,2164.099598075428,2184.140475157738
-20,2242.6463478459473,2107.173235471053,2164.099598075428,2177.0928107425793
-18,2237.928654712038,2103.3994556791304,2164.099598075428,2170.6682163683413
-16,2233.3635097265396,2099.4778860973465,2164.099598075428,2164.881910662015
-14,2229.628865136869,2095.845930180103,2164.099598075428,2159.7471052692767
-12,2226.274924470578,2092.2344507780754,2164.099598075428,2155.2751363175794
-10,2224.35962392288,2091.607133633113,2164.099598075428,2151.4755826697337
-8,2222.1491128920584,2089.5568681747523,2164.099598075428,2148.356369971064
-6,2220.416705288586,2087.1172889820937,2164.099598075428,2145.9238597265276
-4,2219.656127328471,2086.7755867143483,2164.099598075428,2144.182922834563
-2,2219.3561439575064,2087.017725073065,2164.099598075428,2143.1369971583745
0,2218.804651087382,2086.3737158879712,2164.099598075428,2142.7881288393696
2,2219.009850965282,2087.2188826278184,2164.099598075428,2143.1369971583745
4,2219.5062929356063,2088.402200137394,2164.099598075428,2144.182922834563
6,2219.9887050504835,2089.0591224085338,2164.099598075428,2145.9238597265276
8,2220.6542833500444,2089.7287532727255,2164.099598075428,2148.356369971064
10,2221.7318813181514,2091.281804053812,2164.099598075428,2151.4755826697337
12,2223.949037063529,2094.1601727869697,2164.099598075428,2155.2751363175794
14,2225.5832678556435,2094.1734252822703,2164.099598075428,2159.7471052692767
16,2229.298952146125,2097.9710468297026,2164.099598075428,2164.881910662015
18,2232.2965478306733,2100.672978148325,2164.099598075428,2170.6682163683413
20,2235.69335117131,2103.5387960222515,2164.099598075428,2177.0928107425793
22,2239.4750638665887,2106.348330556948,2164.099598075428,2184.140475157738
24,2243.3921696086236,2109.066525987132,2164.099598075428,2191.793840612095
26,2248.0731236666606,2112.6828044268186,2164.099598075428,2200.0332340212685
28,2250.6607651055183,2114.7361204341496,2164.099598075428,2208.8365162068644
30,2252.8681679098117,2116.6602346122945,2164.099598075428,2218.1789140495925
