Wavenumber (cm-1),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
499.955,-1.17549e-38,-1.17549e-38,0.140089,-1.17549e-38,-1.17549e-38,0.143259,-1.17549e-38,0.180477,-1.17549e-38,0.0669222,0.0464074,0.030415,0.085435,0.0390004
500.4372,-1.17549e-38,-1.17549e-38,0.0977118,-1.17549e-38,-1.17549e-38,0.17136,-1.17549e-38,0.198982,-1.17549e-38,0.0159094,0.0151206,0.0392366,0.113922,0.0414716
500.9193,-1.17549e-38,-1.17549e-38,0.0499298,-1.17549e-38,-1.17549e-38,0.172712,-1.17549e-38,0.158969,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0606359,0.13196,0.0328763
501.4014,-1.17549e-38,-1.17549e-38,0.00927428,-1.17549e-38,-1.17549e-38,0.148498,-1.17549e-38,0.0706736,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0771696,0.140306,0.0165606
501.8835,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.109395,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0095888,-1.17549e-38,0.0688031,0.138963,-1.17549e-38
502.3656,-1.17549e-38,0.0600455,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0713719,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0206724,-1.17549e-38,0.0283726,0.126769,-1.17549e-38
502.8477,-1.17549e-38,0.109136,0.0174847,-1.17549e-38,-1.17549e-38,0.0469297,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0176885,0.00170319,-1.17549e-38,0.103757,-1.17549e-38
503.3299,-1.17549e-38,0.133595,0.0465008,-1.17549e-38,0.0117814,0.0377615,0.00524172,-1.17549e-38,0.0106969,0.00470321,0.00758485,-1.17549e-38,0.0739636,-1.17549e-38
503.812,-1.17549e-38,0.1383,0.0662647,-1.17549e-38,0.0238259,0.0349661,0.0875184,-1.17549e-38,0.0200202,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0455829,-1.17549e-38
504.2941,-1.17549e-38,0.131555,0.0696671,-1.17549e-38,0.0240516,0.0258664,0.173609,-1.17549e-38,0.0155902,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0279777,-1.17549e-38
504.7762,-1.17549e-38,0.119075,0.0581552,-1.17549e-38,0.00777635,0.00173675,0.249515,-1.17549e-38,0.00359502,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0274255,-1.17549e-38
505.2583,-1.17549e-38,0.102701,0.039073,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.303401,-1.17549e-38,-1.17549e-38,0.00149411,-1.17549e-38,-1.17549e-38,0.043584,-1.17549e-38
505.7404,-1.17549e-38,0.0827982,0.0209099,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.328637,0.014865,0.00146537,0.00261986,-1.17549e-38,-1.17549e-38,0.0682147,0.00936888
506.2226,-1.17549e-38,0.0611283,0.00815654,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.326256,0.106739,0.0262174,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0876801,0.0186588
506.7047,-1.17549e-38,0.0412859,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.305839,0.199315,0.062905,-1.17549e-38,0.0318085,-1.17549e-38,0.089444,0.0190256
507.1868,-1.17549e-38,0.0261457,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.282736,0.26616,0.0965289,-1.17549e-38,0.0616037,0.000384623,0.0693956,0.0126576
507.6689,-1.17549e-38,0.0149863,-1.17549e-38,-1.17549e-38,0.0158645,-1.17549e-38,0.271404,0.287874,0.111894,-1.17549e-38,0.068424,0.0276194,0.0345516,0.00447513
508.151,-1.17549e-38,0.00364158,-1.17549e-38,-1.17549e-38,0.0448235,-1.17549e-38,0.278174,0.262611,0.102054,-1.17549e-38,0.0471713,0.0565343,-1.17549e-38,-1.17549e-38
508.6331,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0629623,0.00904199,0.297779,0.204003,0.0711625,0.0082006,0.00279816,0.0853181,-1.17549e-38,-1.17549e-38
509.1153,0.0172155,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0680548,0.0641475,0.315418,0.130651,0.0308514,0.0229684,-1.17549e-38,0.113843,-1.17549e-38,0.00178927
509.5974,0.0376032,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0609084,0.11482,0.313296,0.0567274,-1.17549e-38,0.0405932,-1.17549e-38,0.140596,-1.17549e-38,0.00661153
510.0795,0.0255443,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0447666,0.15409,0.279139,-1.17549e-38,-1.17549e-38,0.0644805,-1.17549e-38,0.159623,-1.17549e-38,0.0112793
510.5616,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0252315,0.173046,0.213075,-1.17549e-38,-1.17549e-38,0.0955181,-1.17549e-38,0.161439,-1.17549e-38,0.015637
511.0437,-1.17549e-38,-1.17549e-38,0.0338467,-1.17549e-38,0.00918995,0.164255,0.128679,-1.17549e-38,-1.17549e-38,0.128574,-1.17549e-38,0.138421,-1.17549e-38,0.0205287
511.5258,-1.17549e-38,-1.17549e-38,0.0881903,-1.17549e-38,0.00212221,0.126643,0.0464507,-1.17549e-38,-1.17549e-38,0.153082,0.0293889,0.0907656,-1.17549e-38,0.026293
512.008,-1.17549e-38,-1.17549e-38,0.112634,0.012045,0.00527494,0.0680925,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.158117,0.114902,0.0280888,-1.17549e-38,0.0317129
512.4901,-1.17549e-38,-1.17549e-38,0.104834,0.0645275,0.0149278,0.0035823,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.138928,0.182139,-1.17549e-38,-1.17549e-38,0.0344202
512.9722,-1.17549e-38,-1.17549e-38,0.0725648,0.106979,0.024507,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.100762,0.212162,-1.17549e-38,0.00166255,0.0324661
513.4543,-1.17549e-38,-1.17549e-38,0.0288341,0.123549,0.0282525,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0573808,0.19705,-1.17549e-38,0.020552,0.0257978
513.9365,0.0207143,0.00742488,-1.17549e-38,0.109158,0.0241905,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0245564,0.142579,-1.17549e-38,0.0348297,0.0164727
514.4186,0.0396531,0.0296273,-1.17549e-38,0.0701845,0.0147399,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0120399,0.065639,-1.17549e-38,0.0383208,0.00744873
514.9007,0.0384633,0.0495263,-1.17549e-38,0.0192466,0.00495097,-1.17549e-38,-1.17549e-38,0.00682806,-1.17549e-38,0.0189103,-1.17549e-38,-1.17549e-38,0.0298076,0.000935906
515.3828,0.0194317,0.0578765,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0259944,0.0456299,0.0350112,-1.17549e-38,-1.17549e-38,0.0131597,-1.17549e-38
515.8649,-1.17549e-38,0.0477266,-1.17549e-38,-1.17549e-38,0.00200369,-1.17549e-38,-1.17549e-38,0.0599925,0.0820877,0.0471859,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
516.347,-1.17549e-38,0.0184679,0.0336714,-1.17549e-38,0.0109379,-1.17549e-38,-1.17549e-38,0.102475,0.0888681,0.0464787,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
516.8292,-1.17549e-38,-1.17549e-38,0.0836146,-1.17549e-38,0.0228726,-1.17549e-38,-1.17549e-38,0.135685,0.0698591,0.0321721,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
517.3113,-1.17549e-38,-1.17549e-38,0.126755,-1.17549e-38,0.032553,-1.17549e-38,-1.17549e-38,0.138868,0.0370914,0.0102583,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00249142
517.7934,-1.17549e-38,-1.17549e-38,0.153926,-1.17549e-38,0.0356136,0.0513749,-1.17549e-38,0.100954,0.00458236,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00605728
518.2755,-1.17549e-38,-1.17549e-38,0.160554,-1.17549e-38,0.0304414,0.118053,-1.17549e-38,0.0291265,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00881871
