Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
2,2218.824994320929,2085.6950916832184,2163.910937788701,2139.7674350043308
4,2218.980272215959,2085.980368780147,2163.910937788701,2140.803802843675
6,2219.4607800065983,2086.5861551152702,2163.910937788701,2142.528805280943
8,2220.1124057042343,2087.358683216099,2163.910937788701,2144.9389978497566
10,2220.695457553573,2088.1920782413954,2163.910937788701,2148.029501385589
12,2222.98180214457,2091.3952196080227,2163.910937788701,2151.793945443919
14,2225.5832650570433,2094.1734304614956,2163.910937788701,2156.224396053754
16,2229.298952148959,2097.9710468334815,2163.910937788701,2161.3112682362002
18,2232.2965478310102,2100.672978143531,2163.910937788701,2167.043223872782
20,2235.6933511728876,2103.538796020987,2163.910937788701,2173.4070556988518
22,2239.4750638488645,2106.3483305598397,2163.910937788701,2180.38755843003
24,2243.3921696118223,2109.0665259932994,2163.910937788701,2187.9673883098903
26,2248.0731236611587,2112.682804406097,2163.910937788701,2196.1269127002392
28,2250.660765103603,2114.7361204406525,2163.910937788701,2204.8440517253953
