Wavenumber (cm-1),Int deg-28 (arb),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb),Int deg30 (arb)
499.955,0.0455494,0.0294865,-1.17549e-38,0.0266434,-1.17549e-38,-1.17549e-38,0.0700734,0.043779,0.36506,-1.17549e-38,-1.17549e-38,0.0523425,0.0315765,0.0222391,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0475261,-1.17549e-38,0.0654665,-1.17549e-38,0.123383,-1.17549e-38,-1.17549e-38,0.150798,-1.17549e-38,0.0334362,-1.17549e-38,0.1739,0.192936
500.4372,0.0532844,0.0606992,-1.17549e-38,0.0153621,-1.17549e-38,0.0113137,0.0693115,0.0570646,0.31398,-1.17549e-38,0.0222521,0.083164,0.0255948,-1.17549e-38,-1.17549e-38,0.0161358,-1.17549e-38,0.0518094,-1.17549e-38,0.0915079,-1.17549e-38,0.166331,-1.17549e-38,-1.17549e-38,0.140707,-1.17549e-38,0.000834339,-1.17549e-38,0.184179,0.19864
500.9193,0.0411692,0.0935063,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0765486,0.0451025,0.0597213,0.240502,-1.17549e-38,0.0384835,0.0836755,0.0404482,-1.17549e-38,-1.17549e-38,0.038843,-1.17549e-38,0.0533126,-1.17549e-38,0.0932684,-1.17549e-38,0.212055,-1.17549e-38,-1.17549e-38,0.109429,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.193882,0.192615
501.4014,0.0176557,0.113826,-1.17549e-38,-1.17549e-38,0.0642775,0.134245,0.00990472,0.0489193,0.164136,-1.17549e-38,0.034512,0.0610508,0.0558469,-1.17549e-38,0.0748989,0.0599132,-1.17549e-38,0.0519169,0.0017285,0.0696389,0.0148966,0.249725,0.0325009,-1.17549e-38,0.0650326,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.203612,0.175457
501.8835,-1.17549e-38,0.111303,-1.17549e-38,-1.17549e-38,0.094346,0.16973,-1.17549e-38,0.0262419,0.0997835,-1.17549e-38,0.0156968,0.0256776,0.0534383,-1.17549e-38,0.146349,0.0728556,0.0144,0.0489945,0.00727849,0.0265771,0.0447333,0.269093,0.0747671,-1.17549e-38,0.0208761,-1.17549e-38,-1.17549e-38,0.0109847,0.218108,0.149467
502.3656,-1.17549e-38,0.0866442,-1.17549e-38,-1.17549e-38,0.0768742,0.175092,-1.17549e-38,-1.17549e-38,0.0540713,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0317811,-1.17549e-38,0.191906,0.0740684,0.0691366,0.0477111,0.0100591,-1.17549e-38,0.0591285,0.268398,0.0972197,0.0109011,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0879987,0.238669,0.119665
502.8477,-1.17549e-38,0.0530775,-1.17549e-38,-1.17549e-38,0.0255738,0.152632,-1.17549e-38,-1.17549e-38,0.0259381,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00831548,0.0249533,0.200598,0.0632693,0.101826,0.0509054,0.00806256,-1.17549e-38,0.049445,0.256913,0.0943519,0.0294763,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.142505,0.256315,0.0928038
503.3299,0.00789175,0.0290195,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.112395,-1.17549e-38,-1.17549e-38,0.0113234,0.00725588,-1.17549e-38,-1.17549e-38,0.0050684,0.0852648,0.177335,0.0434529,0.104403,0.0583362,0.00197059,-1.17549e-38,0.0208691,0.248169,0.071828,0.0487716,-1.17549e-38,-1.17549e-38,0.00563259,0.170431,0.253987,0.0744033
503.812,0.0207991,0.027828,-1.17549e-38,0.0643507,-1.17549e-38,0.066538,-1.17549e-38,-1.17549e-38,0.00782537,0.0204755,-1.17549e-38,-1.17549e-38,0.031258,0.114501,0.138057,0.0206882,0.0822522,0.0664672,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.24978,0.0427794,0.0671765,-1.17549e-38,-1.17549e-38,0.0480994,0.180796,0.21739,0.0663643
504.2941,0.0278058,0.0526591,-1.17549e-38,0.136269,-1.17549e-38,0.0254774,-1.17549e-38,0.00095551,0.0154528,0.0258997,-1.17549e-38,-1.17549e-38,0.0777144,0.111424,0.0998963,0.00324071,0.0504438,0.0713645,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.258926,0.0199292,0.0831574,-1.17549e-38,0.00784559,0.0866509,0.186964,0.145612,0.066925
