Wavenumber (cm-1),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb)
499.955,-1.17549e-38,-1.17549e-38,0.0475261,-1.17549e-38,0.0654665,-1.17549e-38,0.123383,-1.17549e-38,-1.17549e-38,0.150798,-1.17549e-38,0.0334362
500.4372,0.0161358,-1.17549e-38,0.0518094,-1.17549e-38,0.0915079,-1.17549e-38,0.166331,-1.17549e-38,-1.17549e-38,0.140707,-1.17549e-38,0.000834339
500.9193,0.038843,-1.17549e-38,0.0533126,-1.17549e-38,0.0932684,-1.17549e-38,0.212055,-1.17549e-38,-1.17549e-38,0.109429,-1.17549e-38,-1.17549e-38
501.4014,0.0599132,-1.17549e-38,0.0519169,0.0017285,0.0696389,0.0148966,0.249725,0.0325009,-1.17549e-38,0.0650326,-1.17549e-38,-1.17549e-38
501.8835,0.0728556,0.0144,0.0489945,0.00727849,0.0265771,0.0447333,0.269093,0.0747671,-1.17549e-38,0.0208761,-1.17549e-38,-1.17549e-38
502.3656,0.0740684,0.0691366,0.0477111,0.0100591,-1.17549e-38,0.0591285,0.268398,0.0972197,0.0109011,-1.17549e-38,-1.17549e-38,-1.17549e-38
502.8477,0.0632693,0.101826,0.0509054,0.00806256,-1.17549e-38,0.049445,0.256913,0.0943519,0.0294763,-1.17549e-38,-1.17549e-38,-1.17549e-38
503.3299,0.0434529,0.104403,0.0583362,0.00197059,-1.17549e-38,0.0208691,0.248169,0.071828,0.0487716,-1.17549e-38,-1.17549e-38,0.00563259
503.812,0.0206882,0.0822522,0.0664672,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.24978,0.0427794,0.0671765,-1.17549e-38,-1.17549e-38,0.0480994
504.2941,0.00324071,0.0504438,0.0713645,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.258926,0.0199292,0.0831574,-1.17549e-38,0.00784559,0.0866509
504.7762,-1.17549e-38,0.0255868,0.0723242,-1.17549e-38,0.0294887,-1.17549e-38,0.265587,0.00922317,0.0959093,-1.17549e-38,0.0238326,0.111158
505.2583,0.0116915,0.0184315,0.0735447,-1.17549e-38,0.0802736,0.0237171,0.259382,0.00791175,0.105259,-1.17549e-38,0.0370128,0.117434
505.7404,0.0357004,0.0301617,0.0823017,0.00763142,0.106671,0.077496,0.235352,0.00751688,0.111144,-1.17549e-38,0.0468433,0.108667
506.2226,0.0565952,0.0536947,0.103762,0.0183009,0.102178,0.123784,0.195853,0.000631293,0.113342,-1.17549e-38,0.0520751,0.0923407
506.7047,0.0574102,0.0793421,0.135255,0.0256377,0.076188,0.140508,0.147954,-1.17549e-38,0.111816,-1.17549e-38,0.0516942,0.0742013
507.1868,0.0302749,0.100995,0.164916,0.0276943,0.0478313,0.11743,0.0987417,-1.17549e-38,0.107308,0.0176159,0.0460706,0.0541919
507.6689,-1.17549e-38,0.117884,0.177293,0.0250048,0.0329235,0.0619773,0.0526276,-1.17549e-38,0.101374,0.0781755,0.0370901,0.0285089
