Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
2,2316.1960270996947,2074.6792618443696,2210.6637298846163,2182.829309355099
4,2316.9262623882432,2075.405850184431,2210.6637298846163,2184.2621249930025
6,2319.098088073141,2077.2010873815116,2210.6637298846163,2186.648643346068
8,2321.167983507016,2079.2547650979714,2210.6637298846163,2189.9865539680845
10,2323.5792395698454,2081.6533685771415,2210.6637298846163,2194.2725241940116
12,2326.1766970385784,2084.642295670662,2210.6637298846163,2199.5021004683363
14,2330.4485032048246,2088.2656835594976,2210.6637298846163,2205.6695806264865
16,2334.767858927335,2091.604828847845,2210.6637298846163,2212.7678565721762
18,2338.8514889880917,2095.7080819303633,2210.6637298846163,2220.788226767425
20,2342.4465997272982,2099.9799365416543,2210.6637298846163,2229.720177990449
22,2346.214373679455,2103.60693204094,2210.6637298846163,2239.551135936359
24,2349.1910700293233,2107.1611826623507,2210.6637298846163,2250.266184455871
