Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2204.71840058335,2084.093593388491,2168.400428713164,2125.568375704284
2,2204.8850076859007,2085.5453056166575,2168.400428713164,2125.872371752763
4,2205.4798787214863,2086.7544736065724,2168.400428713164,2126.7836598205076
6,2206.1698550677575,2088.052826461658,2168.400428713164,2128.300133431113
8,2207.227393996047,2089.657986983909,2168.400428713164,2130.41826103202
10,2208.330982383811,2093.149894836242,2168.400428713164,2133.1330550429616
12,2210.2939864840637,2097.7157165223625,2168.400428713164,2136.438028904775
14,2212.6138173820373,2102.3703191028712,2168.400428713164,2140.3251425292215
16,2215.070858533501,2106.263218920347,2168.400428713164,2144.784736692744
18,2217.490367073687,2109.307552876911,2168.400428713164,2149.805457079881
20,2219.397253540318,2110.9734025688012,2168.400428713164,2155.37416886922
22,2219.715988301601,2112.164796309066,2168.400428713164,2161.4758629699686
24,2217.9979427864505,2100.135237693609,2168.400428713164,2168.093555263213
