"Wavelength, µm","n","k"
1.28221,1.40095,0.0000297687
1.28229,1.40095,0.000029827
1.28237,1.40095,0.0000299018
1.28245,1.40096,0.0000299953
1.28252,1.40096,0.0000301072
1.2826,1.40096,0.0000302359
1.28268,1.40096,0.0000303808
1.28276,1.40096,0.0000305362
1.28284,1.40096,0.0000307028
1.28292,1.40097,0.0000308774
1.283,1.40097,0.0000310518
1.28308,1.40097,0.0000312165
1.28316,1.40097,0.0000313644
1.28324,1.40097,0.0000314899
1.28332,1.40097,0.0000315909
1.2834,1.40097,0.0000316683
1.28348,1.40097,0.0000317237
1.28356,1.40097,0.0000317569
1.28364,1.40097,0.0000317653
1.28372,1.40097,0.0000317469
1.28379,1.40097,0.0000317055
1.28387,1.40097,0.0000316514
1.28395,1.40097,0.0000315966
1.28403,1.40097,0.0000315481
1.28411,1.40097,0.0000315046
1.28419,1.40097,0.00003146
1.28427,1.40098,0.0000314087
1.28435,1.40098,0.0000313485
1.28443,1.40098,0.0000312805
1.28451,1.40098,0.0000312073
1.28459,1.40098,0.0000311313
1.28467,1.40098,0.0000310524
1.28475,1.40098,0.0000309683
1.28483,1.40098,0.000030876
1.28491,1.40098,0.0000307758
1.28499,1.40098,0.0000306732
1.28507,1.40098,0.0000305758
1.28515,1.40098,0.0000304898
1.28523,1.40098,0.0000304171
1.28531,1.40098,0.0000303571
1.28539,1.40098,0.0000303083
1.28547,1.40098,0.0000302699
1.28555,1.40098,0.0000302413
1.28562,1.40098,0.0000302214
1.2857,1.40098,0.0000302088
1.28578,1.40098,0.0000302012
1.28586,1.40098,0.0000301954
1.28594,1.40098,0.0000301891
1.28602,1.40098,0.0000301818
1.2861,1.40098,0.0000301755
1.28618,1.40098,0.0000301716
1.28626,1.40098,0.0000301684
1.28634,1.40098,0.0000301608
1.28642,1.40098,0.0000301434
1.2865,1.40098,0.0000301133
1.28658,1.40098,0.0000300722
1.28666,1.40098,0.0000300258
1.28674,1.40098,0.0000299821
1.28682,1.40098,0.0000299489
1.2869,1.40098,0.0000299305
1.28698,1.40098,0.0000299254
1.28706,1.40098,0.0000299293
1.28714,1.40098,0.0000299388
1.28722,1.40098,0.0000299541
1.2873,1.40098,0.0000299781
1.28738,1.40098,0.0000300122
1.28746,1.40098,0.0000300534
1.28754,1.40098,0.000030094
1.28762,1.40098,0.0000301228
1.2877,1.40098,0.0000301285
1.28778,1.40098,0.0000301039
1.28786,1.40098,0.0000300492
1.28794,1.40098,0.000029971
1.28802,1.40098,0.0000298779
1.2881,1.40098,0.0000297752
1.28818,1.40098,0.000029663
1.28826,1.40098,0.0000295399
1.28834,1.40098,0.000029406
1.28842,1.40098,0.000029265
1.2885,1.40098,0.0000291205
1.28858,1.40098,0.000028974
1.28866,1.40098,0.0000288233
1.28874,1.40098,0.0000286635
1.28882,1.40098,0.0000284899
1.2889,1.40098,0.0000282999
1.28898,1.40098,0.0000280954
1.28906,1.40098,0.0000278798
1.28914,1.40098,0.0000276552
1.28922,1.40098,0.0000274195
1.2893,1.40098,0.0000271686
1.28938,1.40098,0.0000269018
1.28946,1.40098,0.0000266238
1.28954,1.40099,0.0000263423
1.28962,1.40099,0.0000260617
1.2897,1.40099,0.0000257791
1.28978,1.40099,0.0000254858
1.28986,1.40099,0.0000251729
1.28994,1.40099,0.0000248368
1.29002,1.40099,0.00002448
1.2901,1.40099,0.0000241092
1.29018,1.40099,0.000023729
1.29026,1.40099,0.000023338
1.29034,1.40099,0.0000229286
1.29042,1.40099,0.0000224935
1.2905,1.40099,0.0000220321
1.29059,1.40099,0.0000215536
1.29067,1.40099,0.0000210723
1.29075,1.40099,0.0000206002
1.29083,1.40099,0.0000201428
1.29091,1.40098,0.0000197009
1.29099,1.40098,0.000019274
1.29107,1.40098,0.0000188637
1.29115,1.40098,0.0000184747
1.29123,1.40098,0.0000181134
1.29131,1.40098,0.0000177857
1.29139,1.40098,0.0000174947
1.29147,1.40098,0.0000172385
1.29155,1.40098,0.000017011
1.29163,1.40098,0.0000168034
1.29171,1.40098,0.000016607
1.29179,1.40098,0.0000164138
1.29187,1.40098,0.0000162188
1.29195,1.40098,0.0000160209
