"Wavelength, µm","n","k"
0.185185,1.47798,0.0000588167
0.185726,1.47696,0.0000837572
0.18627,1.47595,0.000120202
0.186817,1.47497,0.000168348
0.187368,1.47402,0.000204586
0.187921,1.47309,0.000234892
0.188478,1.47217,0.000228387
0.189039,1.47124,0.000215288
0.189602,1.47031,0.000194946
0.190169,1.46938,0.000174997
0.19074,1.46845,0.000155971
0.191314,1.46752,0.000140053
0.191891,1.46659,0.000126718
0.192472,1.46567,0.00011506
0.193056,1.46476,0.000104132
0.193644,1.46385,0.0000964341
0.194236,1.46294,0.0000892852
0.194831,1.46205,0.0000829683
0.195429,1.46116,0.0000775808
0.196032,1.46027,0.0000726256
0.196638,1.45939,0.0000688302
0.197248,1.45852,0.0000652881
0.197862,1.45766,0.0000621166
0.198479,1.4568,0.0000591849
0.199101,1.45594,0.0000563481
0.199726,1.4551,0.0000536434
0.200355,1.45425,0.0000510768
0.200989,1.45342,0.0000486168
0.201626,1.45259,0.0000461457
0.202267,1.45177,0.0000436579
0.202913,1.45095,0.0000411468
0.203562,1.45013,0.0000386075
0.204216,1.44933,0.0000360617
0.204874,1.44852,0.0000335113
0.205536,1.44773,0.0000311171
0.206203,1.44694,0.0000288335
0.206874,1.44615,0.0000267193
0.207549,1.44537,0.0000248837
0.208228,1.4446,0.0000232195
0.208912,1.44382,0.0000217672
0.209601,1.44306,0.0000204768
0.210294,1.4423,0.0000193318
0.210992,1.44155,0.0000183524
0.211694,1.4408,0.0000176019
0.212402,1.44005,0.000016931
0.213113,1.43931,0.0000163177
0.21383,1.43858,0.0000156973
0.214551,1.43785,0.0000152239
0.215278,1.43713,0.0000148515
0.216009,1.43641,0.0000145696
0.216745,1.43569,0.0000143392
0.217487,1.43498,0.0000141278
0.218233,1.43428,0.0000139602
0.218985,1.43358,0.000013867
0.219741,1.43289,0.0000137847
0.220503,1.4322,0.0000137423
0.221271,1.43151,0.000013703
0.222043,1.43083,0.0000136314
0.222821,1.43015,0.0000135585
0.223605,1.42948,0.0000134787
0.224394,1.42882,0.0000134328
0.225188,1.42815,0.0000134123
0.225989,1.4275,0.0000133574
0.226795,1.42684,0.0000133425
0.227606,1.42619,0.0000132591
0.228424,1.42555,0.0000129821
0.229248,1.42491,0.0000124781
0.230077,1.42427,0.0000118046
0.230912,1.42364,0.0000110342
0.231754,1.42301,0.0000102851
0.232602,1.42239,0.00000962609
0.233456,1.42177,0.00000897662
0.234316,1.42116,0.00000837528
0.235183,1.42054,0.00000790426
0.236056,1.41994,0.00000746228
0.236935,1.41933,0.00000705567
0.237821,1.41873,0.00000668571
0.238714,1.41814,0.00000634952
0.239614,1.41755,0.0000061037
0.24052,1.41696,0.00000580825
0.241433,1.41638,0.00000552691
0.242353,1.4158,0.00000533714
0.24328,1.41522,0.00000515393
0.244215,1.41465,0.00000499944
0.245156,1.41408,0.00000490794
0.246105,1.41352,0.00000475186
