"Wavelength, µm","n","k"
1.28244,1.31299,0.0000283943
1.28252,1.31299,0.0000283968
1.2826,1.31299,0.0000284057
1.28268,1.31299,0.000028422
1.28276,1.31299,0.0000284416
1.28284,1.313,0.0000284561
1.28292,1.313,0.000028458
1.283,1.313,0.0000284475
1.28308,1.313,0.0000284294
1.28316,1.313,0.0000284095
1.28324,1.313,0.0000283898
1.28331,1.313,0.0000283702
1.28339,1.313,0.0000283523
1.28347,1.313,0.0000283373
1.28355,1.313,0.0000283301
1.28363,1.313,0.0000283274
1.28371,1.313,0.0000283278
1.28379,1.313,0.0000283264
1.28387,1.313,0.0000283245
1.28395,1.313,0.0000283188
1.28403,1.313,0.0000283089
1.28411,1.313,0.0000282947
1.28419,1.313,0.0000282792
1.28427,1.313,0.0000282666
1.28435,1.313,0.0000282579
1.28443,1.313,0.0000282522
1.28451,1.313,0.0000282462
1.28459,1.313,0.0000282388
1.28467,1.313,0.0000282309
1.28475,1.313,0.0000282239
1.28483,1.313,0.0000282176
1.2849,1.313,0.0000282092
1.28498,1.313,0.0000281972
1.28506,1.313,0.0000281821
1.28514,1.313,0.000028167
1.28522,1.313,0.0000281538
1.2853,1.313,0.0000281419
1.28538,1.313,0.0000281294
1.28546,1.313,0.0000281158
1.28554,1.313,0.0000281028
1.28562,1.313,0.0000280911
1.2857,1.313,0.00002808
1.28578,1.313,0.0000280675
1.28586,1.313,0.0000280531
1.28594,1.313,0.0000280378
1.28602,1.313,0.0000280229
1.2861,1.313,0.0000280089
1.28618,1.313,0.000027995
1.28626,1.313,0.0000279813
1.28634,1.313,0.0000279676
1.28642,1.313,0.0000279534
1.2865,1.313,0.0000279366
1.28658,1.313,0.0000279165
1.28666,1.313,0.0000278951
1.28674,1.313,0.000027876
1.28682,1.313,0.0000278617
1.2869,1.313,0.0000278512
1.28698,1.313,0.0000278419
1.28706,1.313,0.0000278314
1.28714,1.313,0.000027819
1.28722,1.313,0.0000278046
1.2873,1.313,0.0000277883
1.28738,1.313,0.0000277709
1.28746,1.313,0.0000277542
1.28754,1.313,0.0000277403
1.28762,1.313,0.0000277299
1.2877,1.31299,0.0000277218
1.28778,1.31299,0.0000277136
1.28786,1.31299,0.0000277036
1.28794,1.31299,0.000027692
1.28802,1.31299,0.0000276791
1.2881,1.31299,0.0000276644
1.28818,1.31299,0.0000276467
1.28826,1.31299,0.000027626
1.28834,1.31299,0.0000276044
1.28842,1.31299,0.0000275849
1.2885,1.31299,0.0000275691
1.28858,1.31299,0.000027556
1.28866,1.31299,0.000027543
1.28874,1.31299,0.0000275287
1.28882,1.31299,0.0000275143
1.2889,1.31299,0.0000275024
1.28898,1.31299,0.0000274935
1.28906,1.31299,0.0000274856
1.28914,1.31299,0.000027476
1.28922,1.31299,0.0000274636
1.2893,1.31299,0.000027449
1.28938,1.31299,0.0000274333
1.28946,1.31299,0.0000274165
1.28954,1.31299,0.0000273982
1.28962,1.31299,0.0000273792
1.2897,1.31299,0.0000273608
1.28978,1.31299,0.0000273441
1.28986,1.31299,0.0000273287
1.28994,1.31299,0.0000273134
1.29002,1.31299,0.0000272978
1.2901,1.31299,0.0000272825
1.29018,1.31299,0.0000272677
1.29026,1.31299,0.0000272526
1.29034,1.31299,0.0000272356
1.29042,1.31299,0.0000272159
1.2905,1.31299,0.0000271932
1.29058,1.31298,0.0000271672
1.29066,1.31298,0.0000271382
1.29074,1.31298,0.0000271071
1.29082,1.31298,0.0000270763
1.2909,1.31298,0.0000270484
1.29098,1.31298,0.0000270245
1.29106,1.31298,0.0000270035
1.29114,1.31298,0.0000269829
1.29122,1.31298,0.0000269604
1.2913,1.31298,0.0000269351
1.29139,1.31298,0.000026907
1.29147,1.31298,0.0000268769
1.29155,1.31298,0.000026846
1.29163,1.31298,0.0000268153
1.29171,1.31298,0.0000267854
1.29179,1.31298,0.0000267569
1.29187,1.31298,0.0000267304
1.29195,1.31298,0.000026706
1.29203,1.31298,0.000026683
1.29211,1.31298,0.0000266595
1.29219,1.31298,0.0000266332
1.29227,1.31298,0.0000266022
1.29235,1.31298,0.0000265666
1.29243,1.31298,0.0000265277
1.29251,1.31298,0.0000264883
1.29259,1.31298,0.0000264513
1.29267,1.31298,0.000026419
1.29275,1.31298,0.0000263921
1.29283,1.31298,0.0000263693
1.29291,1.31298,0.0000263478
1.293,1.31297,0.0000263238
1.29308,1.31297,0.0000262944
1.29316,1.31297,0.0000262592
1.29324,1.31297,0.000026221
1.29332,1.31297,0.0000261847
1.2934,1.31297,0.0000261544
1.29348,1.31297,0.0000261314
1.29356,1.31297,0.0000261132
1.29364,1.31297,0.0000260956
1.29372,1.31297,0.0000260751
1.2938,1.31297,0.0000260506
1.29388,1.31297,0.0000260234
1.29396,1.31297,0.000025995
1.29404,1.31297,0.0000259667
1.29412,1.31297,0.0000259386
1.29421,1.31297,0.0000259109
1.29429,1.31297,0.0000258841
1.29437,1.31297,0.000025859
1.29445,1.31297,0.0000258374
1.29453,1.31297,0.0000258211
1.29461,1.31297,0.0000258109
1.29469,1.31297,0.0000258061
1.29477,1.31297,0.0000258041
1.29485,1.31297,0.0000258013
1.29493,1.31297,0.0000257948
1.29501,1.31297,0.0000257839
1.29509,1.31297,0.0000257706
1.29518,1.31296,0.0000257585
1.29526,1.31296,0.0000257512
1.29534,1.31296,0.0000257505
1.29542,1.31296,0.0000257557
1.2955,1.31296,0.0000257635
1.29558,1.31296,0.0000257694
1.29566,1.31296,0.0000257705
1.29574,1.31296,0.0000257662
1.29582,1.31296,0.0000257592
1.2959,1.31296,0.0000257537
1.29598,1.31296,0.0000257536
1.29607,1.31296,0.0000257598
1.29615,1.31296,0.000025771
1.29623,1.31296,0.0000257844
1.29631,1.31296,0.0000257984
1.29639,1.31296,0.0000258126
1.29647,1.31296,0.0000258269
1.29655,1.31296,0.0000258416
1.29663,1.31296,0.0000258566
1.29671,1.31296,0.0000258712
1.29679,1.31296,0.0000258837
1.29688,1.31296,0.0000258924
1.29696,1.31296,0.000025897
1.29704,1.31296,0.0000259004
1.29712,1.31296,0.000025907
1.2972,1.31295,0.0000259204
1.29728,1.31295,0.0000259404
1.29736,1.31295,0.0000259642
1.29744,1.31295,0.0000259883
1.29752,1.31295,0.0000260115
1.29761,1.31295,0.0000260338
1.29769,1.31295,0.0000260553
1.29777,1.31295,0.0000260761
1.29785,1.31295,0.000026097
1.29793,1.31295,0.0000261197
1.29801,1.31295,0.0000261446
1.29809,1.31295,0.0000261701
1.29817,1.31295,0.0000261931
1.29826,1.31295,0.0000262122
1.29834,1.31295,0.0000262285
1.29842,1.31295,0.0000262446
1.2985,1.31295,0.0000262622
1.29858,1.31295,0.0000262807
1.29866,1.31295,0.0000262992
1.29874,1.31295,0.000026317
1.29882,1.31295,0.0000263344
1.29891,1.31295,0.0000263517
1.29899,1.31295,0.0000263689
1.29907,1.31295,0.0000263864
1.29915,1.31295,0.0000264056
1.29923,1.31295,0.0000264278
1.29931,1.31295,0.0000264525
1.29939,1.31294,0.0000264773
1.29948,1.31294,0.0000264992
1.29956,1.31294,0.0000265169
1.29964,1.31294,0.0000265317
1.29972,1.31294,0.0000265461
1.2998,1.31294,0.0000265619
1.29988,1.31294,0.0000265793
1.29996,1.31294,0.0000265981
1.30005,1.31294,0.0000266192
1.30013,1.31294,0.0000266433
1.30021,1.31294,0.0000266705
1.30029,1.31294,0.0000266992
1.30037,1.31294,0.0000267276
1.30045,1.31294,0.0000267554
1.30054,1.31294,0.0000267828
1.30062,1.31294,0.0000268096
1.3007,1.31294,0.0000268347
1.30078,1.31294,0.0000268581
1.30086,1.31294,0.000026881
1.30094,1.31294,0.0000269053
1.30102,1.31294,0.000026932
1.30111,1.31294,0.0000269604
1.30119,1.31294,0.0000269889
1.30127,1.31294,0.0000270165
1.30135,1.31294,0.0000270425
1.30143,1.31293,0.0000270664
1.30151,1.31293,0.0000270885
1.3016,1.31293,0.0000271103
1.30168,1.31293,0.0000271344
1.30176,1.31293,0.0000271618
1.30184,1.31293,0.0000271911
1.30192,1.31293,0.0000272199
1.302,1.31293,0.0000272472
1.30209,1.31293,0.0000272731
1.30217,1.31293,0.0000272976
1.30225,1.31293,0.0000273198
1.30233,1.31293,0.0000273391
1.30241,1.31293,0.0000273563
1.3025,1.31293,0.0000273723
1.30258,1.31293,0.0000273862
1.30266,1.31293,0.0000273962
1.30274,1.31293,0.0000274019
1.30282,1.31293,0.0000274066
1.3029,1.31293,0.0000274146
1.30299,1.31293,0.0000274282
1.30307,1.31293,0.000027445
1.30315,1.31293,0.0000274611
1.30323,1.31293,0.0000274737
1.30331,1.31293,0.000027483
1.3034,1.31293,0.0000274906
1.30348,1.31293,0.000027498
1.30356,1.31293,0.0000275073
1.30364,1.31292,0.0000275206
1.30372,1.31292,0.0000275385
1.30381,1.31292,0.0000275591
1.30389,1.31292,0.0000275792
1.30397,1.31292,0.0000275966
1.30405,1.31292,0.0000276116
1.30413,1.31292,0.0000276261
1.30422,1.31292,0.0000276418
1.3043,1.31292,0.0000276585
1.30438,1.31292,0.000027676
1.30446,1.31292,0.0000276938
1.30454,1.31292,0.0000277125
1.30463,1.31292,0.0000277319
1.30471,1.31292,0.0000277508
1.30479,1.31292,0.0000277678
1.30487,1.31292,0.0000277828
1.30495,1.31292,0.0000277969
1.30504,1.31292,0.0000278114
1.30512,1.31292,0.0000278265
1.3052,1.31292,0.0000278407
1.30528,1.31292,0.0000278525
1.30536,1.31292,0.0000278618
1.30545,1.31292,0.000027871
1.30553,1.31292,0.0000278832
1.30561,1.31292,0.0000279002
1.30569,1.31292,0.0000279214
1.30578,1.31292,0.0000279446
1.30586,1.31291,0.0000279665
1.30594,1.31291,0.0000279841
1.30602,1.31291,0.0000279962
1.3061,1.31291,0.0000280042
1.30619,1.31291,0.0000280122
1.30627,1.31291,0.0000280233
1.30635,1.31291,0.0000280372
1.30643,1.31291,0.00002805
1.30652,1.31291,0.0000280579
1.3066,1.31291,0.0000280609
1.30668,1.31291,0.0000280624
1.30676,1.31291,0.0000280647
1.30684,1.31291,0.0000280677
1.30693,1.31291,0.0000280694
1.30701,1.31291,0.0000280694
1.30709,1.31291,0.0000280695
1.30717,1.31291,0.0000280709
1.30726,1.31291,0.000028073
1.30734,1.31291,0.0000280744
1.30742,1.31291,0.0000280748
1.3075,1.31291,0.0000280751
1.30759,1.31291,0.0000280759
1.30767,1.31291,0.000028076
1.30775,1.31291,0.0000280745
1.30783,1.31291,0.0000280714
1.30792,1.31291,0.0000280671
1.308,1.3129,0.0000280616
1.30808,1.3129,0.0000280543
1.30816,1.3129,0.0000280458
1.30825,1.3129,0.0000280382
1.30833,1.3129,0.0000280335
1.30841,1.3129,0.0000280308
1.30849,1.3129,0.0000280269
1.30858,1.3129,0.0000280189
1.30866,1.3129,0.0000280071
1.30874,1.3129,0.0000279949
1.30882,1.3129,0.0000279858
1.30891,1.3129,0.0000279806
1.30899,1.3129,0.0000279774
1.30907,1.3129,0.0000279729
1.30915,1.3129,0.0000279655
1.30924,1.3129,0.0000279564
1.30932,1.3129,0.0000279483
1.3094,1.3129,0.0000279433
