Wavelength(nm)	n	k
229.63	0.953	2.014
233.96	0.953	2.028
238.46	0.958	2.057
243.14	0.97	2.103
248	0.989	2.153
253.06	1.016	2.21
258.33	1.043	2.266
263.83	1.083	2.335
269.57	1.125	2.401
275.56	1.172	2.462
281.82	1.219	2.518
288.37	1.261	2.564
295.24	1.295	2.62
302.44	1.322	2.69
310	1.355	2.784
317.95	1.397	2.89
326.32	1.448	2.991
335.14	1.514	3.118
344.44	1.588	3.243
354.29	1.682	3.387
364.71	1.805	3.564
375.76	1.967	3.749
387.5	2.203	3.949
400	2.497	4.111
413.33	2.861	4.223
420.34	3.061	4.251
427.59	3.292	4.26
435.09	3.494	4.239
442.86	3.716	4.195
450.91	3.928	4.121
459.26	4.12	4.021
467.92	4.307	3.89
476.92	4.459	3.752
486.27	4.586	3.597
496	4.707	3.437
506.12	4.796	3.271
516.67	4.866	3.132
527.66	4.918	2.981
539.13	4.956	2.836
551.11	4.979	2.699
563.64	4.99	2.56
576.74	4.988	2.435
590.48	4.982	2.323
604.88	4.964	2.217
620	4.951	2.127
635.9	4.931	2.048
652.63	4.909	1.985
670.27	4.886	1.938
688.89	4.879	1.905
708.57	4.875	1.893
729.41	4.902	1.884
751.52	4.962	1.876
775	5.045	1.865
800	5.156	1.736
826.67	5.204	1.587
855.17	5.229	1.463
885.71	5.215	1.322
918.52	5.192	1.212
953.85	5.163	1.146
992	5.129	1.037
1033.33	5.122	0.981
1055.32	5.108	0.952
1078.26	5.089	0.93
2610.53	4.88	0.291
