Wavelength (nm)	Transmittance
210	0.0004447
211	0.0004397
212	0.0004348
213	0.0004309
214	0.000428
215	0.000428
216	0.0004281
217	0.0004283
218	0.0004269
219	0.0004237
220	0.0004208
221	0.0004181
222	0.0004179
223	0.0004192
224	0.0004201
225	0.0004207
226	0.0004185
227	0.0004142
228	0.0004095
229	0.0004046
230	0.0004009
231	0.0003991
232	0.0003971
233	0.0003951
234	0.0003928
235	0.0003882
236	0.0003836
237	0.0003786
238	0.0003737
239	0.0003695
240	0.0003658
241	0.0003621
242	0.0003582
243	0.0003544
244	0.0003502
245	0.000346
246	0.0003411
247	0.0003354
248	0.0003297
249	0.0003207
250	0.0003119
251	0.0003035
252	0.0002953
253	0.0002874
254	0.0002823
255	0.0002775
256	0.0002734
257	0.0002705
258	0.0002676
259	0.0002661
260	0.0002653
261	0.0002644
262	0.0002643
263	0.0002641
264	0.0002638
265	0.0002627
266	0.0002617
267	0.0002608
268	0.0002603
269	0.0002598
270	0.00026
271	0.0002609
272	0.0002619
273	0.0002631
274	0.0002646
275	0.0002661
276	0.0002675
277	0.0002688
278	0.0002701
279	0.0002716
280	0.0002736
281	0.0002755
282	0.0002778
283	0.0002814
284	0.000285
285	0.0002887
286	0.0002931
287	0.0002975
288	0.000302
289	0.0003063
290	0.0003105
291	0.0003147
292	0.0003192
293	0.0003244
294	0.0003297
295	0.0003351
296	0.0003422
297	0.00035
298	0.0003579
299	0.0003662
300	0.0003756
301	0.0003852
302	0.0003949
303	0.0004052
304	0.000416
305	0.0004269
306	0.0004381
307	0.0004503
308	0.000463
309	0.0004759
310	0.0004891
311	0.0005035
312	0.0005182
313	0.0005331
314	0.0005486
315	0.000566
316	0.0005838
317	0.000602
318	0.000621
319	0.0006438
320	0.0006672
321	0.0006914
322	0.0007162
323	0.0007423
324	0.0007693
325	0.000797
326	0.0008255
327	0.0008529
328	0.0008801
329	0.0009081
330	0.0009368
331	0.0009657
332	0.0009945
333	0.001024
334	0.0010542
335	0.0010851
336	0.0011167
337	0.001149
338	0.0011821
339	0.0012159
340	0.0012497
341	0.0012823
342	0.0013156
343	0.0013496
344	0.0013842
345	0.0014161
346	0.0014461
347	0.0014765
348	0.0015075
349	0.0015389
350	0.0015678
351	0.0015961
352	0.0016248
353	0.0016538
354	0.0016832
355	0.0017114
356	0.0017395
357	0.0017679
358	0.0017966
359	0.0018256
360	0.0018511
361	0.0018743
362	0.0018978
363	0.0019214
364	0.0019452
365	0.0019645
366	0.0019745
367	0.0019846
368	0.0019947
369	0.0020048
370	0.002015
371	0.0020235
372	0.0020318
373	0.0020402
374	0.0020485
375	0.0020568
376	0.0020677
377	0.0020847
378	0.0021018
379	0.002119
380	0.0021362
381	0.0021534
382	0.0021729
383	0.0021944
384	0.0022161
385	0.0022379
386	0.0022597
387	0.0022817
388	0.002305
389	0.0023293
390	0.0023538
391	0.0023784
392	0.0024032
393	0.002428
394	0.0024549
395	0.0024849
396	0.002515
397	0.0025454
398	0.0025759
399	0.0026067
400	0.0026381
401	0.0026764
402	0.002715
403	0.002754
404	0.0027933
405	0.0028331
406	0.0028732
407	0.0029168
408	0.0029642
409	0.0030121
410	0.0030606
411	0.0031096
412	0.0031592
413	0.0032093
414	0.0032648
415	0.0033228
416	0.0033816
417	0.0034412
418	0.0035015
419	0.0035625
420	0.0036244
421	0.0036925
422	0.0037638
423	0.0038361
424	0.0039095
425	0.0039839
426	0.0040594
427	0.0041361
428	0.0042174
429	0.0043044
430	0.0043927
431	0.0044825
432	0.0045737
433	0.0046663
434	0.0047604
435	0.004856
436	0.0049644
437	0.0050752
438	0.005188
439	0.0053028
440	0.0054197
441	0.0055387
442	0.0056599
443	0.0057875
444	0.005935
445	0.0060857
446	0.0062396
447	0.0063969
448	0.0065575
449	0.0067215
450	0.006889
451	0.007061
452	0.007243
453	0.007429
454	0.0076192
455	0.0078135
456	0.0080122
457	0.0082153
458	0.0084229
459	0.008635
460	0.0088528
461	0.0090758
462	0.0093036
463	0.0095364
464	0.0097743
465	0.0100174
466	0.0102657
467	0.0105194
468	0.0107744
469	0.0110066
470	0.0112433
471	0.0114847
472	0.0117309
473	0.0119819
474	0.0122378
475	0.0124988
476	0.0127648
477	0.0130307
478	0.0132654
479	0.0135047
480	0.0137489
481	0.013998
482	0.0142522
483	0.0145115
484	0.0147762
485	0.0150464
486	0.0153223
487	0.0154815
488	0.0156092
489	0.0157395
490	0.0158725
491	0.0160082
492	0.0161468
493	0.0162882
494	0.0164326
495	0.0165799
496	0.0167116
497	0.0165524
498	0.0163964
499	0.0162435
500	0.0160937
501	0.0159469
502	0.0158028
503	0.0156615
504	0.0155227
505	0.0153865
506	0.0152525
507	0.0149618
508	0.0146674
509	0.0143792
510	0.0140972
511	0.0138211
512	0.0135508
513	0.013286
514	0.0130266
515	0.0127724
516	0.0125234
517	0.012228
518	0.0118646
519	0.0115117
520	0.011169
521	0.0108361
522	0.0105128
523	0.0101988
524	0.0098939
525	0.0095978
526	0.0093103
527	0.0090311
528	0.0087547
529	0.0084789
530	0.0082116
531	0.0079526
532	0.0077017
533	0.0074584
534	0.0072228
535	0.0069945
536	0.0067732
537	0.0065588
538	0.0063511
539	0.0061499
540	0.0059829
541	0.0058227
542	0.0056669
543	0.0055153
544	0.0053679
545	0.0052245
546	0.005085
547	0.0049494
548	0.0048174
549	0.0046891
550	0.0045643
551	0.0044429
552	0.0043635
553	0.0042877
554	0.0042132
555	0.0041401
556	0.0040684
557	0.003998
558	0.0039289
559	0.0038611
560	0.0037946
561	0.0037293
562	0.0036652
563	0.0036023
564	0.0035687
565	0.0035728
566	0.0035768
567	0.0035808
568	0.0035847
569	0.0035886
570	0.0035925
571	0.0035964
572	0.0036002
573	0.003604
574	0.0036077
575	0.0036114
576	0.003615
577	0.0036255
578	0.0036507
579	0.0036759
580	0.0037013
581	0.0037267
582	0.0037523
583	0.0037779
584	0.0038036
585	0.0038294
586	0.0038552
587	0.0038811
588	0.0039071
589	0.0039332
590	0.0039594
591	0.003979
592	0.0039942
593	0.0040093
594	0.0040245
595	0.0040396
596	0.0040547
597	0.0040698
598	0.0040849
599	0.0041
600	0.0041151
601	0.0041302
602	0.0041453
603	0.0041604
604	0.0041755
605	0.0041907
606	0.0042062
607	0.0042217
608	0.0042371
609	0.0042526
610	0.0042681
611	0.0042836
612	0.0042991
613	0.0043145
614	0.00433
615	0.0043455
616	0.0043609
617	0.0043763
618	0.0043916
619	0.004407
620	0.004424
621	0.0044638
622	0.0045038
623	0.004544
624	0.0045845
625	0.0046252
626	0.0046662
627	0.0047074
628	0.0047489
629	0.0047906
630	0.0048325
631	0.0048747
632	0.0049171
633	0.0049597
634	0.0050026
635	0.0050457
636	0.00508
637	0.0050733
638	0.0050666
639	0.0050599
640	0.0050532
641	0.0050466
642	0.00504
643	0.0050334
644	0.0050267
645	0.0050201
646	0.0050134
647	0.0050066
648	0.0049999
649	0.0049932
650	0.0049865
651	0.0049798
652	0.0049731
653	0.0049051
654	0.0047651
655	0.0046295
656	0.0044979
657	0.0043704
658	0.0042468
659	0.0041269
660	0.0040106
661	0.0038978
662	0.0037884
663	0.0036823
664	0.0035794
665	0.0034796
666	0.0033829
667	0.0032891
668	0.003198
669	0.0031097
670	0.003024
671	0.0029287
672	0.0028338
673	0.0027421
674	0.0026537
675	0.0025683
676	0.0024858
677	0.0024062
678	0.0023293
679	0.0022551
680	0.0021834
681	0.0021141
682	0.0020472
683	0.0019825
684	0.00192
685	0.0018597
686	0.0018014
687	0.0017451
688	0.0016907
689	0.0016411
690	0.0016055
691	0.0015707
692	0.0015368
693	0.0015037
694	0.0014714
695	0.0014398
696	0.001409
697	0.001379
698	0.0013496
699	0.0013209
700	0.001293
701	0.0012656
702	0.001239
703	0.0012129
704	0.0011874
705	0.0011626
706	0.0011383
707	0.0011146
708	0.0010914
709	0.0010708
710	0.0010524
711	0.0010343
712	0.0010166
713	0.0009993
714	0.0009823
715	0.0009656
716	0.0009492
717	0.0009332
718	0.0009174
719	0.000902
720	0.0008868
721	0.000872
722	0.0008574
723	0.0008431
724	0.0008291
725	0.0008153
726	0.0008018
727	0.0007885
728	0.0007755
729	0.0007628
730	0.0007518
731	0.0007417
732	0.0007318
733	0.0007221
734	0.0007125
735	0.000703
736	0.0006937
737	0.0006845
738	0.0006755
739	0.0006666
740	0.0006579
741	0.0006493
742	0.0006408
743	0.0006324
744	0.0006242
745	0.0006161
746	0.0006082
747	0.0006003
748	0.0005926
749	0.0005849
750	0.0005774
751	0.00057
752	0.0005633
753	0.000557
754	0.0005508
755	0.0005447
756	0.0005387
757	0.0005328
758	0.0005269
759	0.0005211
760	0.0005154
761	0.0005098
762	0.0005042
763	0.0004987
764	0.0004933
765	0.000488
766	0.0004827
767	0.0004775
768	0.0004723
769	0.0004673
770	0.0004623
771	0.0004573
772	0.0004524
773	0.0004476
774	0.0004429
775	0.0004382
776	0.0004335
777	0.0004289
778	0.0004244
779	0.00042
780	0.0004156
781	0.0004112
782	0.0004069
783	0.0004027
784	0.0003985
785	0.0003944
786	0.0003903
787	0.0003863
788	0.0003823
789	0.0003783
790	0.0003745
791	0.0003706
792	0.0003668
793	0.0003631
794	0.0003594
795	0.0003557
796	0.0003521
797	0.0003486
798	0.0003451
799	0.0003416
800	0.0003382
801	0.0003353
802	0.0003324
803	0.0003295
804	0.0003266
805	0.0003238
806	0.000321
807	0.0003183
808	0.0003156
809	0.0003129
810	0.0003102
811	0.0003076
812	0.000305
813	0.0003024
814	0.0002998
815	0.0002973
816	0.0002948
817	0.0002923
818	0.0002899
819	0.0002874
820	0.0002851
821	0.0002827
822	0.0002803
823	0.000278
824	0.0002757
825	0.0002734
826	0.0002711
827	0.0002692
828	0.0002677
829	0.0002662
830	0.0002647
831	0.0002632
832	0.0002618
833	0.0002603
834	0.0002588
835	0.0002574
836	0.000256
837	0.0002546
838	0.0002532
839	0.0002518
840	0.0002504
841	0.000249
842	0.0002476
843	0.0002463
844	0.0002449
845	0.0002436
846	0.0002423
847	0.0002409
848	0.0002396
849	0.0002383
850	0.000237
851	0.0002358
852	0.0002345
853	0.0002332
854	0.000232
855	0.0002307
856	0.0002296
857	0.0002285
858	0.0002274
859	0.0002263
860	0.0002252
861	0.0002242
862	0.0002231
863	0.000222
864	0.000221
865	0.0002199
866	0.0002189
867	0.0002179
868	0.0002168
869	0.0002158
870	0.0002148
871	0.0002138
872	0.0002128
873	0.0002118
874	0.0002108
875	0.0002098
876	0.0002089
877	0.0002079
878	0.0002069
879	0.000206
880	0.000205
881	0.0002041
882	0.0002031
883	0.0002022
884	0.0002013
885	0.0002004
886	0.0001994
887	0.0001982
888	0.0001971
889	0.000196
890	0.0001949
891	0.0001938
892	0.0001927
893	0.0001917
894	0.0001906
895	0.0001895
896	0.0001885
897	0.0001874
898	0.0001864
899	0.0001854
900	0.0001843
901	0.0001833
902	0.0001823
903	0.0001813
904	0.0001803
905	0.0001793
906	0.0001783
907	0.0001774
908	0.0001764
909	0.0001754
910	0.0001745
911	0.0001735
912	0.0001726
913	0.0001717
914	0.0001708
915	0.0001698
916	0.0001689
917	0.000168
918	0.0001671
919	0.0001663
920	0.0001654
921	0.0001646
922	0.0001638
