"Wavelength, µm","n"
0.3,1.73756
0.32,1.72717
0.34,1.71886
0.36,1.7121
0.38,1.70652
0.4,1.70185
0.42,1.69791
0.44,1.69454
0.46,1.69164
0.48,1.68912
0.5,1.68691
0.52,1.68496
0.54,1.68324
0.56,1.68169
0.58,1.68031
0.6,1.67906
0.62,1.67792
0.64,1.67689
0.66,1.67594
0.68,1.67507
0.7,1.67427
0.72,1.67353
0.74,1.67283
0.76,1.67219
0.78,1.67158
0.8,1.67101
0.82,1.67047
0.84,1.66996
0.86,1.66948
0.88,1.66902
0.9,1.66858
0.92,1.66816
0.94,1.66776
0.96,1.66737
0.98,1.66699
1,1.66663
1.02,1.66628
1.04,1.66594
1.06,1.66561
1.08,1.66528
1.1,1.66496
1.12,1.66465
1.14,1.66435
1.16,1.66405
1.18,1.66376
1.2,1.66347
1.22,1.66318
1.24,1.6629
1.26,1.66262
1.28,1.66234
1.3,1.66207
1.32,1.6618
1.34,1.66152
1.36,1.66125
1.38,1.66099
1.4,1.66072
1.42,1.66045
1.44,1.66019
1.46,1.65992
1.48,1.65965
1.5,1.65939
1.52,1.65912
1.54,1.65886
1.56,1.65859
1.58,1.65832
1.6,1.65805
1.62,1.65778
1.64,1.65751
1.66,1.65724
1.68,1.65697
1.7,1.6567
1.72,1.65642
1.74,1.65615
1.76,1.65587
1.78,1.65559
1.8,1.65531
1.82,1.65503
1.84,1.65475
1.86,1.65446
1.88,1.65418
1.9,1.65389
1.92,1.6536
1.94,1.6533
1.96,1.65301
1.98,1.65271
2,1.65241
2.02,1.65211
2.04,1.65181
2.06,1.6515
2.08,1.6512
2.1,1.65089
2.12,1.65057
2.14,1.65026
2.16,1.64994
2.18,1.64962
2.2,1.6493
2.22,1.64898
2.24,1.64865
2.26,1.64832
2.28,1.64799
2.3,1.64765
2.3188,1.64733
2.3398,1.64698
2.3568,1.64669
2.3784,1.64632
2.396,1.64601
2.4183,1.64562
2.4365,1.6453
2.4596,1.64489
2.4784,1.64455
2.4975,1.6442
2.5169,1.64385
2.5366,1.64349
2.5567,1.64312
2.577,1.64274
2.5976,1.64235
2.6186,1.64195
2.64,1.64155
2.6562,1.64123
2.6782,1.64081
2.6949,1.64048
2.7175,1.64004
2.7347,1.6397
2.7579,1.63923
2.7756,1.63887
2.7996,1.63839
2.8179,1.63801
2.8364,1.63763
2.8551,1.63724
2.8741,1.63685
2.8998,1.6363
2.9194,1.63589
2.9393,1.63546
2.9594,1.63503
2.9798,1.63458
2.9936,1.63428
3.0145,1.63382
3.0357,1.63335
3.0571,1.63287
3.0789,1.63238
3.0936,1.63205
3.1159,1.63153
3.1386,1.63101
3.1538,1.63066
3.177,1.63012
3.1927,1.62975
3.2164,1.62918
3.2325,1.6288
3.2569,1.62821
3.2733,1.62781
3.2983,1.6272
3.3152,1.62679
3.3322,1.62636
3.3581,1.62572
3.3756,1.62528
3.3933,1.62483
3.4111,1.62437
3.4383,1.62368
3.4566,1.6232
3.4751,1.62272
3.4939,1.62223
3.5128,1.62172
3.532,1.62122
3.5513,1.6207
3.5709,1.62017
3.5907,1.61963
3.6107,1.61908
3.6309,1.61853
3.6513,1.61796
3.672,1.61738
3.693,1.61679
3.7141,1.61619
3.7355,1.61558
3.7572,1.61496
3.7791,1.61432
3.7901,1.614
3.8124,1.61335
3.835,1.61268
3.8578,1.612
3.8693,1.61165
3.8926,1.61095
3.9161,1.61024
3.9399,1.60951
3.9519,1.60914
3.9762,1.60839
3.9884,1.608
4.0131,1.60723
4.0381,1.60644
4.0507,1.60603
4.0762,1.60522
4.089,1.6048
4.115,1.60396
4.1281,1.60353
4.1546,1.60266
4.1679,1.60221
4.1949,1.60131
4.2085,1.60086
4.236,1.59992
4.2499,1.59945
4.278,1.59849
4.2921,1.598
4.3064,1.5975
4.3352,1.59649
4.3498,1.59598
4.3791,1.59494
4.394,1.59441
4.4089,1.59387
4.4391,1.59278
4.4544,1.59222
4.4697,1.59166
4.4852,1.59109
4.5165,1.58993
4.5323,1.58933
4.5482,1.58874
4.5642,1.58813
4.5965,1.5869
4.6129,1.58627
4.6294,1.58563
4.646,1.58498
4.6795,1.58367
4.6965,1.583
4.7136,1.58232
4.7308,1.58163
4.7481,1.58093
4.7655,1.58023
4.7831,1.57951
4.8187,1.57805
4.8367,1.57731
4.8548,1.57655
4.873,1.57579
4.8914,1.57501
4.91,1.57423
4.9286,1.57343
4.9474,1.57262
4.9664,1.5718
4.9855,1.57097
5.0047,1.57013
5.0241,1.56928
5.0437,1.56841
5.0634,1.56753
5.0832,1.56664
5.1033,1.56573
5.1234,1.56482
5.1438,1.56388
5.1643,1.56294
5.1849,1.56198
5.2057,1.561
5.2267,1.56002
5.2479,1.55901
5.2692,1.55799
5.2907,1.55696
5.3124,1.55591
5.3343,1.55484
5.3563,1.55375
5.3785,1.55265
5.4009,1.55153
5.4235,1.5504
5.4463,1.54924
5.4693,1.54807
5.4925,1.54687
5.5159,1.54566
5.5394,1.54443
5.5632,1.54317
5.5872,1.5419
5.6114,1.5406
5.6358,1.53928
5.6604,1.53794
5.6852,1.53657
5.7103,1.53518
5.7355,1.53377
5.761,1.53233
5.7867,1.53087
5.8127,1.52937
5.8389,1.52786
5.8653,1.52631
5.8919,1.52473
5.9188,1.52313
5.946,1.5215
5.9734,1.51983
6.0011,1.51813
6.029,1.5164
6.0571,1.51464
6.0856,1.51284
6.1143,1.511
6.1433,1.50913
6.1725,1.50722
6.202,1.50527
6.2319,1.50329
6.262,1.50126
6.2924,1.49918
6.3231,1.49707
6.3541,1.4949
6.3854,1.4927
6.417,1.49044
6.4489,1.48813
6.4811,1.48577
6.5137,1.48336
6.5466,1.48089
6.5798,1.47837
6.6134,1.47579
6.6473,1.47315
6.6816,1.47044
6.7162,1.46767
6.7512,1.46483
6.7865,1.46192
6.8223,1.45894
6.8583,1.45589
6.8948,1.45276
6.9317,1.44954
6.969,1.44625
7.0066,1.44286
7.0447,1.43939
7.0832,1.43582
7.1221,1.43216
7.1615,1.42839
7.2013,1.42452
7.2415,1.42054
7.2822,1.41644
7.3233,1.41223
7.3649,1.40789
7.407,1.40342
7.4496,1.39882
7.4926,1.39408
