Wavelength (nm),Transmittance
200,0.0588147
210,0.0632058
220,0.0611704
230,0.059236
240,0.056358
250,0.0523409
260,0.0482775
270,0.0461168
280,0.0454131
290,0.0460876
300,0.0482349
310,0.0522086
320,0.0578614
330,0.0653852
340,0.0727358
350,0.0790711
360,0.0839528
370,0.0864141
380,0.0880427
390,0.0909961
400,0.0945565
410,0.099691
420,0.105849
430,0.1136297
440,0.1234951
450,0.1371557
460,0.1542994
470,0.1734265
480,0.1945801
490,0.2167771
500,0.2302336
510,0.2298721
520,0.2183762
530,0.1981003
540,0.1762816
550,0.1574658
560,0.1449729
570,0.1411747
580,0.1427156
590,0.1466411
600,0.1484221
610,0.1499749
620,0.151423
630,0.1566617
640,0.1587696
650,0.1564875
660,0.1396878
670,0.1206655
680,0.1018508
690,0.086649
700,0.0770169
710,0.0687942
720,0.0624927
730,0.0569358
740,0.0526775
750,0.048813
760,0.0456113
770,0.0427231
780,0.0400707
790,0.0376311
800,0.0353839
810,0.0335257
820,0.0317954
830,0.030314
840,0.029164
850,0.0280741
860,0.0270763
870,0.0261629
880,0.0252927
890,0.0244065
900,0.0234945
910,0.0226295
920,0.0218148
930,0.0210734
940,0.0203672
950,0.0196939
960,0.0191549
970,0.0186964
980,0.0182538
990,0.0178264
1000,0.0173876
1010,0.0169586
1020,0.0165449
1030,0.0161459
1040,0.0156417
1050,0.0151058
1060,0.0145952
1070,0.0141084
1080,0.0136468
1090,0.0132176
1100,0.0128072
1110,0.0124145
1120,0.0120385
1130,0.0116837
1140,0.0113562
1150,0.0110417
1160,0.0107394
1170,0.0104488
1180,0.0101693
1190,0.0100485
1200,0.0099427
1210,0.0098385
1220,0.0097357
1230,0.0096344
1240,0.0095399
1250,0.0098056
1260,0.0100747
1270,0.0103472
1280,0.0106232
1290,0.0109025
1300,0.0111852
1310,0.0114593
1320,0.0117236
1330,0.0119901
1340,0.0122589
1350,0.0125299
1360,0.0128031
1370,0.0130785
1380,0.0132635
1390,0.0131551
1400,0.0130479
1410,0.0129418
1420,0.0128368
1430,0.012733
1440,0.0126302
1450,0.0125286
1460,0.0124162
1470,0.0122311
1480,0.01205
1490,0.0118729
1500,0.0116997
1510,0.0115302
1520,0.0113644
1530,0.011202
1540,0.0110431
1550,0.010888
1560,0.0107567
1570,0.0106278
1580,0.0105013
1590,0.0103769
1600,0.0102547
1610,0.0101347
1620,0.0100168
1630,0.0099009
1640,0.009787
1650,0.009675
1660,0.0095642
1670,0.009455
1680,0.0093476
1690,0.009242
1700,0.0091382
1710,0.0090361
1720,0.0089358
1730,0.008837
1740,0.0087399
1750,0.0086444
1760,0.0085505
1770,0.0084581
1780,0.0083732
1790,0.0082905
1800,0.0082089
1810,0.0081286
1820,0.0080494
1830,0.0079714
1840,0.0078945
1850,0.0078187
1860,0.0077439
1870,0.0076703
1880,0.0075977
1890,0.0075261
1900,0.0074555
1910,0.0073858
1920,0.007317
1930,0.0072491
1940,0.0071821
1950,0.007116
1960,0.0070509
1970,0.0069867
1980,0.0069233
1990,0.0068607
2000,0.0067991
2010,0.0067382
2020,0.0066782
2030,0.0066189
2040,0.0065605
2050,0.0065028
2060,0.0064458
2070,0.0063896
2080,0.0063342
2090,0.0062795
2100,0.0062255
2110,0.0061722
2120,0.0061196
2130,0.0060676
2140,0.0060163
2150,0.0059657
2160,0.0059157
2170,0.0058663
2180,0.0058175
2190,0.0057693
2200,0.0057217
2210,0.0056748
2220,0.0056283
2230,0.0055825
2240,0.0055372
2250,0.0054925
2260,0.0054491
2270,0.0054068
2280,0.005365
2290,0.0053237
2300,0.0052829
2310,0.0052426
2320,0.0052027
2330,0.0051632
2340,0.0051242
2350,0.0050857
2360,0.0050475
2370,0.0050098
2380,0.0049725
2390,0.0049357
2400,0.0048992
2410,0.0048632
2420,0.0048275
2430,0.0047922
2440,0.0047573
2450,0.0047228
2460,0.0046887
2470,0.0046549
2480,0.0046242
2490,0.0046819
2500,0.0047398
2510,0.0047981
2520,0.0048567
2530,0.0049157
2540,0.0049749
2550,0.0050345
2560,0.0050944
2570,0.0051546
2580,0.0052151
2590,0.005276
2600,0.0053371
2610,0.0053986
2620,0.0054604
2630,0.0055225
2640,0.0055849
2650,0.0056477
2660,0.0057107
2670,0.0057741
2680,0.0058377
2690,0.0059017
2700,0.005966
2710,0.0060306
2720,0.0060955
2730,0.0061607
2740,0.0062262
2750,0.006292
2760,0.0063581
2770,0.0064245
2780,0.0064912
2790,0.0065583
2800,0.0066256
2810,0.0066932
2820,0.0067611
2830,0.0068294
2840,0.0068979
2850,0.0069667
2860,0.0070358
2870,0.0071052
2880,0.0071749
2890,0.0072449
2900,0.0073152
2910,0.0073858
2920,0.0074566
2930,0.0075278
2940,0.0075993
2950,0.007671
2960,0.007743
2970,0.0078154
2980,0.007888
2990,0.0079609
3000,0.0080341
3010,0.0081075
3020,0.0081813
3030,0.0082553
3040,0.0083296
3050,0.0084043
3060,0.0084791
3070,0.0085543
3080,0.0086298
3090,0.0087055
3100,0.0087815
3110,0.0088578
3120,0.0089344
3130,0.0090113
3140,0.0090884
3150,0.0091658
3160,0.0092435
3170,0.0093215
3180,0.0093997
3190,0.0094782
3200,0.009557
3210,0.0096361
3220,0.0097154
3230,0.009795
3240,0.0098749
3250,0.009955
3260,0.0100355
3270,0.0101162
3280,0.0101971
3290,0.0102784
3300,0.0103599
3310,0.0104416
3320,0.0105237
3330,0.010606
3340,0.0106885
3350,0.0107714
3360,0.0108545
3370,0.0109379
3380,0.0110215
3390,0.0111054
3400,0.0111896
3410,0.011274
3420,0.0113587
3430,0.0114436
3440,0.0115288
3450,0.0116143
3460,0.0117
3470,0.011786
3480,0.0118723
3490,0.0119588
